,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
10650,Amiens,Lyon,0.286084,1.30809,0,2,a,2018-08-12 16:00:00
10657,Amiens,Montpellier,1.11001,0.308208,1,2,h,2018-08-18 21:00:00
10669,Amiens,Reims,2.18312,0.700141,4,1,h,2018-08-25 21:00:00
10680,Amiens,Saint-Etienne,0.325126,0.737428,0,0,a,2018-09-02 13:00:00
10683,Amiens,Lille,1.44867,2.81999,2,3,h,2018-09-15 18:00:00
10701,Amiens,Strasbourg,0.672883,1.07472,1,3,a,2018-09-22 18:00:00
10703,Amiens,Rennes,0.730869,1.83024,2,1,h,2018-09-26 17:00:00
10714,Amiens,Caen,0.247116,1.44696,0,1,a,2018-09-29 18:00:00
10723,Amiens,Dijon,0.301024,0.371877,1,0,h,2018-10-06 18:00:00
10739,Amiens,Paris Saint Germain,0.573532,2.50391,0,5,a,2018-10-20 15:00:00
10743,Amiens,Nantes,1.03691,1.6779,1,2,h,2018-10-27 18:00:00
10758,Amiens,Nice,0.702143,1.24182,0,1,a,2018-11-03 19:00:00
10770,Amiens,Toulouse,0.703611,1.46625,1,0,a,2018-11-10 19:00:00
10773,Amiens,Marseille,0.994152,1.84765,1,3,h,2018-11-25 20:00:00
10787,Amiens,Nimes,0.737512,2.01592,0,3,a,2018-12-01 19:00:00
10795,Amiens,Monaco,0.710707,1.77175,0,2,h,2018-12-04 18:00:00
10804,Amiens,Guingamp,1.57965,1.12624,2,1,a,2018-12-08 19:00:00
10824,Amiens,Bordeaux,0.348658,0.477339,1,1,a,2018-12-23 00:00:00
10813,Amiens,Angers,1.67735,0.225282,0,0,h,2019-01-08 18:00:00
10839,Amiens,Paris Saint Germain,0.280069,2.45409,0,3,h,2019-01-12 16:00:00
10851,Amiens,Lille,0.372963,2.42512,1,2,a,2019-01-18 19:45:00
10853,Amiens,Lyon,0.667387,1.24157,0,1,h,2019-01-27 16:00:00
10868,Amiens,Rennes,0.681757,1.92834,0,1,a,2019-02-02 19:00:00
10873,Amiens,Caen,0.830006,0.385482,1,0,h,2019-02-09 19:00:00
10888,Amiens,Marseille,1.0545,1.28871,0,2,a,2019-02-16 16:00:00
10893,Amiens,Nice,1.66901,0.204022,1,0,h,2019-02-23 19:00:00
10903,Amiens,Reims,2.06668,1.21225,2,2,a,2019-03-02 19:00:00
10920,Amiens,Nimes,2.30832,0.756547,2,1,h,2019-03-09 19:00:00
10927,Amiens,Angers,0.513682,1.41618,0,0,a,2019-03-16 19:00:00
10935,Amiens,Bordeaux,0.663195,0.543639,0,0,h,2019-03-31 13:00:00
10943,Amiens,Saint-Etienne,1.16144,2.00231,2,2,h,2019-04-06 19:00:00
10953,Amiens,Dijon,0.205846,1.31762,0,0,a,2019-04-12 18:00:00
10966,Amiens,Nantes,0.49349,1.31106,2,3,a,2019-04-21 14:00:00
10973,Amiens,Strasbourg,0.495867,0.329978,0,0,h,2019-04-28 14:00:00
10991,Amiens,Montpellier,0.184865,0.557285,1,1,a,2019-05-05 14:00:00
10993,Amiens,Toulouse,0.735648,0.357155,0,0,h,2019-05-11 19:00:00
11007,Amiens,Monaco,0.920134,0.853588,0,2,a,2019-05-18 19:00:00
11013,Amiens,Guingamp,2.9567,1.21866,2,1,h,2019-05-24 19:05:00
