,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
10647,Angers,Nimes,2.62438,1.21376,3,4,h,2018-08-11 21:00:00
10656,Angers,Rennes,0.349744,0.390542,0,1,a,2018-08-18 21:00:00
10664,Angers,Paris Saint Germain,1.5059,2.03223,1,3,a,2018-08-25 18:00:00
10675,Angers,Lille,0.762905,1.51191,1,0,h,2018-09-01 18:00:00
10686,Angers,Dijon,1.54749,1.2955,3,1,a,2018-09-15 18:00:00
10693,Angers,Toulouse,0.613569,0.419431,0,0,h,2018-09-22 18:00:00
10708,Angers,Monaco,0.353164,0.64811,1,0,a,2018-09-25 17:00:00
10713,Angers,Guingamp,0.366935,1.49767,0,1,h,2018-09-29 18:00:00
10724,Angers,Strasbourg,2.15923,1.30474,2,2,h,2018-10-06 18:00:00
10740,Angers,Reims,1.62653,1.03372,1,1,a,2018-10-20 18:00:00
10744,Angers,Lyon,1.01309,1.73098,1,2,h,2018-10-27 15:00:00
10761,Angers,Saint-Etienne,1.65241,2.07401,3,4,a,2018-11-04 16:00:00
10763,Angers,Montpellier,1.16521,0.268513,1,0,h,2018-11-10 19:00:00
10781,Angers,Nantes,1.01835,1.63216,1,1,a,2018-11-24 19:00:00
10791,Angers,Caen,1.84283,0.806956,1,1,h,2018-12-01 19:00:00
10800,Angers,Nice,0.25499,2.32239,0,0,a,2018-12-04 18:00:00
10823,Angers,Marseille,2.20776,1.6101,1,1,h,2018-12-22 19:00:00
10813,Angers,Amiens,0.225282,1.67735,0,0,a,2019-01-08 18:00:00
10803,Angers,Bordeaux,2.30506,0.399046,1,2,h,2019-01-15 18:00:00
10848,Angers,Nantes,0.198071,1.14784,1,0,h,2019-01-20 21:00:00
10837,Angers,Nimes,1.58031,1.76356,1,3,a,2019-01-23 18:00:00
10862,Angers,Toulouse,1.33953,1.46217,0,0,a,2019-01-27 00:00:00
10871,Angers,Dijon,1.37192,0.359499,1,0,h,2019-02-02 19:00:00
10880,Angers,Strasbourg,0.749397,1.12166,2,1,a,2019-02-09 19:00:00
10883,Angers,Nice,2.26785,0.484624,3,0,h,2019-02-16 19:00:00
10895,Angers,Guingamp,0.331604,0.619943,0,1,a,2019-02-23 19:00:00
10904,Angers,Monaco,1.19865,1.48671,2,2,h,2019-03-02 19:00:00
10919,Angers,Montpellier,1.09374,1.13122,2,2,a,2019-03-10 14:00:00
10927,Angers,Amiens,1.41618,0.513682,0,0,h,2019-03-16 19:00:00
10933,Angers,Marseille,2.18504,0.969941,2,2,a,2019-03-30 16:00:00
10948,Angers,Rennes,1.97361,2.1258,3,3,h,2019-04-06 19:00:00
10954,Angers,Caen,1.20442,0.515272,1,0,a,2019-04-13 19:00:00
10965,Angers,Lyon,0.447996,2.88984,1,2,a,2019-04-19 19:45:00
10982,Angers,Reims,0.69153,0.284685,1,1,h,2019-04-28 14:00:00
10987,Angers,Bordeaux,0.736511,0.441838,1,0,a,2019-05-04 19:00:00
10994,Angers,Paris Saint Germain,2.02633,1.21061,1,2,h,2019-05-11 16:00:00
11005,Angers,Lille,1.4112,2.70697,0,5,a,2019-05-18 19:00:00
11014,Angers,Saint-Etienne,1.67732,1.2003,1,1,h,2019-05-24 19:05:00
