,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
10652,Caen,Paris Saint Germain,0.189346,3.34692,0,3,a,2018-08-12 22:00:00
10658,Caen,Nice,1.20052,0.568951,1,1,h,2018-08-18 21:00:00
10668,Caen,Nantes,0.635046,1.89955,1,1,a,2018-08-25 21:00:00
10676,Caen,Dijon,1.24948,0.904946,2,0,a,2018-09-01 18:00:00
10685,Caen,Lyon,1.82361,1.00941,2,2,h,2018-09-15 15:00:00
10700,Caen,Saint-Etienne,0.307587,3.12231,1,2,a,2018-09-22 18:00:00
10705,Caen,Montpellier,0.8109,2.0286,2,2,h,2018-09-26 17:00:00
10714,Caen,Amiens,1.44696,0.247116,1,0,h,2018-09-29 18:00:00
10728,Caen,Marseille,0.536643,1.4975,0,2,a,2018-10-07 15:00:00
10733,Caen,Guingamp,0.663293,0.420901,0,0,h,2018-10-20 18:00:00
10747,Caen,Lille,0.248162,0.613536,0,1,a,2018-10-27 18:00:00
10753,Caen,Rennes,1.3999,2.61648,1,2,h,2018-11-03 19:00:00
10764,Caen,Bordeaux,0.302412,1.50911,0,0,a,2018-11-11 14:00:00
10774,Caen,Monaco,0.789079,0.845589,0,1,h,2018-11-24 19:00:00
10791,Caen,Angers,0.806956,1.84283,1,1,a,2018-12-01 19:00:00
10797,Caen,Nimes,0.783167,2.56928,1,2,h,2018-12-05 18:00:00
10811,Caen,Strasbourg,0.272896,1.20496,2,2,a,2018-12-09 14:00:00
10814,Caen,Toulouse,1.44798,1.38531,2,1,h,2018-12-18 00:00:00
10829,Caen,Reims,0.412006,1.74452,2,2,a,2018-12-22 19:00:00
10840,Caen,Lille,1.25049,3.05098,1,3,h,2019-01-11 18:00:00
10850,Caen,Marseille,0.404407,1.08581,0,1,h,2019-01-20 16:00:00
10854,Caen,Montpellier,0.282962,1.19659,0,2,a,2019-01-27 14:00:00
10873,Caen,Amiens,0.385482,0.830006,0,1,a,2019-02-09 19:00:00
10863,Caen,Nantes,0.460068,1.32567,0,1,h,2019-02-13 18:30:00
10885,Caen,Strasbourg,0.52674,0.629274,0,0,h,2019-02-17 14:00:00
10901,Caen,Toulouse,2.12374,1.37742,1,1,a,2019-02-24 14:00:00
10906,Caen,Paris Saint Germain,0.706972,4.04015,1,2,h,2019-03-02 16:00:00
10915,Caen,Rennes,0.179397,1.89298,1,3,a,2019-03-10 16:00:00
10930,Caen,Saint-Etienne,0.0268116,2.3696,0,5,h,2019-03-16 19:00:00
10938,Caen,Monaco,0.614797,1.58473,1,0,a,2019-03-31 13:00:00
10947,Caen,Nimes,0.18775,1.08376,0,2,a,2019-04-06 19:00:00
10954,Caen,Angers,0.515272,1.20442,0,1,h,2019-04-13 19:00:00
10967,Caen,Nice,0.336975,2.43168,1,0,a,2019-04-20 19:00:00
10980,Caen,Dijon,1.3218,0.563943,1,0,h,2019-04-28 14:00:00
10988,Caen,Guingamp,0.0263437,0.380624,0,0,a,2019-05-04 19:00:00
10995,Caen,Reims,1.06469,1.63278,3,2,h,2019-05-11 19:00:00
11006,Caen,Lyon,0.227017,3.31397,0,4,a,2019-05-18 19:00:00
11015,Caen,Bordeaux,1.00444,1.71414,0,1,h,2019-05-24 19:05:00
