,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
10648,Lille,Rennes,1.88164,0.447458,3,1,h,2018-08-11 21:00:00
10655,Lille,Monaco,0.580405,1.62023,0,0,a,2018-08-18 21:00:00
10670,Lille,Guingamp,1.70571,0.563755,3,0,h,2018-08-26 16:00:00
10675,Lille,Angers,1.51191,0.762905,0,1,a,2018-09-01 18:00:00
10683,Lille,Amiens,2.81999,1.44867,3,2,a,2018-09-15 18:00:00
10695,Lille,Nantes,0.703161,1.2322,2,1,h,2018-09-22 15:00:00
10704,Lille,Bordeaux,2.01084,0.891123,0,1,a,2018-09-26 17:00:00
10715,Lille,Marseille,2.94559,0.424331,3,0,h,2018-09-30 19:00:00
10727,Lille,Saint-Etienne,0.792513,1.33367,3,1,h,2018-10-06 15:00:00
10734,Lille,Dijon,1.94079,1.51825,2,1,a,2018-10-20 18:00:00
10747,Lille,Caen,0.613536,0.248162,1,0,h,2018-10-27 18:00:00
10759,Lille,Paris Saint Germain,0.926791,2.33789,1,2,a,2018-11-02 19:45:00
10771,Lille,Strasbourg,1.30563,0.137134,0,0,h,2018-11-09 19:45:00
10780,Lille,Nice,0.297641,0.888644,0,2,a,2018-11-25 16:00:00
10784,Lille,Lyon,0.998116,2.54317,2,2,h,2018-12-01 16:00:00
10793,Lille,Montpellier,2.01852,0.82747,1,0,a,2018-12-04 20:00:00
10805,Lille,Reims,1.68774,1.18633,1,1,h,2018-12-09 16:00:00
10821,Lille,Nimes,0.799215,1.21197,3,2,a,2018-12-16 14:00:00
10825,Lille,Toulouse,1.21833,1.66998,1,2,h,2018-12-22 19:00:00
10840,Lille,Caen,3.05098,1.25049,3,1,a,2019-01-11 18:00:00
10851,Lille,Amiens,2.42512,0.372963,2,1,h,2019-01-18 19:45:00
10855,Lille,Marseille,2.01792,0.607173,2,1,a,2019-01-25 19:45:00
10864,Lille,Nice,2.38345,0.504972,4,0,h,2019-02-01 19:45:00
10875,Lille,Guingamp,1.33904,0.590045,2,0,a,2019-02-10 16:00:00
10886,Lille,Montpellier,1.04707,0.654043,0,0,h,2019-02-17 14:00:00
10900,Lille,Strasbourg,1.16066,0.390051,1,1,a,2019-02-22 19:45:00
10908,Lille,Dijon,0.755393,0.279519,1,0,h,2019-03-03 14:00:00
10916,Lille,Saint-Etienne,1.56667,0.309982,1,0,a,2019-03-10 14:00:00
10929,Lille,Monaco,1.82457,2.02122,0,1,h,2019-03-15 19:45:00
10939,Lille,Nantes,2.62697,1.8751,3,2,a,2019-03-31 15:00:00
10945,Lille,Reims,0.922252,1.25379,1,1,a,2019-04-07 14:00:00
10956,Lille,Paris Saint Germain,1.98648,1.27918,5,1,h,2019-04-14 20:00:00
10971,Lille,Toulouse,1.07885,0.509305,0,0,a,2019-04-21 14:00:00
10979,Lille,Nimes,2.44144,0.915687,5,0,h,2019-04-28 14:00:00
10989,Lille,Lyon,1.90984,1.67052,2,2,a,2019-05-05 20:00:00
10997,Lille,Bordeaux,0.978483,0.560038,1,0,h,2019-05-12 16:00:00
11005,Lille,Angers,2.70697,1.4112,5,0,h,2019-05-18 19:00:00
11022,Lille,Rennes,1.02643,2.09891,1,3,a,2019-05-24 19:05:00
