,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
217654,Head,FromCorner,BlockedShot,0.01483902707695961,84,2,0,Marcelo,93,h,Lyon,Amiens,Memphis Depay,2018-08-12 16:00:00,10650,2018,"(0.9480000305175781, 0.39099998474121095)"
217652,RightFoot,DirectFreekick,Goal,0.1181819811463356,74,2,0,Memphis Depay,555,h,Lyon,Amiens,,2018-08-12 16:00:00,10650,2018,"(0.8209999847412109, 0.639000015258789)"
217655,RightFoot,FromCorner,BlockedShot,0.031245332211256027,85,2,0,Houssem Aouar,5733,h,Lyon,Amiens,Martin Terrier,2018-08-12 16:00:00,10650,2018,"(0.9130000305175782, 0.674000015258789)"
217657,RightFoot,DirectFreekick,MissedShots,0.041090793907642365,88,2,0,Memphis Depay,555,h,Lyon,Amiens,,2018-08-12 16:00:00,10650,2018,"(0.7440000152587891, 0.7140000152587891)"
217651,RightFoot,DirectFreekick,SavedShot,0.03516768291592598,72,2,0,Memphis Depay,555,h,Lyon,Amiens,,2018-08-12 16:00:00,10650,2018,"(0.82, 0.13199999809265137)"
217638,LeftFoot,OpenPlay,Goal,0.13116960227489471,23,2,0,Bertrand Traoré,695,h,Lyon,Amiens,Tanguy NDombele Alvaro,2018-08-12 16:00:00,10650,2018,"(0.96, 0.3609999847412109)"
217639,LeftFoot,OpenPlay,SavedShot,0.056750714778900146,27,2,0,Bertrand Traoré,695,h,Lyon,Amiens,Jérémy Morel,2018-08-12 16:00:00,10650,2018,"(0.91, 0.2929999923706055)"
217642,LeftFoot,DirectFreekick,MissedShots,0.03849463909864426,41,2,0,Bertrand Traoré,695,h,Lyon,Amiens,,2018-08-12 16:00:00,10650,2018,"(0.7369999694824219, 0.28299999237060547)"
217637,LeftFoot,OpenPlay,SavedShot,0.32189643383026123,20,2,0,Bertrand Traoré,695,h,Lyon,Amiens,Memphis Depay,2018-08-12 16:00:00,10650,2018,"(0.855999984741211, 0.40400001525878904)"
217644,Head,FromCorner,MissedShots,0.02750539407134056,46,2,0,Mariano,5110,h,Lyon,Amiens,Memphis Depay,2018-08-12 16:00:00,10650,2018,"(0.93, 0.575999984741211)"
217635,RightFoot,OpenPlay,SavedShot,0.040607091039419174,13,2,0,Lucas Tousart,3743,h,Lyon,Amiens,Houssem Aouar,2018-08-12 16:00:00,10650,2018,"(0.8080000305175781, 0.3820000076293945)"
217634,RightFoot,OpenPlay,SavedShot,0.28695330023765564,12,2,0,Léo Dubois,3412,h,Lyon,Amiens,Bertrand Traoré,2018-08-12 16:00:00,10650,2018,"(0.8880000305175781, 0.3629999923706055)"
217645,LeftFoot,OpenPlay,BlockedShot,0.050643179565668106,48,2,0,Léo Dubois,3412,h,Lyon,Amiens,,2018-08-12 16:00:00,10650,2018,"(0.8159999847412109, 0.28600000381469726)"
217646,RightFoot,OpenPlay,BlockedShot,0.02148205041885376,49,2,0,Mariano,5110,h,Lyon,Amiens,Memphis Depay,2018-08-12 16:00:00,10650,2018,"(0.754000015258789, 0.7519999694824219)"
217633,RightFoot,OpenPlay,BlockedShot,0.09205897152423859,12,2,0,Memphis Depay,555,h,Lyon,Amiens,Mariano,2018-08-12 16:00:00,10650,2018,"(0.9, 0.635)"
217888,Head,OpenPlay,MissedShots,0.1108071431517601,91,0,1,Lucas Tousart,3743,a,Lyon,Reims,Rafael,2018-08-17 21:45:00,10653,2018,"(0.9169999694824219, 0.52)"
217885,RightFoot,OpenPlay,MissedShots,0.019925927743315697,87,0,1,Lucas Tousart,3743,a,Lyon,Reims,Tanguy NDombele Alvaro,2018-08-17 21:45:00,10653,2018,"(0.749000015258789, 0.41)"
217870,Head,FromCorner,MissedShots,0.11440715193748474,50,0,1,Mariano,5110,a,Lyon,Reims,Memphis Depay,2018-08-17 21:45:00,10653,2018,"(0.9419999694824219, 0.44599998474121094)"
217879,RightFoot,OpenPlay,BlockedShot,0.07306686043739319,67,0,1,Martin Terrier,5611,a,Lyon,Reims,,2018-08-17 21:45:00,10653,2018,"(0.8880000305175781, 0.4329999923706055)"
217886,LeftFoot,OpenPlay,MissedShots,0.1008702889084816,88,0,1,Martin Terrier,5611,a,Lyon,Reims,Maxwel Cornet,2018-08-17 21:45:00,10653,2018,"(0.9080000305175782, 0.6029999923706054)"
217881,LeftFoot,OpenPlay,SavedShot,0.038620587438344955,71,0,1,Memphis Depay,555,a,Lyon,Reims,Bertrand Traoré,2018-08-17 21:45:00,10653,2018,"(0.779000015258789, 0.515)"
217878,RightFoot,DirectFreekick,SavedShot,0.07192037254571915,64,0,1,Memphis Depay,555,a,Lyon,Reims,,2018-08-17 21:45:00,10653,2018,"(0.755, 0.48200000762939454)"
217867,LeftFoot,OpenPlay,BlockedShot,0.013892991468310356,22,0,1,Memphis Depay,555,a,Lyon,Reims,,2018-08-17 21:45:00,10653,2018,"(0.735, 0.38)"
217864,RightFoot,OpenPlay,BlockedShot,0.019931217655539513,6,0,1,Memphis Depay,555,a,Lyon,Reims,Tanguy NDombele Alvaro,2018-08-17 21:45:00,10653,2018,"(0.7869999694824219, 0.6990000152587891)"
217876,RightFoot,OpenPlay,MissedShots,0.032311201095581055,62,0,1,Léo Dubois,3412,a,Lyon,Reims,,2018-08-17 21:45:00,10653,2018,"(0.8669999694824219, 0.27100000381469724)"
217887,RightFoot,OpenPlay,SavedShot,0.04753735661506653,89,0,1,Maxwel Cornet,3278,a,Lyon,Reims,Lucas Tousart,2018-08-17 21:45:00,10653,2018,"(0.8619999694824219, 0.6840000152587891)"
217873,RightFoot,OpenPlay,SavedShot,0.019869964569807053,55,0,1,Houssem Aouar,5733,a,Lyon,Reims,Tanguy NDombele Alvaro,2018-08-17 21:45:00,10653,2018,"(0.7480000305175781, 0.6409999847412109)"
217874,Head,SetPiece,SavedShot,0.05237382650375366,61,0,1,Houssem Aouar,5733,a,Lyon,Reims,Marcelo,2018-08-17 21:45:00,10653,2018,"(0.87, 0.47200000762939454)"
217875,RightFoot,OpenPlay,BlockedShot,0.09487856179475784,62,0,1,Houssem Aouar,5733,a,Lyon,Reims,Tanguy NDombele Alvaro,2018-08-17 21:45:00,10653,2018,"(0.8880000305175781, 0.415)"
217884,RightFoot,OpenPlay,MissedShots,0.022144220769405365,82,0,1,Ferland Mendy,6233,a,Lyon,Reims,Maxwel Cornet,2018-08-17 21:45:00,10653,2018,"(0.7909999847412109, 0.68)"
217868,RightFoot,OpenPlay,BlockedShot,0.020107662305235863,27,0,1,Ferland Mendy,6233,a,Lyon,Reims,Memphis Depay,2018-08-17 21:45:00,10653,2018,"(0.82, 0.7380000305175781)"
217866,LeftFoot,OpenPlay,MissedShots,0.013037319295108318,18,0,1,Léo Dubois,3412,a,Lyon,Reims,,2018-08-17 21:45:00,10653,2018,"(0.774000015258789, 0.41)"
217872,LeftFoot,OpenPlay,MissedShots,0.036466166377067566,52,0,1,Bertrand Traoré,695,a,Lyon,Reims,,2018-08-17 21:45:00,10653,2018,"(0.8519999694824218, 0.30100000381469727)"
217877,LeftFoot,OpenPlay,BlockedShot,0.07886971533298492,62,0,1,Bertrand Traoré,695,a,Lyon,Reims,Houssem Aouar,2018-08-17 21:45:00,10653,2018,"(0.889000015258789, 0.5220000076293946)"
219830,Head,FromCorner,BlockedShot,0.018151354044675827,24,2,0,Martin Terrier,5611,h,Lyon,Strasbourg,Memphis Depay,2018-08-24 21:45:00,10663,2018,"(0.8830000305175781, 0.6020000076293945)"
219838,LeftFoot,OpenPlay,MissedShots,0.032115429639816284,56,2,0,Bertrand Traoré,695,h,Lyon,Strasbourg,Memphis Depay,2018-08-24 21:45:00,10663,2018,"(0.8030000305175782, 0.29100000381469726)"
219835,LeftFoot,OpenPlay,SavedShot,0.057472482323646545,49,2,0,Bertrand Traoré,695,h,Lyon,Strasbourg,Martin Terrier,2018-08-24 21:45:00,10663,2018,"(0.8830000305175781, 0.295)"
219832,Head,FromCorner,BlockedShot,0.0858571007847786,31,2,0,Bertrand Traoré,695,h,Lyon,Strasbourg,Memphis Depay,2018-08-24 21:45:00,10663,2018,"(0.9540000152587891, 0.509000015258789)"
219823,LeftFoot,OpenPlay,SavedShot,0.00949972402304411,6,2,0,Bertrand Traoré,695,h,Lyon,Strasbourg,,2018-08-24 21:45:00,10663,2018,"(0.7559999847412109, 0.22100000381469725)"
219822,LeftFoot,OpenPlay,BlockedShot,0.03862786293029785,5,2,0,Bertrand Traoré,695,h,Lyon,Strasbourg,Memphis Depay,2018-08-24 21:45:00,10663,2018,"(0.89, 0.28899999618530275)"
219828,LeftFoot,OpenPlay,SavedShot,0.014072534628212452,20,2,0,Lucas Tousart,3743,h,Lyon,Strasbourg,,2018-08-24 21:45:00,10663,2018,"(0.7319999694824219, 0.5729999923706055)"
