,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
217772,RightFoot,OpenPlay,SavedShot,0.1355452686548233,83,3,0,Timothy Weah,6601,h,Paris Saint Germain,Caen,Moussa Diaby,2018-08-12 22:00:00,10652,2018,"(0.93, 0.33)"
217766,Head,OpenPlay,SavedShot,0.5634530186653137,60,3,0,Ángel Di María,3553,h,Paris Saint Germain,Caen,Colin Dagba,2018-08-12 22:00:00,10652,2018,"(0.95, 0.505)"
217761,LeftFoot,OpenPlay,SavedShot,0.06205352023243904,20,3,0,Ángel Di María,3553,h,Paris Saint Germain,Caen,Stanley N&#039;Soki,2018-08-12 22:00:00,10652,2018,"(0.8919999694824219, 0.7090000152587891)"
217768,RightFoot,DirectFreekick,MissedShots,0.044935442507267,65,3,0,Neymar,2099,h,Paris Saint Germain,Caen,,2018-08-12 22:00:00,10652,2018,"(0.7169999694824218, 0.5720000076293945)"
217770,RightFoot,OpenPlay,BlockedShot,0.18436768651008606,73,3,0,Neymar,2099,h,Paris Saint Germain,Caen,,2018-08-12 22:00:00,10652,2018,"(0.8930000305175781, 0.585)"
217773,LeftFoot,OpenPlay,Goal,0.8332364559173584,88,3,0,Timothy Weah,6601,h,Paris Saint Germain,Caen,,2018-08-12 22:00:00,10652,2018,"(0.9819999694824219, 0.46299999237060546)"
217771,RightFoot,DirectFreekick,MissedShots,0.10648051649332047,80,3,0,Neymar,2099,h,Paris Saint Germain,Caen,,2018-08-12 22:00:00,10652,2018,"(0.7930000305175782, 0.4209999847412109)"
217758,LeftFoot,OpenPlay,Goal,0.3595609962940216,9,3,0,Neymar,2099,h,Paris Saint Germain,Caen,Christopher Nkunku,2018-08-12 22:00:00,10652,2018,"(0.855, 0.47299999237060547)"
217767,RightFoot,OpenPlay,SavedShot,0.11573096364736557,63,3,0,Christopher Nkunku,3300,h,Paris Saint Germain,Caen,,2018-08-12 22:00:00,10652,2018,"(0.865999984741211, 0.63)"
217759,LeftFoot,FromCorner,SavedShot,0.007515063509345055,15,3,0,Antoine Bernede,6360,h,Paris Saint Germain,Caen,Ángel Di María,2018-08-12 22:00:00,10652,2018,"(0.7559999847412109, 0.7119999694824218)"
217762,LeftFoot,OpenPlay,Goal,0.9340444803237915,34,3,0,Adrien Rabiot,3291,h,Paris Saint Germain,Caen,Ángel Di María,2018-08-12 22:00:00,10652,2018,"(0.9719999694824218, 0.534000015258789)"
218101,RightFoot,OpenPlay,BlockedShot,0.07451671361923218,59,3,1,Kylian Mbappe-Lottin,3423,a,Paris Saint Germain,Guingamp,Neymar,2018-08-18 18:00:00,10654,2018,"(0.870999984741211, 0.38299999237060545)"
218082,LeftFoot,OpenPlay,MissedShots,0.020821643993258476,4,3,1,Ángel Di María,3553,a,Paris Saint Germain,Guingamp,Christopher Nkunku,2018-08-18 18:00:00,10654,2018,"(0.779000015258789, 0.27)"
218102,RightFoot,OpenPlay,MissedShots,0.020513752475380898,62,3,1,Neymar,2099,a,Paris Saint Germain,Guingamp,Adrien Rabiot,2018-08-18 18:00:00,10654,2018,"(0.7440000152587891, 0.40599998474121096)"
218090,Head,FromCorner,MissedShots,0.08099686354398727,24,3,1,Thiago Silva,3288,a,Paris Saint Germain,Guingamp,Ángel Di María,2018-08-18 18:00:00,10654,2018,"(0.955999984741211, 0.41200000762939454)"
218105,RightFoot,OpenPlay,Goal,0.3731935918331146,81,3,1,Kylian Mbappe-Lottin,3423,a,Paris Saint Germain,Guingamp,Ángel Di María,2018-08-18 18:00:00,10654,2018,"(0.889000015258789, 0.575)"
218098,RightFoot,Penalty,Goal,0.7600951194763184,52,3,1,Neymar,2099,a,Paris Saint Germain,Guingamp,,2018-08-18 18:00:00,10654,2018,"(0.885, 0.5)"
218095,RightFoot,OpenPlay,SavedShot,0.019121462479233742,45,3,1,Neymar,2099,a,Paris Saint Germain,Guingamp,Ángel Di María,2018-08-18 18:00:00,10654,2018,"(0.7340000152587891, 0.41200000762939454)"
218106,Head,SetPiece,MissedShots,0.4625411033630371,86,3,1,Thiago Silva,3288,a,Paris Saint Germain,Guingamp,Neymar,2018-08-18 18:00:00,10654,2018,"(0.9290000152587891, 0.48700000762939455)"
218107,RightFoot,OpenPlay,Goal,0.34302815794944763,89,3,1,Kylian Mbappe-Lottin,3423,a,Paris Saint Germain,Guingamp,Neymar,2018-08-18 18:00:00,10654,2018,"(0.9159999847412109, 0.649000015258789)"
