,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
10645,Reims,Nice,0.26742,1.03263,1,0,a,2018-08-11 21:00:00
10653,Reims,Lyon,0.677345,0.977973,1,0,h,2018-08-17 21:45:00
10669,Reims,Amiens,0.700141,2.18312,1,4,a,2018-08-25 21:00:00
10678,Reims,Montpellier,1.01568,0.469098,0,1,h,2018-09-01 18:00:00
10689,Reims,Nantes,0.426507,0.822305,0,0,a,2018-09-16 13:00:00
10698,Reims,Dijon,1.06301,0.154099,0,0,h,2018-09-22 18:00:00
10711,Reims,Paris Saint Germain,0.326745,3.65268,1,4,a,2018-09-26 19:00:00
10719,Reims,Bordeaux,0.63867,0.205687,0,0,h,2018-09-29 18:00:00
10730,Reims,Nimes,1.4833,0.760306,0,0,a,2018-10-06 18:00:00
10740,Reims,Angers,1.03372,1.62653,1,1,h,2018-10-20 18:00:00
10750,Reims,Rennes,0.225626,0.512686,2,0,a,2018-10-28 13:00:00
10760,Reims,Monaco,1.10683,1.02637,1,0,h,2018-11-03 19:00:00
10769,Reims,Saint-Etienne,0.7083,1.30361,0,2,a,2018-11-10 19:00:00
10778,Reims,Guingamp,1.07478,1.26231,2,1,h,2018-11-24 19:00:00
10785,Reims,Marseille,0.510439,0.682463,0,0,a,2018-12-02 16:00:00
10801,Reims,Toulouse,1.55092,1.2521,0,1,h,2018-12-05 18:00:00
10805,Reims,Lille,1.18633,1.68774,1,1,a,2018-12-09 16:00:00
10822,Reims,Strasbourg,0.766134,0.491204,2,1,h,2018-12-15 19:00:00
10829,Reims,Caen,1.74452,0.412006,2,2,h,2018-12-22 19:00:00
10834,Reims,Lyon,1.01755,1.17326,1,1,a,2019-01-11 19:45:00
10845,Reims,Nice,1.29292,1.0655,1,1,h,2019-01-19 19:00:00
10856,Reims,Guingamp,0.658018,0.444499,1,0,a,2019-01-26 19:00:00
10867,Reims,Marseille,0.600538,1.03793,2,1,h,2019-02-02 20:00:00
10882,Reims,Toulouse,1.41872,0.608776,1,1,a,2019-02-10 14:00:00
10891,Reims,Rennes,0.665264,0.395172,2,0,h,2019-02-17 16:00:00
10896,Reims,Montpellier,1.97606,1.48978,4,2,a,2019-02-24 14:00:00
10903,Reims,Amiens,1.21225,2.06668,2,2,h,2019-03-02 19:00:00
10921,Reims,Dijon,2.87131,0.829466,1,1,a,2019-03-09 19:00:00
10923,Reims,Nantes,0.568493,0.290251,1,0,h,2019-03-17 14:00:00
10942,Reims,Strasbourg,0.996951,2.46941,0,4,a,2019-04-03 18:00:00
10945,Reims,Lille,1.25379,0.922252,1,1,h,2019-04-07 14:00:00
10957,Reims,Monaco,0.568613,1.62135,0,0,a,2019-04-13 19:00:00
10969,Reims,Saint-Etienne,0.598019,1.74243,0,2,h,2019-04-21 16:00:00
10982,Reims,Angers,0.284685,0.69153,1,1,a,2019-04-28 14:00:00
10984,Reims,Nimes,0.371217,1.83967,0,3,h,2019-05-04 19:00:00
10995,Reims,Caen,1.63278,1.06469,2,3,a,2019-05-11 19:00:00
11003,Reims,Bordeaux,1.76216,0.599441,1,0,a,2019-05-18 19:00:00
11021,Reims,Paris Saint Germain,0.863766,1.41575,3,1,h,2019-05-24 19:05:00
