,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
10649,Saint-Etienne,Guingamp,0.934842,1.37217,2,1,h,2018-08-11 21:00:00
10660,Saint-Etienne,Strasbourg,0.329551,0.626045,1,1,a,2018-08-19 16:00:00
10667,Saint-Etienne,Montpellier,0.245117,0.417545,0,0,a,2018-08-25 21:00:00
10680,Saint-Etienne,Amiens,0.737428,0.325126,0,0,h,2018-09-02 13:00:00
10691,Saint-Etienne,Paris Saint Germain,0.8923,2.6433,0,4,a,2018-09-14 18:45:00
10700,Saint-Etienne,Caen,3.12231,0.307587,2,1,h,2018-09-22 18:00:00
10712,Saint-Etienne,Toulouse,2.23179,1.09674,3,2,a,2018-09-25 19:00:00
10722,Saint-Etienne,Monaco,2.03551,1.85855,2,0,h,2018-09-28 18:45:00
10727,Saint-Etienne,Lille,1.33367,0.792513,1,3,a,2018-10-06 15:00:00
10741,Saint-Etienne,Rennes,1.76728,2.01595,1,1,h,2018-10-21 15:00:00
10749,Saint-Etienne,Nimes,1.21742,1.32474,1,1,a,2018-10-26 18:45:00
10761,Saint-Etienne,Angers,2.07401,1.65241,4,3,h,2018-11-04 16:00:00
10769,Saint-Etienne,Reims,1.30361,0.7083,2,0,h,2018-11-10 19:00:00
10776,Saint-Etienne,Lyon,1.31216,0.649858,0,1,a,2018-11-23 19:45:00
10789,Saint-Etienne,Nantes,2.78933,0.382165,3,0,h,2018-11-30 19:45:00
10796,Saint-Etienne,Bordeaux,1.93225,2.49424,2,3,a,2018-12-05 18:00:00
10820,Saint-Etienne,Nice,1.54512,2.24971,1,1,a,2018-12-16 00:00:00
10831,Saint-Etienne,Dijon,2.19805,0.759878,3,0,h,2018-12-22 19:00:00
10833,Saint-Etienne,Guingamp,0.565001,0.562421,1,0,a,2019-01-12 19:00:00
10810,Saint-Etienne,Marseille,1.91237,1.15355,2,1,h,2019-01-16 20:00:00
10852,Saint-Etienne,Lyon,3.05035,2.23643,1,2,h,2019-01-20 20:00:00
10861,Saint-Etienne,Nantes,1.82915,1.65404,1,1,a,2019-01-30 00:00:00
10881,Saint-Etienne,Rennes,1.45439,2.78276,0,3,a,2019-02-10 16:00:00
10869,Saint-Etienne,Strasbourg,1.73664,0.83933,2,1,h,2019-02-13 18:00:00
10892,Saint-Etienne,Paris Saint Germain,0.565414,1.25551,0,1,h,2019-02-17 20:00:00
10894,Saint-Etienne,Dijon,0.990687,0.322809,1,0,a,2019-02-22 18:00:00
10910,Saint-Etienne,Marseille,0.226702,2.5842,0,2,a,2019-03-03 20:00:00
10916,Saint-Etienne,Lille,0.309982,1.56667,0,1,h,2019-03-10 14:00:00
10930,Saint-Etienne,Caen,2.3696,0.0268116,5,0,a,2019-03-16 19:00:00
10936,Saint-Etienne,Nimes,2.20428,1.66277,2,1,h,2019-04-01 19:30:00
10943,Saint-Etienne,Amiens,2.00231,1.16144,2,2,a,2019-04-06 19:00:00
10961,Saint-Etienne,Bordeaux,2.13067,0.639973,3,0,h,2019-04-14 16:00:00
10969,Saint-Etienne,Reims,1.74243,0.598019,2,0,a,2019-04-21 16:00:00
10974,Saint-Etienne,Toulouse,1.98087,1.55702,2,0,h,2019-04-28 16:00:00
10990,Saint-Etienne,Monaco,0.724014,2.44244,3,2,a,2019-05-05 16:00:00
11001,Saint-Etienne,Montpellier,0.768847,1.54022,0,1,h,2019-05-10 19:45:00
11010,Saint-Etienne,Nice,2.08331,0.86802,3,0,h,2019-05-18 19:00:00
11014,Saint-Etienne,Angers,1.2003,1.67732,1,1,a,2019-05-24 19:05:00
