,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
10651,Strasbourg,Bordeaux,1.32715,0.0853905,2,0,a,2018-08-12 18:00:00
10660,Strasbourg,Saint-Etienne,0.626045,0.329551,1,1,h,2018-08-19 16:00:00
10663,Strasbourg,Lyon,0.393592,1.24291,0,2,a,2018-08-24 21:45:00
10679,Strasbourg,Nantes,1.42569,1.29618,2,3,h,2018-09-01 18:00:00
10688,Strasbourg,Montpellier,0.756661,0.344069,1,1,a,2018-09-15 18:00:00
10701,Strasbourg,Amiens,1.07472,0.672883,3,1,h,2018-09-22 18:00:00
10707,Strasbourg,Marseille,0.81086,1.27899,2,3,a,2018-09-26 17:00:00
10721,Strasbourg,Dijon,0.748818,1.0504,3,0,h,2018-09-29 18:00:00
10724,Strasbourg,Angers,1.30474,2.15923,2,2,a,2018-10-06 18:00:00
10742,Strasbourg,Monaco,0.819667,1.35931,2,1,h,2018-10-20 18:00:00
10746,Strasbourg,Guingamp,1.33564,1.20639,1,1,a,2018-10-27 18:00:00
10762,Strasbourg,Toulouse,1.10891,1.10788,1,1,h,2018-11-03 19:00:00
10771,Strasbourg,Lille,0.137134,1.30563,0,0,a,2018-11-09 19:45:00
10782,Strasbourg,Nimes,0.726506,1.10329,0,1,h,2018-11-24 19:00:00
10788,Strasbourg,Rennes,3.47771,0.579518,4,1,a,2018-12-02 16:00:00
10802,Strasbourg,Paris Saint Germain,0.98684,2.3422,1,1,h,2018-12-05 20:00:00
10811,Strasbourg,Caen,1.20496,0.272896,2,2,h,2018-12-09 14:00:00
10822,Strasbourg,Reims,0.491204,0.766134,1,2,a,2018-12-15 19:00:00
10832,Strasbourg,Nice,2.16724,1.56494,2,0,h,2018-12-22 19:00:00
10838,Strasbourg,Toulouse,1.59408,1.49547,2,1,a,2019-01-13 16:00:00
10846,Strasbourg,Monaco,1.61975,0.918151,5,1,a,2019-01-19 19:00:00
10858,Strasbourg,Bordeaux,0.540997,0.576044,1,0,h,2019-01-26 19:00:00
10880,Strasbourg,Angers,1.12166,0.749397,1,2,h,2019-02-09 19:00:00
10869,Strasbourg,Saint-Etienne,0.83933,1.73664,1,2,a,2019-02-13 18:00:00
10885,Strasbourg,Caen,0.629274,0.52674,0,0,a,2019-02-17 14:00:00
10900,Strasbourg,Lille,0.390051,1.16066,1,1,h,2019-02-22 19:45:00
10911,Strasbourg,Nice,0.387812,1.37605,0,1,a,2019-03-03 14:00:00
10913,Strasbourg,Lyon,0.590414,3.36381,2,2,h,2019-03-09 16:00:00
10924,Strasbourg,Nimes,0.548576,2.35969,2,2,a,2019-03-16 19:00:00
10942,Strasbourg,Reims,2.46941,0.996951,4,0,h,2019-04-03 18:00:00
10946,Strasbourg,Paris Saint Germain,0.620221,2.68148,2,2,a,2019-04-07 20:00:00
10962,Strasbourg,Guingamp,1.68016,2.27104,3,3,h,2019-04-13 19:00:00
10970,Strasbourg,Montpellier,0.296585,2.32593,1,3,h,2019-04-20 19:00:00
10973,Strasbourg,Amiens,0.329978,0.495867,0,0,a,2019-04-28 14:00:00
10985,Strasbourg,Marseille,1.29178,1.79589,1,1,h,2019-05-03 19:45:00
10996,Strasbourg,Dijon,2.20981,1.29438,1,2,a,2019-05-11 19:00:00
11011,Strasbourg,Rennes,1.61956,0.9134,0,2,h,2019-05-18 19:00:00
11018,Strasbourg,Nantes,0.885205,1.40096,1,0,a,2019-05-24 19:05:00
