,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
310149,LeftFoot,OpenPlay,MissedShots,0.05404956638813019,68,1,2,Haitam Aleesami,1270,a,Amiens,Nice,Sehrou Guirassy,2019-08-10 19:00:00,12713,2019,"(0.86, 0.6659999847412109)"
310153,RightFoot,OpenPlay,Goal,0.2564297914505005,80,1,2,Chadrac Akolo,6089,a,Amiens,Nice,,2019-08-10 19:00:00,12713,2019,"(0.8730000305175781, 0.495)"
310145,LeftFoot,OpenPlay,BlockedShot,0.07834236323833466,63,1,2,Cheick Timite,6898,a,Amiens,Nice,Chadrac Akolo,2019-08-10 19:00:00,12713,2019,"(0.8490000152587891, 0.5570000076293945)"
310141,Head,OpenPlay,SavedShot,0.016035737469792366,48,1,2,Cheick Timite,6898,a,Amiens,Nice,Juan Ferney Otero,2019-08-10 19:00:00,12713,2019,"(0.865999984741211, 0.5640000152587891)"
310152,RightFoot,OpenPlay,BlockedShot,0.02218538336455822,77,1,2,Thomas Monconduit,5963,a,Amiens,Nice,,2019-08-10 19:00:00,12713,2019,"(0.754000015258789, 0.48200000762939454)"
310146,Head,SetPiece,MissedShots,0.03299306705594063,64,1,2,Alexis Blin,3207,a,Amiens,Nice,Thomas Monconduit,2019-08-10 19:00:00,12713,2019,"(0.9009999847412109, 0.45799999237060546)"
310132,Head,OpenPlay,BlockedShot,0.08391936868429184,8,1,2,Sehrou Guirassy,3738,a,Amiens,Nice,Cheick Timite,2019-08-10 19:00:00,12713,2019,"(0.9319999694824219, 0.5270000076293946)"
310140,RightFoot,OpenPlay,MissedShots,0.06018805131316185,41,1,2,Sehrou Guirassy,3738,a,Amiens,Nice,,2019-08-10 19:00:00,12713,2019,"(0.870999984741211, 0.395)"
310825,RightFoot,OpenPlay,BlockedShot,0.024062316864728928,13,1,0,Saman Ghoddos,7069,h,Amiens,Lille,Gaël Kakuta,2019-08-17 19:00:00,12721,2019,"(0.784000015258789, 0.32599998474121095)"
310824,RightFoot,OpenPlay,MissedShots,0.050880540162324905,12,1,0,Saman Ghoddos,7069,h,Amiens,Lille,Sehrou Guirassy,2019-08-17 19:00:00,12721,2019,"(0.8630000305175781, 0.33599998474121096)"
310836,LeftFoot,OpenPlay,BlockedShot,0.12771724164485931,66,1,0,Sehrou Guirassy,3738,h,Amiens,Lille,Chadrac Akolo,2019-08-17 19:00:00,12721,2019,"(0.894000015258789, 0.62)"
310839,LeftFoot,OpenPlay,Goal,0.6407543420791626,69,1,0,Sehrou Guirassy,3738,h,Amiens,Lille,Chadrac Akolo,2019-08-17 19:00:00,12721,2019,"(0.9290000152587891, 0.5220000076293946)"
