,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
12711,Brest,Toulouse,2.32973,1.42777,1,1,h,2019-08-10 19:00:00
12726,Brest,Saint-Etienne,0.501067,2.21564,1,1,a,2019-08-18 14:00:00
12738,Brest,Reims,0.528162,0.792044,1,0,h,2019-08-24 19:00:00
12746,Brest,Nimes,0.8598,2.334,0,3,a,2019-08-31 18:00:00
12752,Brest,Rennes,0.388148,0.424593,0,0,h,2019-09-14 18:00:00
12762,Brest,Bordeaux,1.38448,1.56441,2,2,a,2019-09-21 18:00:00
12770,Brest,Lyon,0.507427,1.12904,2,2,h,2019-09-25 17:00:00
12782,Brest,Monaco,0.395322,3.77849,1,4,a,2019-09-28 18:00:00
12796,Brest,Metz,1.09035,0.537656,2,0,h,2019-10-05 19:00:00
12800,Brest,Angers,0.240686,1.49766,1,0,a,2019-10-19 19:00:00
12812,Brest,Dijon,2.10109,0.950504,2,0,h,2019-10-26 19:00:00
12827,Brest,Amiens,0.734059,1.37004,0,1,a,2019-11-02 19:00:00
12835,Brest,Paris Saint Germain,1.13488,2.54466,1,2,h,2019-11-09 16:30:00
12842,Brest,Nantes,0.565279,1.50416,1,1,h,2019-11-23 19:00:00
12855,Brest,Marseille,0.692625,4.52731,1,2,a,2019-11-29 19:00:00
12866,Brest,Strasbourg,2.23505,0.775747,5,0,h,2019-12-03 18:00:00
12878,Brest,Lille,0.261931,2.53737,0,1,a,2019-12-06 18:00:00
12888,Brest,Nice,2.53255,1.13522,0,0,h,2019-12-14 19:00:00
12889,Brest,Montpellier,0.751773,2.2249,0,4,a,2019-12-21 19:45:00
12899,Brest,Toulouse,1.95386,1.45157,5,2,a,2020-01-11 19:00:00
12909,Brest,Amiens,0.805902,1.00169,2,1,h,2020-01-25 19:00:00
12921,Brest,Dijon,1.31151,1.30207,0,3,a,2020-02-01 19:00:00
12938,Brest,Bordeaux,1.81834,1.09016,1,1,h,2020-02-05 18:00:00
12939,Brest,Rennes,0.39852,0.829419,0,0,a,2020-02-08 19:00:00
12951,Brest,Saint-Etienne,1.77507,1.64068,3,2,h,2020-02-16 16:00:00
12961,Brest,Nice,0.626653,1.86279,2,2,a,2020-02-21 18:00:00
12971,Brest,Angers,0.929266,0.324731,0,1,h,2020-02-29 19:00:00
12988,Brest,Reims,1.19416,1.33174,0,1,a,2020-03-07 18:00:00
