,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
12715,Dijon,Saint-Etienne,2.15127,0.916517,1,2,h,2019-08-10 19:00:00
12725,Dijon,Toulouse,1.20997,1.61998,0,1,a,2019-08-17 19:00:00
12731,Dijon,Bordeaux,0.234901,0.626181,0,2,h,2019-08-24 19:00:00
12739,Dijon,Angers,0.736529,1.41921,0,2,a,2019-08-31 18:00:00
12749,Dijon,Nimes,0.789744,0.342108,0,0,h,2019-09-14 18:00:00
12768,Dijon,Nice,1.10909,1.08457,1,2,a,2019-09-21 18:00:00
12775,Dijon,Marseille,1.74443,1.31656,0,0,h,2019-09-24 17:00:00
12788,Dijon,Reims,1.41539,0.784118,2,1,a,2019-09-28 18:00:00
12790,Dijon,Strasbourg,1.18723,0.780588,1,0,h,2019-10-05 19:00:00
12807,Dijon,Lyon,0.357988,1.85901,0,0,a,2019-10-19 16:30:00
12812,Dijon,Brest,0.950504,2.10109,0,2,a,2019-10-26 19:00:00
12825,Dijon,Paris Saint Germain,0.822624,3.04569,2,1,h,2019-11-01 19:45:00
12832,Dijon,Monaco,1.22663,2.01244,0,1,a,2019-11-09 19:00:00
12848,Dijon,Rennes,0.614922,0.672553,2,1,h,2019-11-23 19:00:00
12857,Dijon,Lille,0.640066,1.7125,0,1,a,2019-11-30 19:00:00
12862,Dijon,Montpellier,1.29978,1.27691,2,2,h,2019-12-04 18:00:00
12874,Dijon,Nantes,0.641251,0.982949,0,1,a,2019-12-08 16:00:00
12887,Dijon,Amiens,0.640617,0.28916,1,1,a,2019-12-14 19:00:00
12890,Dijon,Metz,1.08941,1.25101,2,2,h,2019-12-21 19:45:00
12906,Dijon,Lille,1.21606,0.586501,1,0,h,2020-01-12 16:00:00
12912,Dijon,Montpellier,0.43555,1.84221,1,2,a,2020-01-25 19:00:00
12921,Dijon,Brest,1.30207,1.31151,3,0,h,2020-02-01 19:00:00
12933,Dijon,Nimes,0.500338,1.43959,0,2,a,2020-02-05 18:00:00
12942,Dijon,Nantes,1.33878,0.571797,3,3,h,2020-02-08 19:00:00
12950,Dijon,Bordeaux,0.948329,1.66815,2,2,a,2020-02-15 19:00:00
12963,Dijon,Monaco,1.58624,2.2089,1,1,h,2020-02-22 19:00:00
12973,Dijon,Paris Saint Germain,0.303667,4.57141,0,4,a,2020-02-29 16:30:00
12981,Dijon,Toulouse,0.88467,1.00717,2,1,h,2020-03-07 18:00:00
