,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
12717,Metz,Strasbourg,0.252178,1.60857,1,1,a,2019-08-11 16:00:00
12724,Metz,Monaco,3.11223,0.759639,3,0,h,2019-08-17 19:00:00
12732,Metz,Angers,0.147348,2.10383,0,3,a,2019-08-24 19:00:00
12747,Metz,Paris Saint Germain,0.360572,2.01186,0,2,h,2019-08-30 19:45:00
12756,Metz,Bordeaux,0.944742,1.51518,0,2,a,2019-09-14 18:00:00
12760,Metz,Amiens,1.47876,1.64495,1,2,h,2019-09-21 18:00:00
12773,Metz,Saint-Etienne,0.532843,0.810489,1,0,a,2019-09-25 17:00:00
12783,Metz,Toulouse,1.52646,0.82033,2,2,h,2019-09-28 18:00:00
12796,Metz,Brest,0.537656,1.09035,0,2,a,2019-10-05 19:00:00
12801,Metz,Nantes,0.766702,0.428008,1,0,h,2019-10-19 19:00:00
12813,Metz,Lyon,0.548122,1.93726,0,2,a,2019-10-26 19:00:00
12823,Metz,Montpellier,1.14215,0.657443,2,2,h,2019-11-02 19:00:00
12834,Metz,Lille,0.13875,1.65806,0,0,a,2019-11-09 19:00:00
12844,Metz,Reims,0.904274,1.53329,1,1,h,2019-11-23 19:00:00
12852,Metz,Nimes,0.605779,0.467733,1,1,a,2019-11-30 19:00:00
12868,Metz,Rennes,0.732116,1.13014,0,1,h,2019-12-04 18:00:00
12870,Metz,Nice,0.938924,1.51971,1,4,a,2019-12-07 19:00:00
12886,Metz,Marseille,1.01835,1.69227,1,1,h,2019-12-14 16:30:00
12890,Metz,Dijon,1.25101,1.08941,2,2,a,2019-12-21 19:45:00
12905,Metz,Strasbourg,1.00705,1.16736,1,0,h,2020-01-11 19:00:00
12913,Metz,Reims,0.949755,0.636235,1,0,a,2020-01-25 19:00:00
12928,Metz,Saint-Etienne,0.882462,2.4587,3,1,h,2020-02-02 16:00:00
12934,Metz,Montpellier,1.50948,0.508142,1,1,a,2020-02-05 18:00:00
12947,Metz,Bordeaux,0.672638,2.11814,1,2,h,2020-02-08 19:00:00
12952,Metz,Nantes,0.296838,1.12669,0,0,a,2020-02-15 19:00:00
12959,Metz,Lyon,0.135117,1.5696,0,2,h,2020-02-21 19:45:00
12970,Metz,Amiens,0.852598,0.901404,1,0,a,2020-02-29 19:00:00
12986,Metz,Nimes,1.40623,1.57289,2,1,h,2020-03-07 18:00:00
