,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
310266,LeftFoot,OpenPlay,SavedShot,0.08628284931182861,69,1,2,Samuel Moutoussamy,6018,a,Nantes,Lille,Kalifa Coulibaly,2019-08-11 14:00:00,12716,2019,"(0.894000015258789, 0.6370000076293946)"
310256,LeftFoot,OpenPlay,MissedShots,0.04535814747214317,51,1,2,Abdoulaye Touré,3674,a,Nantes,Lille,Kalifa Coulibaly,2019-08-11 14:00:00,12716,2019,"(0.7930000305175782, 0.5059999847412109)"
310253,Head,SetPiece,MissedShots,0.03268338739871979,37,1,2,Kalifa Coulibaly,6232,a,Nantes,Lille,Lucas Lima,2019-08-11 14:00:00,12716,2019,"(0.8730000305175781, 0.5779999923706055)"
310249,RightFoot,OpenPlay,BlockedShot,0.026088273152709007,29,1,2,Abdoulaye Touré,3674,a,Nantes,Lille,,2019-08-11 14:00:00,12716,2019,"(0.7469999694824219, 0.4)"
310260,Head,FromCorner,MissedShots,0.008592945523560047,61,1,2,Andrei Girotto,6112,a,Nantes,Lille,Charles Traore,2019-08-11 14:00:00,12716,2019,"(0.87, 0.27)"
310250,RightFoot,OpenPlay,SavedShot,0.025812428444623947,29,1,2,Andrei Girotto,6112,a,Nantes,Lille,Valentin Rongier,2019-08-11 14:00:00,12716,2019,"(0.85, 0.26799999237060546)"
310248,LeftFoot,DirectFreekick,SavedShot,0.02944372221827507,26,1,2,Lucas Lima,5713,a,Nantes,Lille,,2019-08-11 14:00:00,12716,2019,"(0.7369999694824219, 0.19399999618530273)"
310254,RightFoot,OpenPlay,MissedShots,0.01585843227803707,50,1,2,Andrei Girotto,6112,a,Nantes,Lille,Abdoulaye Touré,2019-08-11 14:00:00,12716,2019,"(0.7180000305175781, 0.49900001525878906)"
310263,RightFoot,FromCorner,MissedShots,0.12003534287214279,66,1,2,Molla Wagué,1159,a,Nantes,Lille,Samuel Moutoussamy,2019-08-11 14:00:00,12716,2019,"(0.91, 0.555)"
310258,Head,FromCorner,MissedShots,0.030589058995246887,54,1,2,Molla Wagué,1159,a,Nantes,Lille,Lucas Lima,2019-08-11 14:00:00,12716,2019,"(0.9130000305175782, 0.54)"
310262,LeftFoot,FromCorner,MissedShots,0.056280456483364105,66,1,2,Samuel Moutoussamy,6018,a,Nantes,Lille,Fabio,2019-08-11 14:00:00,12716,2019,"(0.825, 0.47200000762939454)"
310257,LeftFoot,OpenPlay,MissedShots,0.035166576504707336,53,1,2,Charles Traore,3655,a,Nantes,Lille,Lucas Lima,2019-08-11 14:00:00,12716,2019,"(0.889000015258789, 0.7390000152587891)"
310261,RightFoot,FromCorner,MissedShots,0.015491181053221226,66,1,2,Fabio,1752,a,Nantes,Lille,,2019-08-11 14:00:00,12716,2019,"(0.7609999847412109, 0.3340000152587891)"
310738,LeftFoot,FromCorner,SavedShot,0.01858190819621086,76,0,0,Abdoulaye Touré,3674,h,Nantes,Marseille,Nicolas Pallois,2019-08-17 16:30:00,12720,2019,"(0.7519999694824219, 0.674000015258789)"
310729,LeftFoot,SetPiece,MissedShots,0.01541550550609827,35,0,0,Imran Louza,7278,h,Nantes,Marseille,,2019-08-17 16:30:00,12720,2019,"(0.7530000305175781, 0.4809999847412109)"
310739,LeftFoot,OpenPlay,MissedShots,0.016295382753014565,77,0,0,Imran Louza,7278,h,Nantes,Marseille,Fabio,2019-08-17 16:30:00,12720,2019,"(0.6809999847412109, 0.155)"
310740,LeftFoot,FromCorner,SavedShot,0.021921195089817047,82,0,0,Imran Louza,7278,h,Nantes,Marseille,Valentin Rongier,2019-08-17 16:30:00,12720,2019,"(0.7580000305175781, 0.34700000762939454)"
310741,LeftFoot,OpenPlay,BlockedShot,0.027457965537905693,83,0,0,Valentin Rongier,3673,h,Nantes,Marseille,,2019-08-17 16:30:00,12720,2019,"(0.785, 0.3529999923706055)"
310722,LeftFoot,OpenPlay,BlockedShot,0.029835287481546402,5,0,0,Abdoulaye Touré,3674,h,Nantes,Marseille,Kalifa Coulibaly,2019-08-17 16:30:00,12720,2019,"(0.7909999847412109, 0.6459999847412109)"
310723,RightFoot,OpenPlay,BlockedShot,0.014522320590913296,5,0,0,Mehdi Abeid,4403,h,Nantes,Marseille,,2019-08-17 16:30:00,12720,2019,"(0.735, 0.4620000076293945)"
310735,RightFoot,OpenPlay,SavedShot,0.02074800804257393,59,0,0,Mehdi Abeid,4403,h,Nantes,Marseille,Valentin Rongier,2019-08-17 16:30:00,12720,2019,"(0.755, 0.365)"
310731,LeftFoot,OpenPlay,SavedShot,0.041979700326919556,46,0,0,Kalifa Coulibaly,6232,h,Nantes,Marseille,Valentin Rongier,2019-08-17 16:30:00,12720,2019,"(0.8780000305175781, 0.7169999694824218)"
310733,Head,FromCorner,MissedShots,0.04298566281795502,53,0,0,Andrei Girotto,6112,h,Nantes,Marseille,Lucas Lima,2019-08-17 16:30:00,12720,2019,"(0.9159999847412109, 0.49700000762939456)"
310737,Head,FromCorner,SavedShot,0.02658907324075699,76,0,0,Andrei Girotto,6112,h,Nantes,Marseille,Valentin Rongier,2019-08-17 16:30:00,12720,2019,"(0.874000015258789, 0.4129999923706055)"
310725,RightFoot,OpenPlay,BlockedShot,0.04009213298559189,20,0,0,Kalifa Coulibaly,6232,h,Nantes,Marseille,Imran Louza,2019-08-17 16:30:00,12720,2019,"(0.875999984741211, 0.295)"
310736,RightFoot,OpenPlay,SavedShot,0.017112476751208305,75,0,0,Abdoul Kader Bamba,7760,h,Nantes,Marseille,Samuel Moutoussamy,2019-08-17 16:30:00,12720,2019,"(0.815, 0.700999984741211)"
312801,LeftFoot,OpenPlay,MissedShots,0.01124319713562727,67,2,1,Lucas Lima,5713,a,Nantes,Amiens,Valentin Rongier,2019-08-24 19:00:00,12730,2019,"(0.6730000305175782, 0.715)"
312789,LeftFoot,DirectFreekick,BlockedShot,0.04624650999903679,33,2,1,Lucas Lima,5713,a,Nantes,Amiens,,2019-08-24 19:00:00,12730,2019,"(0.7319999694824219, 0.3629999923706055)"
312790,LeftFoot,SetPiece,MissedShots,0.012145059183239937,33,2,1,Lucas Lima,5713,a,Nantes,Amiens,,2019-08-24 19:00:00,12730,2019,"(0.7319999694824219, 0.3629999923706055)"
312796,RightFoot,OpenPlay,MissedShots,0.02864728309214115,57,2,1,Valentin Rongier,3673,a,Nantes,Amiens,,2019-08-24 19:00:00,12730,2019,"(0.8090000152587891, 0.7419999694824219)"
312799,LeftFoot,OpenPlay,MissedShots,0.05826984718441963,64,2,1,Valentin Rongier,3673,a,Nantes,Amiens,Abdoul Kader Bamba,2019-08-24 19:00:00,12730,2019,"(0.8469999694824218, 0.6730000305175782)"
312786,RightFoot,SetPiece,MissedShots,0.015523307025432587,19,2,1,Andrei Girotto,6112,a,Nantes,Amiens,Valentin Rongier,2019-08-24 19:00:00,12730,2019,"(0.6769999694824219, 0.4779999923706055)"
312804,RightFoot,OpenPlay,BlockedShot,0.01447953563183546,81,2,1,Andrei Girotto,6112,a,Nantes,Amiens,Mehdi Abeid,2019-08-24 19:00:00,12730,2019,"(0.715999984741211, 0.3679999923706055)"
312791,RightFoot,OpenPlay,MissedShots,0.030083943158388138,40,2,1,Mehdi Abeid,4403,a,Nantes,Amiens,Valentin Rongier,2019-08-24 19:00:00,12730,2019,"(0.7930000305175782, 0.6309999847412109)"
312785,RightFoot,OpenPlay,MissedShots,0.012282291427254677,8,2,1,Abdoulaye Touré,3674,a,Nantes,Amiens,Kalifa Coulibaly,2019-08-24 19:00:00,12730,2019,"(0.725, 0.73)"
312788,RightFoot,OpenPlay,BlockedShot,0.02301589585840702,24,2,1,Abdoulaye Touré,3674,a,Nantes,Amiens,Abdoul Kader Bamba,2019-08-24 19:00:00,12730,2019,"(0.7559999847412109, 0.4490000152587891)"
312809,LeftFoot,OpenPlay,SavedShot,0.038290396332740784,88,2,1,Abdoulaye Touré,3674,a,Nantes,Amiens,Fabio,2019-08-24 19:00:00,12730,2019,"(0.865, 0.2620000076293945)"
312810,RightFoot,OpenPlay,MissedShots,0.04084306210279465,89,2,1,Abdoulaye Touré,3674,a,Nantes,Amiens,,2019-08-24 19:00:00,12730,2019,"(0.7780000305175782, 0.3940000152587891)"
312797,LeftFoot,OpenPlay,SavedShot,0.41960251331329346,58,2,1,Kalifa Coulibaly,6232,a,Nantes,Amiens,Abdoul Kader Bamba,2019-08-24 19:00:00,12730,2019,"(0.9319999694824219, 0.6079999923706054)"
312795,Head,FromCorner,Goal,0.028681790456175804,52,2,1,Kalifa Coulibaly,6232,a,Nantes,Amiens,Mehdi Abeid,2019-08-24 19:00:00,12730,2019,"(0.9380000305175781, 0.6179999923706054)"
312792,Head,OpenPlay,MissedShots,0.07246663421392441,48,2,1,Kalifa Coulibaly,6232,a,Nantes,Amiens,Abdoul Kader Bamba,2019-08-24 19:00:00,12730,2019,"(0.885, 0.500999984741211)"
312783,RightFoot,OpenPlay,MissedShots,0.08190099149942398,7,2,1,Kalifa Coulibaly,6232,a,Nantes,Amiens,Fabio,2019-08-24 19:00:00,12730,2019,"(0.92, 0.4)"
312798,LeftFoot,OpenPlay,MissedShots,0.025402186438441277,62,2,1,Mehdi Abeid,4403,a,Nantes,Amiens,Abdoulaye Touré,2019-08-24 19:00:00,12730,2019,"(0.755, 0.634000015258789)"
312805,RightFoot,OpenPlay,Goal,0.3338371515274048,83,2,1,Moses Simon,7169,a,Nantes,Amiens,Valentin Rongier,2019-08-24 19:00:00,12730,2019,"(0.9290000152587891, 0.654000015258789)"
312803,RightFoot,OpenPlay,MissedShots,0.015593219548463821,77,2,1,Mehdi Abeid,4403,a,Nantes,Amiens,Abdoulaye Touré,2019-08-24 19:00:00,12730,2019,"(0.7069999694824218, 0.5129999923706055)"
312808,Head,OpenPlay,ShotOnPost,0.5821585059165955,88,2,1,Moses Simon,7169,a,Nantes,Amiens,,2019-08-24 19:00:00,12730,2019,"(0.9459999847412109, 0.509000015258789)"
