,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
12718,Nimes,Paris Saint Germain,0.305387,3.61599,0,3,a,2019-08-11 20:00:00
12723,Nimes,Nice,1.26223,2.00012,1,2,h,2019-08-17 19:00:00
12733,Nimes,Monaco,2.24062,2.40125,2,2,a,2019-08-25 14:00:00
12746,Nimes,Brest,2.334,0.8598,3,0,h,2019-08-31 18:00:00
12749,Nimes,Dijon,0.342108,0.789744,0,0,a,2019-09-14 18:00:00
12765,Nimes,Toulouse,1.62783,0.844257,1,0,h,2019-09-21 18:00:00
12774,Nimes,Montpellier,0.719947,0.579923,0,1,a,2019-09-25 17:00:00
12787,Nimes,Saint-Etienne,1.71161,0.856429,0,1,h,2019-09-29 15:00:00
12793,Nimes,Lille,1.76186,2.57207,2,2,a,2019-10-06 14:00:00
12805,Nimes,Amiens,0.317325,0.941379,1,1,h,2019-10-19 19:00:00
12816,Nimes,Reims,0.409188,0.327724,0,0,a,2019-10-26 19:00:00
12837,Nimes,Strasbourg,0.728859,3.34398,1,4,a,2019-11-09 19:00:00
12847,Nimes,Angers,0.569399,1.13196,0,1,a,2019-11-23 19:00:00
12852,Nimes,Metz,0.467733,0.605779,1,1,h,2019-11-30 19:00:00
12860,Nimes,Bordeaux,0.192769,2.0996,0,6,a,2019-12-03 18:00:00
12869,Nimes,Lyon,0.455948,2.68047,0,4,h,2019-12-06 19:45:00
12879,Nimes,Nantes,0.848701,1.31851,0,1,h,2019-12-14 19:00:00
12898,Nimes,Marseille,1.14972,1.97361,1,3,a,2019-12-21 19:45:00
12904,Nimes,Reims,1.63031,0.504333,2,0,h,2020-01-11 19:00:00
12820,Nimes,Rennes,0.190223,0.666492,0,1,h,2020-01-15 18:00:00
12918,Nimes,Saint-Etienne,0.690494,2.13523,1,2,a,2020-01-25 19:00:00
12922,Nimes,Monaco,1.72671,0.732842,3,1,h,2020-02-01 19:00:00
12933,Nimes,Dijon,1.43959,0.500338,2,0,h,2020-02-05 18:00:00
12945,Nimes,Nice,1.71921,0.704132,3,1,a,2020-02-08 19:00:00
12957,Nimes,Angers,0.977294,0.480458,1,0,h,2020-02-15 19:00:00
12960,Nimes,Rennes,0.3864,2.42942,1,2,a,2020-02-23 16:00:00
12976,Nimes,Marseille,2.4154,1.97133,2,3,h,2020-02-28 19:45:00
12986,Nimes,Metz,1.57289,1.40623,1,2,a,2020-03-07 18:00:00
