,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
310021,LeftFoot,OpenPlay,BlockedShot,0.028058012947440147,55,2,0,Tristan Dingome,6000,a,Reims,Marseille,Moussa Doumbia,2019-08-10 16:30:00,12710,2019,"(0.785, 0.605)"
310017,LeftFoot,OpenPlay,SavedShot,0.08391179889440536,30,2,0,Boulaye Dia,7224,a,Reims,Marseille,Remi Oudin,2019-08-10 16:30:00,12710,2019,"(0.9269999694824219, 0.6909999847412109)"
310030,RightFoot,OpenPlay,Goal,0.3808441162109375,89,2,0,Suk Hyun-Jun,6307,a,Reims,Marseille,Boulaye Dia,2019-08-10 16:30:00,12710,2019,"(0.8619999694824219, 0.5029999923706054)"
310014,RightFoot,OpenPlay,SavedShot,0.27660703659057617,1,2,0,Moussa Doumbia,2782,a,Reims,Marseille,Tristan Dingome,2019-08-10 16:30:00,12710,2019,"(0.8880000305175781, 0.639000015258789)"
310020,LeftFoot,OpenPlay,BlockedShot,0.025136159732937813,54,2,0,Remi Oudin,6884,a,Reims,Marseille,Moussa Doumbia,2019-08-10 16:30:00,12710,2019,"(0.7809999847412109, 0.3609999847412109)"
310031,RightFoot,OpenPlay,SavedShot,0.13142015039920807,93,2,0,Boulaye Dia,7224,a,Reims,Marseille,Jacques-Alaixys Romao,2019-08-10 16:30:00,12710,2019,"(0.9330000305175781, 0.27899999618530275)"
310028,LeftFoot,OpenPlay,MissedShots,0.033385057002305984,84,2,0,Boulaye Dia,7224,a,Reims,Marseille,,2019-08-10 16:30:00,12710,2019,"(0.755, 0.5279999923706055)"
310023,RightFoot,OpenPlay,Goal,0.3389410376548767,57,2,0,Boulaye Dia,7224,a,Reims,Marseille,Tristan Dingome,2019-08-10 16:30:00,12710,2019,"(0.905, 0.6409999847412109)"
311128,LeftFoot,OpenPlay,SavedShot,0.038768552243709564,35,0,0,Xavier Chavalerin,6883,h,Reims,Strasbourg,Moussa Doumbia,2019-08-18 16:00:00,12727,2019,"(0.870999984741211, 0.7119999694824218)"
311139,LeftFoot,OpenPlay,MissedShots,0.02820553258061409,92,0,0,Remi Oudin,6884,h,Reims,Strasbourg,,2019-08-18 16:00:00,12727,2019,"(0.8319999694824218, 0.7090000152587891)"
311127,Head,FromCorner,MissedShots,0.01343594677746296,33,0,0,Axel Disasi,6885,h,Reims,Strasbourg,Xavier Chavalerin,2019-08-18 16:00:00,12727,2019,"(0.925, 0.6120000076293945)"
311137,LeftFoot,OpenPlay,MissedShots,0.011178645305335522,71,0,0,Hassane Kamara,3729,h,Reims,Strasbourg,Xavier Chavalerin,2019-08-18 16:00:00,12727,2019,"(0.6709999847412109, 0.720999984741211)"
311125,RightFoot,OpenPlay,MissedShots,0.026451928541064262,31,0,0,Jacques-Alaixys Romao,3391,h,Reims,Strasbourg,Thomas Foket,2019-08-18 16:00:00,12727,2019,"(0.7719999694824219, 0.4370000076293945)"
311135,LeftFoot,OpenPlay,MissedShots,0.031602803617715836,66,0,0,Suk Hyun-Jun,6307,h,Reims,Strasbourg,Thomas Foket,2019-08-18 16:00:00,12727,2019,"(0.8159999847412109, 0.3160000038146973)"
311132,Head,SetPiece,MissedShots,0.05301535502076149,57,0,0,Yunis Abdelhamid,5624,h,Reims,Strasbourg,Xavier Chavalerin,2019-08-18 16:00:00,12727,2019,"(0.9159999847412109, 0.46)"
311138,RightFoot,OpenPlay,BlockedShot,0.06299584358930588,77,0,0,Boulaye Dia,7224,h,Reims,Strasbourg,Suk Hyun-Jun,2019-08-18 16:00:00,12727,2019,"(0.8469999694824218, 0.45799999237060546)"
311126,Head,OpenPlay,BlockedShot,0.04602793976664543,33,0,0,Boulaye Dia,7224,h,Reims,Strasbourg,Moussa Doumbia,2019-08-18 16:00:00,12727,2019,"(0.9019999694824219, 0.47200000762939454)"
311129,LeftFoot,OpenPlay,BlockedShot,0.010302652604877949,41,0,0,Hassane Kamara,3729,h,Reims,Strasbourg,Xavier Chavalerin,2019-08-18 16:00:00,12727,2019,"(0.695, 0.8430000305175781)"
311136,LeftFoot,OpenPlay,MissedShots,0.0157542135566473,70,0,0,Xavier Chavalerin,6883,h,Reims,Strasbourg,,2019-08-18 16:00:00,12727,2019,"(0.7380000305175781, 0.54)"
312825,LeftFoot,OpenPlay,MissedShots,0.02290976233780384,75,0,1,Remi Oudin,6884,a,Reims,Brest,,2019-08-24 19:00:00,12738,2019,"(0.8040000152587891, 0.710999984741211)"
312818,Head,SetPiece,MissedShots,0.3202899694442749,47,0,1,Axel Disasi,6885,a,Reims,Brest,Xavier Chavalerin,2019-08-24 19:00:00,12738,2019,"(0.9259999847412109, 0.44299999237060544)"
312821,Head,SetPiece,SavedShot,0.03879204019904137,59,0,1,Yunis Abdelhamid,5624,a,Reims,Brest,Xavier Chavalerin,2019-08-24 19:00:00,12738,2019,"(0.8619999694824219, 0.43099998474121093)"
312822,RightFoot,DirectFreekick,MissedShots,0.039283689111471176,63,0,1,Moussa Doumbia,2782,a,Reims,Brest,,2019-08-24 19:00:00,12738,2019,"(0.795, 0.815)"
312813,LeftFoot,FromCorner,MissedShots,0.02708909846842289,21,0,1,Moussa Doumbia,2782,a,Reims,Brest,,2019-08-24 19:00:00,12738,2019,"(0.89, 0.7290000152587891)"
312826,Head,OpenPlay,MissedShots,0.04547089710831642,81,0,1,Suk Hyun-Jun,6307,a,Reims,Brest,Remi Oudin,2019-08-24 19:00:00,12738,2019,"(0.875, 0.5029999923706054)"
312828,RightFoot,OpenPlay,MissedShots,0.024340560659766197,91,0,1,Axel Disasi,6885,a,Reims,Brest,,2019-08-24 19:00:00,12738,2019,"(0.794000015258789, 0.335)"
312816,LeftFoot,OpenPlay,MissedShots,0.07058516144752502,35,0,1,Xavier Chavalerin,6883,a,Reims,Brest,Remi Oudin,2019-08-24 19:00:00,12738,2019,"(0.879000015258789, 0.34)"
312812,LeftFoot,OpenPlay,MissedShots,0.12089051306247711,19,0,1,Boulaye Dia,7224,a,Reims,Brest,Remi Oudin,2019-08-24 19:00:00,12738,2019,"(0.955999984741211, 0.46099998474121096)"
312814,RightFoot,OpenPlay,SavedShot,0.08239194005727768,29,0,1,Boulaye Dia,7224,a,Reims,Brest,Remi Oudin,2019-08-24 19:00:00,12738,2019,"(0.865999984741211, 0.46700000762939453)"
316544,RightFoot,OpenPlay,MissedShots,0.06828618049621582,38,2,0,Remi Oudin,6884,h,Reims,Lille,Moussa Doumbia,2019-09-01 14:00:00,12741,2019,"(0.88, 0.4229999923706055)"
316561,RightFoot,OpenPlay,BlockedShot,0.0939396470785141,95,2,0,Thomas Foket,7151,h,Reims,Lille,,2019-09-01 14:00:00,12741,2019,"(0.909000015258789, 0.3729999923706055)"
316551,Head,FromCorner,MissedShots,0.07171986997127533,65,2,0,Boulaye Dia,7224,h,Reims,Lille,Xavier Chavalerin,2019-09-01 14:00:00,12741,2019,"(0.9130000305175782, 0.43900001525878907)"
316558,LeftFoot,DirectFreekick,Goal,0.03207887336611748,89,2,0,Remi Oudin,6884,h,Reims,Lille,,2019-09-01 14:00:00,12741,2019,"(0.9269999694824219, 0.045999999046325686)"
316550,RightFoot,OpenPlay,SavedShot,0.04992099478840828,64,2,0,Remi Oudin,6884,h,Reims,Lille,Jacques-Alaixys Romao,2019-09-01 14:00:00,12741,2019,"(0.960999984741211, 0.2979999923706055)"
316542,Head,FromCorner,BlockedShot,0.1027076318860054,14,2,0,Axel Disasi,6885,h,Reims,Lille,Xavier Chavalerin,2019-09-01 14:00:00,12741,2019,"(0.9219999694824219, 0.5259999847412109)"
316541,LeftFoot,OpenPlay,BlockedShot,0.03422802686691284,13,2,0,Tristan Dingome,6000,h,Reims,Lille,Remi Oudin,2019-09-01 14:00:00,12741,2019,"(0.7859999847412109, 0.5790000152587891)"
316540,LeftFoot,OpenPlay,BlockedShot,0.09087187796831131,12,2,0,Remi Oudin,6884,h,Reims,Lille,Boulaye Dia,2019-09-01 14:00:00,12741,2019,"(0.8530000305175781, 0.5479999923706055)"
316552,RightFoot,Penalty,Goal,0.759896457195282,72,2,0,Moussa Doumbia,2782,h,Reims,Lille,,2019-09-01 14:00:00,12741,2019,"(0.885, 0.5)"
316547,LeftFoot,OpenPlay,MissedShots,0.013096402399241924,54,2,0,Moussa Doumbia,2782,h,Reims,Lille,,2019-09-01 14:00:00,12741,2019,"(0.720999984741211, 0.4759999847412109)"
316546,RightFoot,OpenPlay,MissedShots,0.6354928016662598,47,2,0,Moussa Doumbia,2782,h,Reims,Lille,Boulaye Dia,2019-09-01 14:00:00,12741,2019,"(0.9519999694824218, 0.4779999923706055)"
