,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
375543,LeftFoot,OpenPlay,BlockedShot,0.0579577200114727,15,1,0,Sada Thioub,4849,a,Angers,Dijon,Abdoulaye Bamba,2020-08-22 15:00:00,13978,2020,"(0.8530000305175781, 0.38799999237060545)"
375549,RightFoot,FromCorner,MissedShots,0.033342864364385605,24,1,0,Angelo Fulgini,6019,a,Angers,Dijon,Thomas Mangani,2020-08-22 15:00:00,13978,2020,"(0.8090000152587891, 0.42200000762939455)"
375547,LeftFoot,FromCorner,ShotOnPost,0.051217012107372284,21,1,0,Sada Thioub,4849,a,Angers,Dijon,Angelo Fulgini,2020-08-22 15:00:00,13978,2020,"(0.9259999847412109, 0.68)"
375554,Head,FromCorner,MissedShots,0.00964753795415163,39,1,0,Ismael Traoré,3487,a,Angers,Dijon,Angelo Fulgini,2020-08-22 15:00:00,13978,2020,"(0.9180000305175782, 0.3160000038146973)"
375544,Head,FromCorner,SavedShot,0.013583546504378319,15,1,0,Baptiste Santamaria,5654,a,Angers,Dijon,,2020-08-22 15:00:00,13978,2020,"(0.935, 0.654000015258789)"
375560,Head,SetPiece,BlockedShot,0.07175914198160172,86,1,0,Sada Thioub,4849,a,Angers,Dijon,Pierrick Capelle,2020-08-22 15:00:00,13978,2020,"(0.915, 0.5870000076293945)"
375542,RightFoot,OpenPlay,SavedShot,0.29003769159317017,11,1,0,Wilfried Kanga,6251,a,Angers,Dijon,Abdoulaye Bamba,2020-08-22 15:00:00,13978,2020,"(0.855, 0.3110000038146973)"
375556,RightFoot,OpenPlay,SavedShot,0.5034468770027161,60,1,0,Angelo Fulgini,6019,a,Angers,Dijon,Sada Thioub,2020-08-22 15:00:00,13978,2020,"(0.909000015258789, 0.5420000076293945)"
375546,RightFoot,FromCorner,BlockedShot,0.03902877867221832,21,1,0,Sada Thioub,4849,a,Angers,Dijon,Angelo Fulgini,2020-08-22 15:00:00,13978,2020,"(0.8080000305175781, 0.5779999923706055)"
375557,RightFoot,SetPiece,MissedShots,0.021162498742341995,62,1,0,Pereira Lage,7743,a,Angers,Dijon,Thomas Mangani,2020-08-22 15:00:00,13978,2020,"(0.895, 0.19399999618530273)"
375559,Head,OpenPlay,MissedShots,0.5376933813095093,79,1,0,Farid El Melali,7064,a,Angers,Dijon,Enzo Ebosse,2020-08-22 15:00:00,13978,2020,"(0.9519999694824218, 0.4540000152587891)"
375548,RightFoot,FromCorner,Goal,0.41449251770973206,21,1,0,Ismael Traoré,3487,a,Angers,Dijon,,2020-08-22 15:00:00,13978,2020,"(0.9130000305175782, 0.43900001525878907)"
376201,RightFoot,OpenPlay,BlockedShot,0.07984562963247299,87,0,2,Stéphane Bahoken,5980,h,Angers,Bordeaux,,2020-08-30 13:00:00,13987,2020,"(0.9409999847412109, 0.5740000152587891)"
376197,Head,OpenPlay,SavedShot,0.03525787591934204,61,0,2,Angelo Fulgini,6019,h,Angers,Bordeaux,Thomas Mangani,2020-08-30 13:00:00,13987,2020,"(0.895, 0.43)"
376185,RightFoot,OpenPlay,MissedShots,0.09788098931312561,5,0,2,Ismael Traoré,3487,h,Angers,Bordeaux,Sada Thioub,2020-08-30 13:00:00,13987,2020,"(0.8859999847412109, 0.40599998474121096)"
376198,RightFoot,OpenPlay,SavedShot,0.054477665573358536,62,0,2,Farid El Melali,7064,h,Angers,Bordeaux,Angelo Fulgini,2020-08-30 13:00:00,13987,2020,"(0.9519999694824218, 0.3240000152587891)"
376203,RightFoot,OpenPlay,MissedShots,0.019257495179772377,92,0,2,Antonin Bobichon,6869,h,Angers,Bordeaux,Pierrick Capelle,2020-08-30 13:00:00,13987,2020,"(0.7869999694824219, 0.6370000076293946)"
376194,RightFoot,OpenPlay,MissedShots,0.023472459986805916,51,0,2,Souleyman Doumbia,7358,h,Angers,Bordeaux,Thomas Mangani,2020-08-30 13:00:00,13987,2020,"(0.7769999694824219, 0.620999984741211)"
376192,Head,SetPiece,BlockedShot,0.04554285109043121,34,0,2,Romain Thomas,3488,h,Angers,Bordeaux,Thomas Mangani,2020-08-30 13:00:00,13987,2020,"(0.905, 0.4779999923706055)"
376193,RightFoot,OpenPlay,BlockedShot,0.02443179115653038,49,0,2,Angelo Fulgini,6019,h,Angers,Bordeaux,Baptiste Santamaria,2020-08-30 13:00:00,13987,2020,"(0.759000015258789, 0.5609999847412109)"
376191,RightFoot,OpenPlay,BlockedShot,0.011367003433406353,28,0,2,Sada Thioub,4849,h,Angers,Bordeaux,Souleyman Doumbia,2020-08-30 13:00:00,13987,2020,"(0.75, 0.6669999694824219)"
376196,LeftFoot,OpenPlay,BlockedShot,0.011464254930615425,59,0,2,Thomas Mangani,3490,h,Angers,Bordeaux,Sada Thioub,2020-08-30 13:00:00,13987,2020,"(0.710999984741211, 0.5359999847412109)"
376200,LeftFoot,OpenPlay,ShotOnPost,0.013404102995991707,69,0,2,Sada Thioub,4849,h,Angers,Bordeaux,Ismael Traoré,2020-08-30 13:00:00,13987,2020,"(0.735, 0.475)"
376202,RightFoot,OpenPlay,BlockedShot,0.10340277850627899,87,0,2,Stéphane Bahoken,5980,h,Angers,Bordeaux,,2020-08-30 13:00:00,13987,2020,"(0.9259999847412109, 0.5820000076293945)"
376830,Head,SetPiece,MissedShots,0.028811732307076454,73,1,0,Ismael Traoré,3487,h,Angers,Reims,Angelo Fulgini,2020-09-13 13:00:00,14197,2020,"(0.9259999847412109, 0.639000015258789)"
376820,LeftFoot,OpenPlay,MissedShots,0.016551198437809944,44,1,0,Souleyman Doumbia,7358,h,Angers,Reims,Thomas Mangani,2020-09-13 13:00:00,14197,2020,"(0.7240000152587891, 0.715)"
376809,RightFoot,OpenPlay,MissedShots,0.0804048553109169,7,1,0,Antonin Bobichon,6869,h,Angers,Reims,Baptiste Santamaria,2020-09-13 13:00:00,14197,2020,"(0.8769999694824219, 0.45099998474121095)"
376822,LeftFoot,OpenPlay,BlockedShot,0.05643650144338608,46,1,0,Pierrick Capelle,3495,h,Angers,Reims,Baptiste Santamaria,2020-09-13 13:00:00,14197,2020,"(0.83, 0.610999984741211)"
376818,LeftFoot,OpenPlay,MissedShots,0.01635032519698143,39,1,0,Pierrick Capelle,3495,h,Angers,Reims,Ismael Traoré,2020-09-13 13:00:00,14197,2020,"(0.705999984741211, 0.5870000076293945)"
376817,LeftFoot,OpenPlay,BlockedShot,0.06269540637731552,38,1,0,Pierrick Capelle,3495,h,Angers,Reims,,2020-09-13 13:00:00,14197,2020,"(0.8780000305175781, 0.3609999847412109)"
376826,RightFoot,OpenPlay,MissedShots,0.01633535698056221,57,1,0,Stéphane Bahoken,5980,h,Angers,Reims,Antonin Bobichon,2020-09-13 13:00:00,14197,2020,"(0.7780000305175782, 0.7630000305175781)"
376831,LeftFoot,OpenPlay,SavedShot,0.01687721721827984,77,1,0,Baptiste Santamaria,5654,h,Angers,Reims,Angelo Fulgini,2020-09-13 13:00:00,14197,2020,"(0.6990000152587891, 0.42400001525878905)"
376813,RightFoot,OpenPlay,SavedShot,0.011141062714159489,24,1,0,Baptiste Santamaria,5654,h,Angers,Reims,,2020-09-13 13:00:00,14197,2020,"(0.7069999694824218, 0.5770000076293945)"
376815,RightFoot,OpenPlay,BlockedShot,0.016773713752627373,27,1,0,Antonin Bobichon,6869,h,Angers,Reims,Baptiste Santamaria,2020-09-13 13:00:00,14197,2020,"(0.7269999694824218, 0.5629999923706055)"
376819,RightFoot,Penalty,SavedShot,0.7600951194763184,43,1,0,Stéphane Bahoken,5980,h,Angers,Reims,,2020-09-13 13:00:00,14197,2020,"(0.885, 0.5)"
376812,LeftFoot,OpenPlay,MissedShots,0.018948698416352272,21,1,0,Angelo Fulgini,6019,h,Angers,Reims,Antonin Bobichon,2020-09-13 13:00:00,14197,2020,"(0.7340000152587891, 0.49900001525878906)"
376823,Head,OpenPlay,MissedShots,0.09438938647508621,49,1,0,Antonin Bobichon,6869,h,Angers,Reims,Abdoulaye Bamba,2020-09-13 13:00:00,14197,2020,"(0.9019999694824219, 0.504000015258789)"
376833,RightFoot,DirectFreekick,ShotOnPost,0.13399672508239746,86,1,0,Angelo Fulgini,6019,h,Angers,Reims,,2020-09-13 13:00:00,14197,2020,"(0.8209999847412109, 0.6140000152587891)"
376825,LeftFoot,OpenPlay,Goal,0.3353668749332428,54,1,0,Stéphane Bahoken,5980,h,Angers,Reims,Antonin Bobichon,2020-09-13 13:00:00,14197,2020,"(0.885, 0.5929999923706055)"
376821,LeftFoot,OpenPlay,SavedShot,0.2978228032588959,47,1,0,Stéphane Bahoken,5980,h,Angers,Reims,Angelo Fulgini,2020-09-13 13:00:00,14197,2020,"(0.8830000305175781, 0.5629999923706055)"
376814,RightFoot,OpenPlay,SavedShot,0.1104540154337883,24,1,0,Stéphane Bahoken,5980,h,Angers,Reims,,2020-09-13 13:00:00,14197,2020,"(0.9580000305175781, 0.605)"
376816,RightFoot,DirectFreekick,MissedShots,0.04289081692695618,36,1,0,Antonin Bobichon,6869,h,Angers,Reims,,2020-09-13 13:00:00,14197,2020,"(0.7080000305175781, 0.500999984741211)"
376808,LeftFoot,OpenPlay,SavedShot,0.01996573619544506,3,1,0,Thomas Mangani,3490,h,Angers,Reims,Angelo Fulgini,2020-09-13 13:00:00,14197,2020,"(0.745, 0.5970000076293945)"
376807,RightFoot,OpenPlay,MissedShots,0.01358923688530922,2,1,0,Baptiste Santamaria,5654,h,Angers,Reims,Angelo Fulgini,2020-09-13 13:00:00,14197,2020,"(0.7069999694824218, 0.5729999923706055)"
