,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
13977,Bordeaux,Nantes,0.600075,0.187821,0,0,h,2020-08-21 17:00:00
13987,Bordeaux,Angers,2.28529,0.511549,2,0,a,2020-08-30 13:00:00
14191,Bordeaux,Lyon,0.231132,1.79726,0,0,h,2020-09-11 19:00:00
14205,Bordeaux,Lens,0.359182,3.02331,1,2,a,2020-09-19 15:00:00
14217,Bordeaux,Nice,1.17944,0.645309,0,0,h,2020-09-27 11:00:00
15811,Bordeaux,Dijon,1.50071,0.237758,3,0,h,2020-10-04 13:00:00
15819,Bordeaux,Marseille,0.508148,0.977647,1,3,a,2020-10-17 19:00:00
15826,Bordeaux,Nimes,1.92729,0.712337,2,0,h,2020-10-25 14:00:00
15838,Bordeaux,Monaco,0.204669,3.9375,0,4,a,2020-11-01 16:00:00
15848,Bordeaux,Montpellier,0.474622,1.59436,0,2,h,2020-11-07 16:00:00
15856,Bordeaux,Rennes,0.312448,1.95047,1,0,a,2020-11-20 18:00:00
15874,Bordeaux,Paris Saint Germain,1.13676,2.52961,2,2,a,2020-11-28 20:00:00
15877,Bordeaux,Brest,2.36548,0.170892,1,0,h,2020-12-06 14:00:00
15888,Bordeaux,Lille,0.804147,1.34583,1,2,a,2020-12-13 16:00:00
15898,Bordeaux,Saint-Etienne,0.552558,2.18745,1,2,h,2020-12-16 20:00:00
15913,Bordeaux,Strasbourg,1.30968,1.0111,2,0,a,2020-12-20 14:00:00
15919,Bordeaux,Reims,1.2121,1.30331,1,3,h,2020-12-23 18:00:00
15930,Bordeaux,Metz,0.667484,0.71749,0,0,a,2021-01-06 18:00:00
15936,Bordeaux,Lorient,1.61234,1.06734,2,1,h,2021-01-09 20:00:00
15954,Bordeaux,Nice,3.61303,0.469882,3,0,a,2021-01-17 14:00:00
15956,Bordeaux,Angers,1.1096,1.71363,2,1,h,2021-01-24 12:00:00
15970,Bordeaux,Lyon,0.73143,1.30049,1,2,a,2021-01-29 20:00:00
15976,Bordeaux,Lille,0.746258,1.99926,0,3,h,2021-02-03 18:00:00
15991,Bordeaux,Brest,0.635508,2.03597,1,2,a,2021-02-07 12:00:00
15997,Bordeaux,Marseille,1.90455,0.41792,0,0,h,2021-02-14 20:00:00
16012,Bordeaux,Nimes,0.791842,0.364183,0,2,a,2021-02-21 14:00:00
16017,Bordeaux,Metz,0.978537,1.84068,1,2,h,2021-02-27 12:00:00
16026,Bordeaux,Paris Saint Germain,0.80867,1.27822,0,1,h,2021-03-03 20:00:00
16037,Bordeaux,Dijon,1.5005,0.969288,3,1,a,2021-03-14 14:00:00
16048,Bordeaux,Montpellier,1.39846,2.24117,1,3,a,2021-03-21 14:00:00
16059,Bordeaux,Strasbourg,1.59289,2.28415,2,3,h,2021-04-04 13:00:00
16074,Bordeaux,Saint-Etienne,1.52246,3.28299,1,4,a,2021-04-11 13:00:00
16085,Bordeaux,Monaco,0.927302,1.87096,0,3,h,2021-04-18 15:05:00
16086,Bordeaux,Lorient,0.690014,2.10336,1,4,a,2021-04-25 13:00:00
16105,Bordeaux,Rennes,0.58893,0.752351,1,0,h,2021-05-02 11:00:00
16110,Bordeaux,Nantes,0.721345,1.7162,0,3,a,2021-05-08 11:00:00
16116,Bordeaux,Lens,2.80699,1.12553,3,0,h,2021-05-16 19:00:00
16132,Bordeaux,Reims,1.23805,1.19819,2,1,a,2021-05-23 19:00:00
