,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
375734,Head,SetPiece,MissedShots,0.037037234753370285,36,0,4,Jeremy Le Douaron,8657,a,Brest,Nimes,Romain Faivre,2020-08-23 13:00:00,13985,2020,"(0.98, 0.6079999923706054)"
375733,LeftFoot,OpenPlay,BlockedShot,0.07321198284626007,33,0,4,Romain Faivre,6420,a,Brest,Nimes,Julien Faussurier,2020-08-23 13:00:00,13985,2020,"(0.9109999847412109, 0.5729999923706055)"
375736,RightFoot,OpenPlay,SavedShot,0.042655300348997116,45,0,4,Franck Honorat,3314,a,Brest,Nimes,Irvin Cardona,2020-08-23 13:00:00,13985,2020,"(0.9319999694824219, 0.28600000381469726)"
375739,Head,FromCorner,SavedShot,0.03211945295333862,53,0,4,Brendan Chardonnet,7736,a,Brest,Nimes,Romain Faivre,2020-08-23 13:00:00,13985,2020,"(0.9030000305175782, 0.40599998474121096)"
375725,RightFoot,OpenPlay,BlockedShot,0.016470493748784065,4,0,4,Julien Faussurier,7729,a,Brest,Nimes,Jeremy Le Douaron,2020-08-23 13:00:00,13985,2020,"(0.779000015258789, 0.725999984741211)"
375738,Head,FromCorner,MissedShots,0.13525250554084778,51,0,4,Brendan Chardonnet,7736,a,Brest,Nimes,Romain Faivre,2020-08-23 13:00:00,13985,2020,"(0.9569999694824218, 0.52)"
375735,LeftFoot,OpenPlay,SavedShot,0.01814885623753071,37,0,4,Romain Faivre,6420,a,Brest,Nimes,,2020-08-23 13:00:00,13985,2020,"(0.795, 0.7030000305175781)"
375732,RightFoot,OpenPlay,MissedShots,0.048569206148386,33,0,4,Irvin Cardona,5724,a,Brest,Nimes,Franck Honorat,2020-08-23 13:00:00,13985,2020,"(0.8219999694824218, 0.3609999847412109)"
375740,LeftFoot,DirectFreekick,MissedShots,0.041890934109687805,58,0,4,Romain Faivre,6420,a,Brest,Nimes,,2020-08-23 13:00:00,13985,2020,"(0.7219999694824218, 0.3609999847412109)"
375741,Head,SetPiece,MissedShots,0.022654671221971512,59,0,4,Jeremy Le Douaron,8657,a,Brest,Nimes,Romain Faivre,2020-08-23 13:00:00,13985,2020,"(0.919000015258789, 0.41)"
376394,Head,SetPiece,MissedShots,0.05548204109072685,7,2,3,Jean-Kevin Duverne,8049,h,Brest,Marseille,Franck Honorat,2020-08-30 19:00:00,13988,2020,"(0.914000015258789, 0.5179999923706055)"
376419,Head,FromCorner,MissedShots,0.030770713463425636,94,2,3,Jean-Kevin Duverne,8049,h,Brest,Marseille,Heriberto Tavares,2020-08-30 19:00:00,13988,2020,"(0.914000015258789, 0.5640000152587891)"
376409,RightFoot,OpenPlay,MissedShots,0.1101851761341095,59,2,3,Irvin Cardona,5724,h,Brest,Marseille,Franck Honorat,2020-08-30 19:00:00,13988,2020,"(0.9009999847412109, 0.4370000076293945)"
376412,LeftFoot,OpenPlay,MissedShots,0.024867970496416092,73,2,3,Romain Faivre,6420,h,Brest,Marseille,,2020-08-30 19:00:00,13988,2020,"(0.7880000305175782, 0.355)"
376403,LeftFoot,OpenPlay,MissedShots,0.011357598938047886,42,2,3,Romain Faivre,6420,h,Brest,Marseille,,2020-08-30 19:00:00,13988,2020,"(0.7369999694824219, 0.31799999237060544)"
376405,LeftFoot,OpenPlay,Goal,0.059466272592544556,45,2,3,Romain Faivre,6420,h,Brest,Marseille,Gaëtan Charbonnier,2020-08-30 19:00:00,13988,2020,"(0.865999984741211, 0.4209999847412109)"
376402,LeftFoot,OpenPlay,BlockedShot,0.026799598708748817,41,2,3,Irvin Cardona,5724,h,Brest,Marseille,Ronael Pierre Gabriel,2020-08-30 19:00:00,13988,2020,"(0.8440000152587891, 0.5970000076293945)"
