,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
375781,Head,FromCorner,MissedShots,0.07968304306268692,64,1,2,Facundo Medina,8664,a,Lens,Nice,Gaël Kakuta,2020-08-23 15:00:00,13984,2020,"(0.9319999694824219, 0.575)"
375787,Head,OpenPlay,MissedShots,0.2523689866065979,84,1,2,Simon Banza,8669,a,Lens,Nice,Issiaga Sylla,2020-08-23 15:00:00,13984,2020,"(0.9059999847412109, 0.485)"
375782,RightFoot,OpenPlay,SavedShot,0.45809873938560486,68,1,2,Simon Banza,8669,a,Lens,Nice,Clement Michelin,2020-08-23 15:00:00,13984,2020,"(0.9130000305175782, 0.4540000152587891)"
375770,LeftFoot,Penalty,Goal,0.7600951194763184,10,1,2,Gaël Kakuta,2549,a,Lens,Nice,,2020-08-23 15:00:00,13984,2020,"(0.885, 0.5)"
375777,LeftFoot,DirectFreekick,MissedShots,0.043576981872320175,47,1,2,Gaël Kakuta,2549,a,Lens,Nice,,2020-08-23 15:00:00,13984,2020,"(0.7269999694824218, 0.3579999923706055)"
375774,RightFoot,FromCorner,BlockedShot,0.05923103168606758,26,1,2,Ignatius Ganago,6238,a,Lens,Nice,,2020-08-23 15:00:00,13984,2020,"(0.845, 0.5120000076293946)"
375785,RightFoot,OpenPlay,MissedShots,0.09364732354879379,80,1,2,Yannick Cahuzac,3325,a,Lens,Nice,Clement Michelin,2020-08-23 15:00:00,13984,2020,"(0.9280000305175782, 0.425)"
375779,RightFoot,OpenPlay,MissedShots,0.02195775881409645,47,1,2,Florian Sotoca,3348,a,Lens,Nice,,2020-08-23 15:00:00,13984,2020,"(0.749000015258789, 0.44799999237060545)"
375778,RightFoot,FromCorner,MissedShots,0.041850849986076355,48,1,2,Florian Sotoca,3348,a,Lens,Nice,Ismael Boura,2020-08-23 15:00:00,13984,2020,"(0.9580000305175781, 0.6370000076293946)"
375784,RightFoot,OpenPlay,SavedShot,0.03920997306704521,79,1,2,Corentin Jean,3445,a,Lens,Nice,Yannick Cahuzac,2020-08-23 15:00:00,13984,2020,"(0.8919999694824219, 0.2670000076293945)"
