,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
13980,Lorient,Strasbourg,3.07214,0.326826,3,1,h,2020-08-23 13:00:00
13995,Lorient,Saint-Etienne,0.2149,1.39361,0,2,a,2020-08-30 13:00:00
14195,Lorient,Lens,0.919743,1.98746,2,3,h,2020-09-13 13:00:00
14211,Lorient,Brest,1.49951,1.21203,2,3,a,2020-09-20 13:00:00
14222,Lorient,Lyon,0.299841,0.818784,1,1,h,2020-09-27 15:00:00
15810,Lorient,Metz,0.853711,1.60054,1,3,a,2020-10-04 13:00:00
15823,Lorient,Reims,2.81036,0.273331,3,1,a,2020-10-17 15:00:00
15835,Lorient,Marseille,0.846635,0.880426,0,1,h,2020-10-24 15:00:00
15837,Lorient,Dijon,1.14876,0.377123,0,0,a,2020-11-01 14:00:00
15854,Lorient,Nantes,1.77629,1.46578,0,2,h,2020-11-08 14:00:00
15859,Lorient,Lille,0.462287,3.37221,0,4,a,2020-11-22 20:00:00
15868,Lorient,Montpellier,0.343499,1.47115,0,1,h,2020-11-29 14:00:00
15876,Lorient,Angers,0.33512,1.91353,0,2,a,2020-12-06 14:00:00
15889,Lorient,Nimes,2.82061,0.562896,3,0,h,2020-12-13 14:00:00
15904,Lorient,Paris Saint Germain,1.30249,2.80047,0,2,a,2020-12-16 20:00:00
15908,Lorient,Rennes,1.0355,1.00048,0,3,h,2020-12-20 16:00:00
15916,Lorient,Nice,2.13449,0.656687,2,2,a,2020-12-23 18:00:00
15927,Lorient,Monaco,0.61232,2.81772,2,5,h,2021-01-06 18:00:00
15936,Lorient,Bordeaux,1.06734,1.61234,1,2,a,2021-01-09 20:00:00
15949,Lorient,Dijon,0.895978,1.6704,3,2,h,2021-01-27 20:00:00
15969,Lorient,Paris Saint Germain,1.56057,2.64181,3,2,h,2021-01-31 14:00:00
15983,Lorient,Rennes,0.620552,1.03454,1,1,a,2021-02-03 18:00:00
15993,Lorient,Reims,1.11747,0.779858,1,0,h,2021-02-06 16:00:00
16002,Lorient,Monaco,1.43939,1.93864,2,2,a,2021-02-14 12:00:00
16008,Lorient,Lille,0.231568,1.04668,1,4,h,2021-02-21 16:00:00
15961,Lorient,Nimes,0.3945,0.914735,0,1,a,2021-02-24 20:00:00
16020,Lorient,Saint-Etienne,0.858628,1.01869,2,1,h,2021-02-28 14:00:00
16031,Lorient,Montpellier,2.0525,0.6465,1,1,a,2021-03-03 20:00:00
16041,Lorient,Nice,2.3105,0.511554,1,1,h,2021-03-14 14:00:00
16047,Lorient,Nantes,0.85463,1.39056,1,1,a,2021-03-21 14:00:00
16061,Lorient,Brest,1.76108,0.231613,1,0,h,2021-04-04 13:00:00
16067,Lorient,Lens,1.94788,3.35961,1,4,a,2021-04-11 13:00:00
16081,Lorient,Marseille,1.47384,2.44334,2,3,a,2021-04-17 15:00:00
16086,Lorient,Bordeaux,2.10336,0.690014,4,1,h,2021-04-25 13:00:00
16099,Lorient,Angers,2.41491,0.584175,2,0,h,2021-05-02 13:00:00
16108,Lorient,Lyon,0.61204,4.64266,1,4,a,2021-05-08 15:00:00
16119,Lorient,Metz,1.42765,0.0661912,2,1,h,2021-05-16 19:00:00
16135,Lorient,Strasbourg,0.521913,0.32396,1,1,a,2021-05-23 19:00:00
