,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376099,RightFoot,OpenPlay,MissedShots,0.012080411426723003,37,1,2,Téji Savanier,6863,a,Montpellier,Rennes,,2020-08-29 15:00:00,13994,2020,"(0.7319999694824219, 0.68)"
376092,Head,SetPiece,MissedShots,0.020706167444586754,8,1,2,Joris Chotard,7739,a,Montpellier,Rennes,Florent Mollet,2020-08-29 15:00:00,13994,2020,"(0.9919999694824219, 0.39599998474121095)"
376110,RightFoot,SetPiece,BlockedShot,0.02088383212685585,68,1,2,Joris Chotard,7739,a,Montpellier,Rennes,,2020-08-29 15:00:00,13994,2020,"(0.7709999847412109, 0.6040000152587891)"
376093,RightFoot,OpenPlay,OwnGoal,0.0,21,1,2,Damien Le Tallec,3118,a,Montpellier,Rennes,,2020-08-29 15:00:00,13994,2020,"(0.04099999904632568, 0.57)"
376108,RightFoot,OpenPlay,MissedShots,0.009555521421134472,65,1,2,Damien Le Tallec,3118,a,Montpellier,Rennes,,2020-08-29 15:00:00,13994,2020,"(0.710999984741211, 0.5479999923706055)"
376112,Head,SetPiece,MissedShots,0.13200414180755615,73,1,2,Damien Le Tallec,3118,a,Montpellier,Rennes,Ambroise Oyongo,2020-08-29 15:00:00,13994,2020,"(0.9219999694824219, 0.4759999847412109)"
376118,Head,OpenPlay,SavedShot,0.01678485982120037,93,1,2,Petar Skuletic,2713,a,Montpellier,Rennes,Joris Chotard,2020-08-29 15:00:00,13994,2020,"(0.8730000305175781, 0.445)"
376104,LeftFoot,OpenPlay,ShotOnPost,0.052197400480508804,55,1,2,Arnaud Souquet,5647,a,Montpellier,Rennes,,2020-08-29 15:00:00,13994,2020,"(0.8490000152587891, 0.38299999237060545)"
376117,Head,OpenPlay,Goal,0.065464086830616,90,1,2,Gaetan Laborde,3746,a,Montpellier,Rennes,Ambroise Oyongo,2020-08-29 15:00:00,13994,2020,"(0.895, 0.5559999847412109)"
376115,LeftFoot,OpenPlay,MissedShots,0.047985102981328964,82,1,2,Gaetan Laborde,3746,a,Montpellier,Rennes,,2020-08-29 15:00:00,13994,2020,"(0.8780000305175781, 0.31)"
376091,Head,SetPiece,MissedShots,0.08011412620544434,4,1,2,Gaetan Laborde,3746,a,Montpellier,Rennes,Florent Mollet,2020-08-29 15:00:00,13994,2020,"(0.919000015258789, 0.5829999923706055)"
376103,LeftFoot,OpenPlay,SavedShot,0.035881076008081436,55,1,2,Téji Savanier,6863,a,Montpellier,Rennes,Jordan Ferri,2020-08-29 15:00:00,13994,2020,"(0.815, 0.6270000076293946)"
376558,LeftFoot,FromCorner,BlockedShot,0.051452960819005966,35,3,1,Gaetan Laborde,3746,h,Montpellier,Nice,Téji Savanier,2020-09-12 15:00:00,14192,2020,"(0.865999984741211, 0.5640000152587891)"
376552,LeftFoot,OpenPlay,Goal,0.07141577452421188,17,3,1,Gaetan Laborde,3746,h,Montpellier,Nice,Andy Delort,2020-09-12 15:00:00,14192,2020,"(0.88, 0.5609999847412109)"
376570,RightFoot,OpenPlay,SavedShot,0.09274435043334961,79,3,1,Andy Delort,3530,h,Montpellier,Nice,Junior Sambia,2020-09-12 15:00:00,14192,2020,"(0.9519999694824218, 0.7019999694824218)"
376565,RightFoot,OpenPlay,SavedShot,0.031831294298172,62,3,1,Téji Savanier,6863,h,Montpellier,Nice,Jordan Ferri,2020-09-12 15:00:00,14192,2020,"(0.7680000305175781, 0.67)"
376551,LeftFoot,OpenPlay,SavedShot,0.0656866729259491,15,3,1,Gaetan Laborde,3746,h,Montpellier,Nice,Andy Delort,2020-09-12 15:00:00,14192,2020,"(0.919000015258789, 0.67)"
376550,Head,OpenPlay,MissedShots,0.04534580186009407,14,3,1,Gaetan Laborde,3746,h,Montpellier,Nice,Andy Delort,2020-09-12 15:00:00,14192,2020,"(0.9219999694824219, 0.41900001525878905)"
