,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
375745,RightFoot,OpenPlay,Goal,0.1375921666622162,83,4,0,Moussa Koné,8318,h,Nimes,Brest,Zinedine Ferhat,2020-08-23 13:00:00,13985,2020,"(0.905, 0.3240000152587891)"
375746,RightFoot,OpenPlay,MissedShots,0.13993504643440247,88,4,0,Kévin Denkey,7776,h,Nimes,Brest,Renaud Ripart,2020-08-23 13:00:00,13985,2020,"(0.9209999847412109, 0.49599998474121093)"
375737,RightFoot,OpenPlay,BlockedShot,0.15090806782245636,45,4,0,Kévin Denkey,7776,h,Nimes,Brest,Renaud Ripart,2020-08-23 13:00:00,13985,2020,"(0.97, 0.46599998474121096)"
375730,LeftFoot,DirectFreekick,MissedShots,0.06458970904350281,25,4,0,Yassin Benrahou,7557,h,Nimes,Brest,,2020-08-23 13:00:00,13985,2020,"(0.765, 0.36400001525878906)"
375743,Head,FromCorner,MissedShots,0.5147559642791748,61,4,0,Loïck Landre,4765,h,Nimes,Brest,Romain Philippoteaux,2020-08-23 13:00:00,13985,2020,"(0.960999984741211, 0.514000015258789)"
375742,RightFoot,OpenPlay,SavedShot,0.028470929712057114,60,4,0,Zinedine Ferhat,7773,h,Nimes,Brest,,2020-08-23 13:00:00,13985,2020,"(0.799000015258789, 0.29100000381469726)"
375726,LeftFoot,OpenPlay,BlockedShot,0.04369403049349785,5,4,0,Yassin Benrahou,7557,h,Nimes,Brest,Romain Philippoteaux,2020-08-23 13:00:00,13985,2020,"(0.9019999694824219, 0.7330000305175781)"
375728,LeftFoot,OpenPlay,Goal,0.39685437083244324,7,4,0,Kévin Denkey,7776,h,Nimes,Brest,Birger Meling,2020-08-23 13:00:00,13985,2020,"(0.8969999694824219, 0.565)"
375729,RightFoot,OpenPlay,MissedShots,0.07025374472141266,16,4,0,Kévin Denkey,7776,h,Nimes,Brest,Yassin Benrahou,2020-08-23 13:00:00,13985,2020,"(0.8530000305175781, 0.34900001525878904)"
375731,LeftFoot,OpenPlay,Goal,0.08799449354410172,30,4,0,Birger Meling,8656,h,Nimes,Brest,Romain Philippoteaux,2020-08-23 13:00:00,13985,2020,"(0.9459999847412109, 0.6719999694824219)"
375727,Head,FromCorner,ShotOnPost,0.098643459379673,6,4,0,Loïck Landre,4765,h,Nimes,Brest,Romain Philippoteaux,2020-08-23 13:00:00,13985,2020,"(0.9569999694824218, 0.4209999847412109)"
