,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
376261,Head,FromCorner,MissedShots,0.012132101692259312,57,2,0,Mathieu Debuchy,967,h,Saint-Etienne,Lorient,Adil Aouchiche,2020-08-30 13:00:00,13995,2020,"(0.9619999694824218, 0.345)"
376255,RightFoot,OpenPlay,BlockedShot,0.010288593359291553,40,2,0,Yvan Neyou,8689,h,Saint-Etienne,Lorient,Adil Aouchiche,2020-08-30 13:00:00,13995,2020,"(0.6759999847412109, 0.5420000076293945)"
376257,LeftFoot,OpenPlay,SavedShot,0.050203703343868256,44,2,0,Adil Aouchiche,7980,h,Saint-Etienne,Lorient,Romain Hamouma,2020-08-30 13:00:00,13995,2020,"(0.8380000305175781, 0.6819999694824219)"
376262,RightFoot,OpenPlay,BlockedShot,0.03484814986586571,60,2,0,Adil Aouchiche,7980,h,Saint-Etienne,Lorient,Romain Hamouma,2020-08-30 13:00:00,13995,2020,"(0.8419999694824218, 0.7390000152587891)"
376251,RightFoot,SetPiece,SavedShot,0.018537908792495728,30,2,0,Yvan Neyou,8689,h,Saint-Etienne,Lorient,Mathieu Debuchy,2020-08-30 13:00:00,13995,2020,"(0.745, 0.48400001525878905)"
376258,RightFoot,OpenPlay,Goal,0.28219810128211975,50,2,0,Romain Hamouma,3561,h,Saint-Etienne,Lorient,Arnaud Nordin,2020-08-30 13:00:00,13995,2020,"(0.8480000305175781, 0.6430000305175781)"
376249,LeftFoot,OpenPlay,Goal,0.053261153399944305,18,2,0,Romain Hamouma,3561,h,Saint-Etienne,Lorient,Arnaud Nordin,2020-08-30 13:00:00,13995,2020,"(0.8490000152587891, 0.34599998474121096)"
376250,RightFoot,DirectFreekick,BlockedShot,0.04357350990176201,23,2,0,Denis Bouanga,3781,h,Saint-Etienne,Lorient,,2020-08-30 13:00:00,13995,2020,"(0.740999984741211, 0.6880000305175781)"
376260,LeftFoot,OpenPlay,BlockedShot,0.14895081520080566,56,2,0,Arnaud Nordin,5684,h,Saint-Etienne,Lorient,Romain Hamouma,2020-08-30 13:00:00,13995,2020,"(0.855, 0.61)"
376259,RightFoot,OpenPlay,SavedShot,0.1517358422279358,53,2,0,Arnaud Nordin,5684,h,Saint-Etienne,Lorient,Mathieu Debuchy,2020-08-30 13:00:00,13995,2020,"(0.8640000152587891, 0.2979999923706055)"
376247,Head,OpenPlay,MissedShots,0.03157423064112663,12,2,0,Romain Hamouma,3561,h,Saint-Etienne,Lorient,Mathieu Debuchy,2020-08-30 13:00:00,13995,2020,"(0.874000015258789, 0.5540000152587891)"
