,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
375709,RightFoot,OpenPlay,MissedShots,0.03771509975194931,28,1,3,Mehdi Chahiri,8655,a,Strasbourg,Lorient,Ibrahima Sissoko,2020-08-23 13:00:00,13980,2020,"(0.7719999694824219, 0.5620000076293945)"
375710,RightFoot,OpenPlay,Goal,0.10446105152368546,29,1,3,Mehdi Chahiri,8655,a,Strasbourg,Lorient,Ludovic Ajorque,2020-08-23 13:00:00,13980,2020,"(0.8219999694824218, 0.51)"
375722,RightFoot,OpenPlay,MissedShots,0.05476989597082138,89,1,3,Kévin Zohi,6128,a,Strasbourg,Lorient,Idriss Saadi,2020-08-23 13:00:00,13980,2020,"(0.81, 0.46299999237060546)"
375711,LeftFoot,OpenPlay,BlockedShot,0.04318917542695999,36,1,3,Ludovic Ajorque,6905,a,Strasbourg,Lorient,Mehdi Chahiri,2020-08-23 13:00:00,13980,2020,"(0.7780000305175782, 0.4809999847412109)"
375708,RightFoot,OpenPlay,MissedShots,0.007316612172871828,2,1,3,Adrien Thomasson,3549,a,Strasbourg,Lorient,,2020-08-23 13:00:00,13980,2020,"(0.5409999847412109, 0.22600000381469726)"
375724,RightFoot,OpenPlay,BlockedShot,0.05696067586541176,92,1,3,Majeed Waris,3461,a,Strasbourg,Lorient,Kévin Zohi,2020-08-23 13:00:00,13980,2020,"(0.8419999694824218, 0.3559999847412109)"
375723,RightFoot,OpenPlay,BlockedShot,0.022413337603211403,91,1,3,Jean-Ricner Bellegarde,7762,a,Strasbourg,Lorient,,2020-08-23 13:00:00,13980,2020,"(0.7730000305175782, 0.46599998474121096)"
376147,RightFoot,OpenPlay,MissedShots,0.03157615289092064,30,0,2,Mehdi Chahiri,8655,h,Strasbourg,Nice,Adrien Thomasson,2020-08-29 19:00:00,13996,2020,"(0.8180000305175781, 0.6809999847412109)"
376144,RightFoot,OpenPlay,MissedShots,0.01018624659627676,5,0,2,Mehdi Chahiri,8655,h,Strasbourg,Nice,Kenny Lala,2020-08-29 19:00:00,13996,2020,"(0.765, 0.7730000305175782)"
376146,RightFoot,DirectFreekick,MissedShots,0.060362447053194046,24,0,2,Kenny Lala,5975,h,Strasbourg,Nice,,2020-08-29 19:00:00,13996,2020,"(0.7519999694824219, 0.3890000152587891)"
376152,LeftFoot,OpenPlay,MissedShots,0.016937950626015663,65,0,2,Jean-Ricner Bellegarde,7762,h,Strasbourg,Nice,,2020-08-29 19:00:00,13996,2020,"(0.865999984741211, 0.3060000038146973)"
