,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
5154,Cesena,Parma,1.09417,0.438551,1,0,h,2014-08-31 19:45:00
5112,Cesena,Lazio,0.154651,1.55271,0,3,a,2014-09-14 14:00:00
5119,Cesena,Empoli,2.03766,2.57707,2,2,h,2014-09-20 17:00:00
5133,Cesena,Juventus,0.0127481,2.23177,0,3,a,2014-09-24 19:45:00
5143,Cesena,AC Milan,1.13049,0.876708,1,1,h,2014-09-28 14:00:00
5074,Cesena,Udinese,2.08506,0.836953,1,1,a,2014-10-05 14:00:00
5082,Cesena,Palermo,1.13078,0.995603,1,2,a,2014-10-19 14:00:00
5097,Cesena,Inter,0.645724,2.06734,0,1,h,2014-10-26 17:00:00
5103,Cesena,Roma,0.167116,2.93622,0,2,a,2014-10-29 19:45:00
5038,Cesena,Verona,0.901371,0.654003,1,1,h,2014-11-03 18:00:00
5043,Cesena,Chievo,0.834337,1.26794,1,2,a,2014-11-09 14:00:00
5056,Cesena,Sampdoria,1.01428,1.41176,1,1,h,2014-11-23 14:00:00
5066,Cesena,Genoa,1.06464,2.71452,0,3,h,2014-11-30 14:00:00
5006,Cesena,Atalanta,0.43169,3.60693,2,3,a,2014-12-07 14:00:00
5016,Cesena,Fiorentina,0.145477,2.02539,1,4,h,2014-12-14 17:00:00
5022,Cesena,Sassuolo,0.953614,1.75755,1,1,a,2014-12-20 17:00:00
4965,Cesena,Napoli,0.47022,1.78119,1,4,h,2015-01-06 17:00:00
4971,Cesena,Cagliari,1.80994,1.87858,1,2,a,2015-01-11 14:00:00
4983,Cesena,Torino,2.67702,1.53741,2,3,h,2015-01-18 14:00:00
4991,Cesena,Parma,0.764594,1.0013,2,1,a,2015-01-25 14:00:00
4921,Cesena,Lazio,0.973154,0.282267,2,1,h,2015-02-01 14:00:00
4930,Cesena,Empoli,0.625894,1.46461,0,2,a,2015-02-08 14:00:00
4946,Cesena,Juventus,1.06157,2.24449,2,2,h,2015-02-15 19:45:00
4948,Cesena,AC Milan,0.494932,1.25473,0,2,a,2015-02-22 14:00:00
4884,Cesena,Udinese,1.26469,0.378987,1,0,h,2015-03-01 14:00:00
4891,Cesena,Palermo,0.0514277,0.275999,0,0,h,2015-03-08 11:30:00
4905,Cesena,Inter,0.306265,1.24118,1,1,a,2015-03-15 19:45:00
4915,Cesena,Roma,0.231981,1.02786,0,1,h,2015-03-22 19:45:00
4835,Cesena,Verona,1.06234,1.4245,3,3,a,2015-04-04 14:00:00
4843,Cesena,Chievo,0.476356,1.81431,0,1,h,2015-04-12 11:30:00
4851,Cesena,Sampdoria,0.169192,1.20484,0,0,a,2015-04-18 17:00:00
4866,Cesena,Genoa,1.24615,3.40707,1,3,a,2015-04-26 14:00:00
4875,Cesena,Atalanta,2.63369,1.41317,2,2,h,2015-04-29 19:45:00
4785,Cesena,Fiorentina,0.90953,3.31326,1,3,a,2015-05-03 14:00:00
4794,Cesena,Sassuolo,2.49522,1.24035,2,3,h,2015-05-10 14:00:00
4808,Cesena,Napoli,0.513771,1.92107,2,3,a,2015-05-18 20:00:00
4813,Cesena,Cagliari,0.332122,1.01404,0,1,h,2015-05-24 14:00:00
4827,Cesena,Torino,0.244172,4.00732,0,5,a,2015-05-31 19:45:00
