,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
41423,Head,OpenPlay,Goal,0.38158661127090454,37,1,0,Alejandro Rodriguez,1812,h,Cesena,Parma,Franco Brienza,2014-08-31 19:45:00,5154,2014,"(0.925, 0.48900001525878906)"
41433,RightFoot,OpenPlay,SavedShot,0.01890849508345127,84,1,0,Emmanuel Cascione,3854,h,Cesena,Parma,,2014-08-31 19:45:00,5154,2014,"(0.77, 0.32)"
41420,RightFoot,OpenPlay,MissedShots,0.02953232452273369,11,1,0,Giuseppe De Feudis,3855,h,Cesena,Parma,Manuel Coppola,2014-08-31 19:45:00,5154,2014,"(0.9230000305175782, 0.32099998474121094)"
41425,RightFoot,OpenPlay,SavedShot,0.038917023688554764,48,1,0,Alejandro Rodriguez,1812,h,Cesena,Parma,Franco Brienza,2014-08-31 19:45:00,5154,2014,"(0.885, 0.2520000076293945)"
41424,LeftFoot,OpenPlay,SavedShot,0.015577495098114014,38,1,0,Franco Brienza,1611,h,Cesena,Parma,Guido Marilungo,2014-08-31 19:45:00,5154,2014,"(0.7619999694824219, 0.775)"
41434,Head,OpenPlay,MissedShots,0.4695032835006714,84,1,0,Alejandro Rodriguez,1812,h,Cesena,Parma,,2014-08-31 19:45:00,5154,2014,"(0.9440000152587891, 0.44299999237060544)"
41419,LeftFoot,FromCorner,SavedShot,0.026782404631376266,8,1,0,Franco Brienza,1611,h,Cesena,Parma,Manuel Coppola,2014-08-31 19:45:00,5154,2014,"(0.785, 0.35900001525878905)"
41437,RightFoot,DirectFreekick,MissedShots,0.04911796748638153,93,1,0,Emmanuel Cascione,3854,h,Cesena,Parma,,2014-08-31 19:45:00,5154,2014,"(0.759000015258789, 0.3120000076293945)"
41432,RightFoot,OpenPlay,BlockedShot,0.1404893398284912,84,1,0,Guido Marilungo,1314,h,Cesena,Parma,Luca Garritano,2014-08-31 19:45:00,5154,2014,"(0.9019999694824219, 0.48)"
41825,RightFoot,OpenPlay,MissedShots,0.010485243052244186,13,0,3,Massimo Volta,3863,a,Cesena,Lazio,,2014-09-14 14:00:00,5112,2014,"(0.7140000152587891, 0.3820000076293945)"
41839,LeftFoot,OpenPlay,SavedShot,0.006410173140466213,79,0,3,Franco Brienza,1611,a,Cesena,Lazio,Luigi Giorgi,2014-09-14 14:00:00,5112,2014,"(0.5620000076293945, 0.5279999923706055)"
41833,Head,SetPiece,BlockedShot,0.00985205452889204,53,0,3,Emmanuel Cascione,3854,a,Cesena,Lazio,Franco Brienza,2014-09-14 14:00:00,5112,2014,"(0.935, 0.34799999237060547)"
41835,LeftFoot,DirectFreekick,MissedShots,0.039063967764377594,68,0,3,Franco Brienza,1611,a,Cesena,Lazio,,2014-09-14 14:00:00,5112,2014,"(0.725999984741211, 0.33299999237060546)"
41838,RightFoot,OpenPlay,MissedShots,0.02022930607199669,77,0,3,Guido Marilungo,1314,a,Cesena,Lazio,Franco Brienza,2014-09-14 14:00:00,5112,2014,"(0.8419999694824218, 0.7419999694824219)"
41830,RightFoot,OpenPlay,MissedShots,0.04722042381763458,31,0,3,Alejandro Rodriguez,1812,a,Cesena,Lazio,Guido Marilungo,2014-09-14 14:00:00,5112,2014,"(0.9330000305175781, 0.6559999847412109)"
41841,LeftFoot,OpenPlay,BlockedShot,0.021389711648225784,87,0,3,Antonio Mazzotta,3997,a,Cesena,Lazio,Massimo Volta,2014-09-14 14:00:00,5112,2014,"(0.840999984741211, 0.7519999694824219)"
41969,RightFoot,OpenPlay,SavedShot,0.04963391646742821,29,2,2,Franco Brienza,1611,h,Cesena,Empoli,Gregoire Defrel,2014-09-20 17:00:00,5119,2014,"(0.8919999694824219, 0.675)"
41966,LeftFoot,FromCorner,MissedShots,0.058594007045030594,22,2,2,Stefano Lucchini,3864,h,Cesena,Empoli,Massimo Volta,2014-09-20 17:00:00,5119,2014,"(0.8780000305175781, 0.5520000076293945)"
41968,Head,OpenPlay,SavedShot,0.37054261565208435,26,2,2,Guido Marilungo,1314,h,Cesena,Empoli,Franco Brienza,2014-09-20 17:00:00,5119,2014,"(0.9290000152587891, 0.53)"
41971,Head,OpenPlay,Goal,0.5796915292739868,29,2,2,Guido Marilungo,1314,h,Cesena,Empoli,,2014-09-20 17:00:00,5119,2014,"(0.955, 0.4909999847412109)"
41972,LeftFoot,OpenPlay,Goal,0.02660706639289856,31,2,2,Gregoire Defrel,1468,h,Cesena,Empoli,Massimo Volta,2014-09-20 17:00:00,5119,2014,"(0.7380000305175781, 0.4259999847412109)"
41970,LeftFoot,OpenPlay,ShotOnPost,0.576612651348114,29,2,2,Guido Marilungo,1314,h,Cesena,Empoli,,2014-09-20 17:00:00,5119,2014,"(0.9569999694824218, 0.4640000152587891)"
41965,RightFoot,OpenPlay,MissedShots,0.011017991229891777,17,2,2,Emmanuel Cascione,3854,h,Cesena,Empoli,,2014-09-20 17:00:00,5119,2014,"(0.7580000305175781, 0.27100000381469724)"
41987,OtherBodyPart,SetPiece,SavedShot,0.3649568259716034,89,2,2,Guido Marilungo,1314,h,Cesena,Empoli,Francesco Renzetti,2014-09-20 17:00:00,5119,2014,"(0.9280000305175782, 0.5229999923706055)"
42327,RightFoot,OpenPlay,SavedShot,0.012748071923851967,30,0,3,Guido Marilungo,1314,a,Cesena,Juventus,Emmanuel Cascione,2014-09-24 19:45:00,5133,2014,"(0.730999984741211, 0.6819999694824219)"
42487,RightFoot,OpenPlay,MissedShots,0.013938386924564838,64,1,1,Giuseppe De Feudis,3855,h,Cesena,AC Milan,Emmanuel Cascione,2014-09-28 14:00:00,5143,2014,"(0.7269999694824218, 0.35900001525878905)"
42473,RightFoot,OpenPlay,SavedShot,0.045040976256132126,9,1,1,Guido Marilungo,1314,h,Cesena,AC Milan,Manuel Coppola,2014-09-28 14:00:00,5143,2014,"(0.899000015258789, 0.7130000305175781)"
42489,LeftFoot,DirectFreekick,MissedShots,0.15400883555412292,74,1,1,Franco Brienza,1611,h,Cesena,AC Milan,,2014-09-28 14:00:00,5143,2014,"(0.8109999847412109, 0.49900001525878906)"
42488,RightFoot,OpenPlay,MissedShots,0.009267146699130535,71,1,1,Manuel Coppola,4011,h,Cesena,AC Milan,Francesco Renzetti,2014-09-28 14:00:00,5143,2014,"(0.700999984741211, 0.765)"
