,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
5158,Empoli,Udinese,0.68925,1.68654,0,2,a,2014-08-31 19:45:00
5109,Empoli,Roma,0.593046,1.37321,0,1,h,2014-09-13 17:00:00
5119,Empoli,Cesena,2.57707,2.03766,2,2,a,2014-09-20 17:00:00
5129,Empoli,AC Milan,2.03406,0.58264,2,2,h,2014-09-23 19:45:00
5144,Empoli,Chievo,1.67402,0.837322,1,1,a,2014-09-28 14:00:00
5071,Empoli,Palermo,1.99387,0.319965,3,0,h,2014-10-05 11:30:00
5088,Empoli,Genoa,1.57434,0.637598,1,1,a,2014-10-20 19:45:00
5089,Empoli,Cagliari,0.456529,1.4998,0,4,h,2014-10-25 14:00:00
5099,Empoli,Sassuolo,1.83984,3.30543,1,3,a,2014-10-28 19:45:00
5031,Empoli,Juventus,0.770663,1.51283,0,2,h,2014-11-01 17:00:00
5044,Empoli,Lazio,0.482375,0.370879,2,1,h,2014-11-09 14:00:00
5055,Empoli,Parma,0.846637,0.807441,2,0,a,2014-11-23 14:00:00
5062,Empoli,Atalanta,1.28198,0.680702,0,0,h,2014-11-30 14:00:00
5003,Empoli,Napoli,1.95768,1.36387,2,2,a,2014-12-07 11:30:00
5018,Empoli,Torino,1.04851,0.446794,0,0,h,2014-12-15 18:00:00
5026,Empoli,Fiorentina,1.28163,1.66301,1,1,a,2014-12-21 14:00:00
4962,Empoli,Verona,1.39734,0.943501,0,0,h,2015-01-06 14:00:00
4975,Empoli,Sampdoria,0.326387,0.989643,0,1,a,2015-01-11 14:00:00
4977,Empoli,Inter,0.752011,0.956836,0,0,h,2015-01-17 17:00:00
4995,Empoli,Udinese,1.78285,0.71193,1,2,h,2015-01-26 18:00:00
4998,Empoli,Roma,1.07254,0.709503,1,1,a,2015-01-31 19:45:00
4930,Empoli,Cesena,1.46461,0.625894,2,0,h,2015-02-08 14:00:00
4939,Empoli,AC Milan,1.07186,0.905576,1,1,a,2015-02-15 11:30:00
4949,Empoli,Chievo,2.17179,0.286685,3,0,h,2015-02-22 14:00:00
4882,Empoli,Palermo,1.18531,1.15896,0,0,a,2015-03-01 14:00:00
4893,Empoli,Genoa,1.17737,0.915374,1,1,h,2015-03-08 14:00:00
4900,Empoli,Cagliari,0.670824,0.976957,1,1,a,2015-03-14 19:45:00
4911,Empoli,Sassuolo,2.08642,0.619932,3,1,h,2015-03-22 11:30:00
4838,Empoli,Juventus,0.445433,2.06686,0,2,a,2015-04-04 20:00:00
4844,Empoli,Lazio,0.897859,1.65017,0,4,a,2015-04-12 14:00:00
4855,Empoli,Parma,1.06989,1.0285,2,2,h,2015-04-19 14:00:00
4863,Empoli,Atalanta,2.44969,1.88314,2,2,a,2015-04-26 11:30:00
4880,Empoli,Napoli,1.19679,1.0197,4,2,h,2015-04-30 19:45:00
4788,Empoli,Torino,1.26479,0.961341,1,0,a,2015-05-06 14:00:00
4796,Empoli,Fiorentina,1.16432,1.12848,2,3,h,2015-05-10 17:00:00
4804,Empoli,Verona,1.21175,1.18511,1,2,a,2015-05-17 14:00:00
4811,Empoli,Sampdoria,1.6605,0.502291,1,1,h,2015-05-24 11:30:00
4826,Empoli,Inter,2.04109,3.0703,3,4,a,2015-05-31 19:45:00
