,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
5157,Inter,Torino,1.31374,1.09973,0,0,a,2014-08-31 19:45:00
5116,Inter,Sassuolo,3.96571,0.483421,7,0,h,2014-09-14 14:00:00
5128,Inter,Palermo,0.477134,0.584764,1,1,a,2014-09-21 19:45:00
5132,Inter,Atalanta,1.81087,0.421513,2,0,h,2014-09-24 19:45:00
5145,Inter,Cagliari,1.30307,3.32315,1,4,h,2014-09-28 14:00:00
5077,Inter,Fiorentina,0.617229,2.12016,0,3,a,2014-10-05 19:45:00
5087,Inter,Napoli,1.55031,1.09733,2,2,h,2014-10-19 19:45:00
5097,Inter,Cesena,2.06734,0.645724,1,0,a,2014-10-26 17:00:00
5101,Inter,Sampdoria,2.31775,0.529139,1,0,h,2014-10-29 19:45:00
5032,Inter,Parma,0.525,1.67779,0,2,a,2014-11-01 19:45:00
5048,Inter,Verona,2.06381,2.15466,2,2,h,2014-11-09 19:45:00
5058,Inter,AC Milan,0.75884,0.834114,1,1,a,2014-11-23 19:45:00
5068,Inter,Roma,0.722743,1.97997,2,4,a,2014-11-30 19:45:00
5007,Inter,Udinese,1.36914,1.49489,1,2,h,2014-12-07 19:45:00
5019,Inter,Chievo,1.3205,0.826912,2,0,a,2014-12-15 20:00:00
5029,Inter,Lazio,1.06596,0.262502,2,2,h,2014-12-21 19:45:00
4966,Inter,Juventus,1.06956,1.64258,1,1,a,2015-01-06 20:00:00
4969,Inter,Genoa,2.42963,1.6443,3,1,h,2015-01-11 11:30:00
4977,Inter,Empoli,0.956836,0.752011,0,0,a,2015-01-17 17:00:00
4993,Inter,Torino,0.47051,1.07197,0,1,h,2015-01-25 14:00:00
4919,Inter,Sassuolo,1.30376,1.32624,1,3,a,2015-02-01 11:30:00
4934,Inter,Palermo,0.855097,1.03268,3,0,h,2015-02-08 19:45:00
4942,Inter,Atalanta,1.96151,0.73064,4,1,a,2015-02-15 14:00:00
4954,Inter,Cagliari,2.42218,1.35194,2,1,a,2015-02-23 20:00:00
4886,Inter,Fiorentina,0.61408,0.687722,0,1,h,2015-03-01 17:00:00
4896,Inter,Napoli,1.48015,1.46206,2,2,a,2015-03-08 19:45:00
4905,Inter,Cesena,1.24118,0.306265,1,1,h,2015-03-15 19:45:00
4914,Inter,Sampdoria,0.404639,1.4172,0,1,a,2015-03-22 19:45:00
4830,Inter,Parma,1.05665,0.542964,1,1,h,2015-04-04 14:00:00
4842,Inter,Verona,2.38387,1.46945,3,0,a,2015-04-11 19:45:00
4859,Inter,AC Milan,1.49986,0.171709,0,0,h,2015-04-19 19:45:00
4862,Inter,Roma,1.31242,0.47498,2,1,h,2015-04-25 19:45:00
4871,Inter,Udinese,2.26596,0.593611,2,1,a,2015-04-28 19:45:00
4782,Inter,Chievo,0.895308,0.859563,0,0,h,2015-05-03 14:00:00
4797,Inter,Lazio,2.23366,1.30251,2,1,a,2015-05-10 19:45:00
4799,Inter,Juventus,1.95157,1.81655,1,2,h,2015-05-16 17:00:00
4810,Inter,Genoa,2.04042,2.08755,2,3,a,2015-05-23 19:45:00
4826,Inter,Empoli,3.0703,2.04109,4,3,h,2015-05-31 19:45:00
