,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
41522,LeftFoot,OpenPlay,Goal,0.29386085271835327,6,1,1,Paulo Dybala,1294,h,Palermo,Sampdoria,Edgar Barreto,2014-08-31 19:45:00,5153,2014,"(0.850999984741211, 0.539000015258789)"
41531,LeftFoot,OpenPlay,MissedShots,0.024993667379021645,56,1,1,Franco Vázquez,1836,h,Palermo,Sampdoria,,2014-08-31 19:45:00,5153,2014,"(0.74, 0.4279999923706055)"
41529,LeftFoot,OpenPlay,BlockedShot,0.07614333927631378,51,1,1,Franco Vázquez,1836,h,Palermo,Sampdoria,,2014-08-31 19:45:00,5153,2014,"(0.8669999694824219, 0.7090000152587891)"
41521,RightFoot,OpenPlay,MissedShots,0.03303713724017143,1,1,1,Franco Vázquez,1836,h,Palermo,Sampdoria,Paulo Dybala,2014-08-31 19:45:00,5153,2014,"(0.889000015258789, 0.27100000381469724)"
41528,RightFoot,OpenPlay,MissedShots,0.37225207686424255,48,1,1,Paulo Dybala,1294,h,Palermo,Sampdoria,Francesco Bolzoni,2014-08-31 19:45:00,5153,2014,"(0.9030000305175782, 0.5820000076293945)"
41526,RightFoot,SetPiece,MissedShots,0.014340905472636223,30,1,1,Edgar Barreto,1225,h,Palermo,Sampdoria,Fabio Daprelà,2014-08-31 19:45:00,5153,2014,"(0.6990000152587891, 0.764000015258789)"
41532,RightFoot,OpenPlay,MissedShots,0.04447497799992561,57,1,1,Eros Pisano,1842,h,Palermo,Sampdoria,,2014-08-31 19:45:00,5153,2014,"(0.9030000305175782, 0.23899999618530274)"
41534,LeftFoot,OpenPlay,MissedShots,0.06384005397558212,76,1,1,Franco Vázquez,1836,h,Palermo,Sampdoria,Andrea Belotti,2014-08-31 19:45:00,5153,2014,"(0.8480000305175781, 0.435)"
41754,LeftFoot,OpenPlay,BlockedShot,0.025601128116250038,89,1,2,Paulo Dybala,1294,a,Palermo,Verona,Luca Rigoni,2014-09-15 19:45:00,5118,2014,"(0.8130000305175781, 0.27100000381469724)"
41749,LeftFoot,OpenPlay,MissedShots,0.058460112661123276,75,1,2,Andrea Belotti,1186,a,Palermo,Verona,Edgar Barreto,2014-09-15 19:45:00,5118,2014,"(0.895, 0.674000015258789)"
41745,RightFoot,OpenPlay,MissedShots,0.020214125514030457,68,1,2,Edgar Barreto,1225,a,Palermo,Verona,Claudio Terzi,2014-09-15 19:45:00,5118,2014,"(0.7280000305175781, 0.3940000152587891)"
41752,LeftFoot,OpenPlay,SavedShot,0.052888039499521255,82,1,2,Paulo Dybala,1294,a,Palermo,Verona,,2014-09-15 19:45:00,5118,2014,"(0.8419999694824218, 0.5790000152587891)"
41748,LeftFoot,OpenPlay,MissedShots,0.016812367364764214,74,1,2,Paulo Dybala,1294,a,Palermo,Verona,Luca Rigoni,2014-09-15 19:45:00,5118,2014,"(0.7440000152587891, 0.6930000305175781)"
41740,LeftFoot,OpenPlay,SavedShot,0.07804828882217407,56,1,2,Edgar Barreto,1225,a,Palermo,Verona,Franco Vázquez,2014-09-15 19:45:00,5118,2014,"(0.955, 0.6179999923706054)"
41741,Head,OpenPlay,MissedShots,0.06976356357336044,56,1,2,Eros Pisano,1842,a,Palermo,Verona,Fabio Daprelà,2014-09-15 19:45:00,5118,2014,"(0.8930000305175781, 0.445)"
41725,LeftFoot,OpenPlay,SavedShot,0.016406040638685226,8,1,2,Paulo Dybala,1294,a,Palermo,Verona,Eros Pisano,2014-09-15 19:45:00,5118,2014,"(0.7480000305175781, 0.29399999618530276)"
41755,Head,FromCorner,BlockedShot,0.022884797304868698,89,1,2,Franco Vázquez,1836,a,Palermo,Verona,Paulo Dybala,2014-09-15 19:45:00,5118,2014,"(0.955999984741211, 0.375)"
41750,LeftFoot,OpenPlay,OwnGoal,0.0,77,1,2,Eros Pisano,1842,a,Palermo,Verona,,2014-09-15 19:45:00,5118,2014,"(0.01, 0.5259999847412109)"
41742,LeftFoot,OpenPlay,BlockedShot,0.01040935143828392,59,1,2,Zouhair Feddal,2388,a,Palermo,Verona,Claudio Terzi,2014-09-15 19:45:00,5118,2014,"(0.6840000152587891, 0.6709999847412109)"
41735,RightFoot,DirectFreekick,MissedShots,0.05742451548576355,44,1,2,Edgar Barreto,1225,a,Palermo,Verona,,2014-09-15 19:45:00,5118,2014,"(0.774000015258789, 0.3170000076293945)"
41738,LeftFoot,OpenPlay,MissedShots,0.06359175592660904,52,1,2,Paulo Dybala,1294,a,Palermo,Verona,Francesco Bolzoni,2014-09-15 19:45:00,5118,2014,"(0.8959999847412109, 0.38599998474121094)"
41736,LeftFoot,OpenPlay,MissedShots,0.026185715571045876,44,1,2,Paulo Dybala,1294,a,Palermo,Verona,Franco Vázquez,2014-09-15 19:45:00,5118,2014,"(0.76, 0.4370000076293945)"
41727,RightFoot,OpenPlay,MissedShots,0.0949447900056839,17,1,2,Paulo Dybala,1294,a,Palermo,Verona,Eros Pisano,2014-09-15 19:45:00,5118,2014,"(0.95, 0.39799999237060546)"
41753,LeftFoot,OpenPlay,MissedShots,0.04978451505303383,83,1,2,Franco Vázquez,1836,a,Palermo,Verona,,2014-09-15 19:45:00,5118,2014,"(0.885, 0.6659999847412109)"
41739,LeftFoot,OpenPlay,MissedShots,0.018312858417630196,54,1,2,Franco Vázquez,1836,a,Palermo,Verona,Edgar Barreto,2014-09-15 19:45:00,5118,2014,"(0.7430000305175781, 0.7119999694824218)"
41744,LeftFoot,OpenPlay,MissedShots,0.06478007882833481,67,1,2,Paulo Dybala,1294,a,Palermo,Verona,Franco Vázquez,2014-09-15 19:45:00,5118,2014,"(0.9109999847412109, 0.68)"
41728,LeftFoot,OpenPlay,Goal,0.707466721534729,17,1,2,Franco Vázquez,1836,a,Palermo,Verona,,2014-09-15 19:45:00,5118,2014,"(0.9690000152587891, 0.46)"
42076,RightFoot,OpenPlay,MissedShots,0.08427419513463974,72,1,1,Franco Vázquez,1836,h,Palermo,Inter,,2014-09-21 19:45:00,5128,2014,"(0.8909999847412109, 0.5790000152587891)"
42067,LeftFoot,FromCorner,MissedShots,0.05626983195543289,20,1,1,Claudio Terzi,3842,h,Palermo,Inter,,2014-09-21 19:45:00,5128,2014,"(0.8419999694824218, 0.5129999923706055)"
42081,RightFoot,OpenPlay,MissedShots,0.017671093344688416,80,1,1,Luca Rigoni,1101,h,Palermo,Inter,Sinisa Andjelkovic,2014-09-21 19:45:00,5128,2014,"(0.7219999694824218, 0.46599998474121096)"
42082,RightFoot,OpenPlay,SavedShot,0.019515246152877808,83,1,1,Andrea Belotti,1186,h,Palermo,Inter,Paulo Dybala,2014-09-21 19:45:00,5128,2014,"(0.77, 0.6719999694824219)"
42073,LeftFoot,OpenPlay,BlockedShot,0.050799958407878876,68,1,1,Andrea Belotti,1186,h,Palermo,Inter,Luca Rigoni,2014-09-21 19:45:00,5128,2014,"(0.8030000305175782, 0.5220000076293946)"
42074,LeftFoot,OpenPlay,BlockedShot,0.017238661646842957,68,1,1,Achraf Lazaar,1838,h,Palermo,Inter,,2014-09-21 19:45:00,5128,2014,"(0.8440000152587891, 0.7559999847412109)"
42066,RightFoot,OpenPlay,MissedShots,0.06432072818279266,18,1,1,Edgar Barreto,1225,h,Palermo,Inter,Franco Vázquez,2014-09-21 19:45:00,5128,2014,"(0.8059999847412109, 0.515)"
42083,LeftFoot,OpenPlay,MissedShots,0.024171825498342514,85,1,1,Paulo Dybala,1294,h,Palermo,Inter,Robin Quaison,2014-09-21 19:45:00,5128,2014,"(0.805, 0.27899999618530275)"
42075,LeftFoot,OpenPlay,BlockedShot,0.06037917360663414,72,1,1,Franco Vázquez,1836,h,Palermo,Inter,Paulo Dybala,2014-09-21 19:45:00,5128,2014,"(0.899000015258789, 0.69)"
42084,RightFoot,OpenPlay,MissedShots,0.02193310670554638,90,1,1,Robin Quaison,1275,h,Palermo,Inter,Michel Morganella,2014-09-21 19:45:00,5128,2014,"(0.9119999694824219, 0.195)"
42065,LeftFoot,OpenPlay,BlockedShot,0.026851722970604897,14,1,1,Franco Vázquez,1836,h,Palermo,Inter,,2014-09-21 19:45:00,5128,2014,"(0.7719999694824219, 0.675)"
42062,LeftFoot,OpenPlay,Goal,0.06533337384462357,2,1,1,Franco Vázquez,1836,h,Palermo,Inter,,2014-09-21 19:45:00,5128,2014,"(0.9719999694824218, 0.33599998474121096)"
42077,LeftFoot,OpenPlay,MissedShots,0.07688071578741074,73,1,1,Franco Vázquez,1836,h,Palermo,Inter,Michel Morganella,2014-09-21 19:45:00,5128,2014,"(0.8959999847412109, 0.59)"
42380,RightFoot,OpenPlay,SavedShot,0.014477749355137348,0,3,3,Edgar Barreto,1225,a,Palermo,Napoli,Franco Vázquez,2014-09-24 19:45:00,5135,2014,"(0.7330000305175781, 0.49700000762939456)"
42391,Head,SetPiece,SavedShot,0.03181111812591553,31,3,3,Sinisa Andjelkovic,1266,a,Palermo,Napoli,Luca Rigoni,2014-09-24 19:45:00,5135,2014,"(0.9130000305175782, 0.644000015258789)"
42404,LeftFoot,OpenPlay,MissedShots,0.015239307656884193,67,3,3,Franco Vázquez,1836,a,Palermo,Napoli,Edgar Barreto,2014-09-24 19:45:00,5135,2014,"(0.6990000152587891, 0.5729999923706055)"
42388,RightFoot,OpenPlay,Goal,0.3924751877784729,23,3,3,Franco Vázquez,1836,a,Palermo,Napoli,Michel Morganella,2014-09-24 19:45:00,5135,2014,"(0.8780000305175781, 0.47)"
42396,RightFoot,OpenPlay,MissedShots,0.012317616492509842,46,3,3,Edgar Barreto,1225,a,Palermo,Napoli,Franco Vázquez,2014-09-24 19:45:00,5135,2014,"(0.784000015258789, 0.3659999847412109)"
