,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
5154,Parma,Cesena,0.438551,1.09417,0,1,a,2014-08-31 19:45:00
5117,Parma,AC Milan,1.43019,3.77794,4,5,h,2014-09-14 19:45:00
5121,Parma,Chievo,0.934229,1.34921,3,2,a,2014-09-21 11:30:00
5136,Parma,Roma,0.334683,0.82541,1,2,h,2014-09-24 19:45:00
5147,Parma,Udinese,1.86017,1.05537,2,4,a,2014-09-29 18:00:00
5072,Parma,Genoa,1.20463,1.77324,1,2,h,2014-10-05 14:00:00
5084,Parma,Atalanta,0.306658,1.37374,0,1,a,2014-10-19 14:00:00
5090,Parma,Sassuolo,0.763954,1.64283,1,3,h,2014-10-25 17:00:00
5100,Parma,Torino,0.694268,1.33422,0,1,a,2014-10-29 19:45:00
5032,Parma,Inter,1.67779,0.525,2,0,h,2014-11-01 19:45:00
5045,Parma,Juventus,0.137701,2.12422,0,7,a,2014-11-09 14:00:00
5055,Parma,Empoli,0.807441,0.846637,0,2,h,2014-11-23 14:00:00
5064,Parma,Palermo,1.4149,1.43758,1,2,a,2014-11-30 14:00:00
5004,Parma,Lazio,1.3355,1.77716,1,2,h,2014-12-07 14:00:00
5014,Parma,Cagliari,0.234186,0.666448,0,0,h,2014-12-14 14:00:00
5021,Parma,Napoli,0.103642,2.60803,0,2,a,2014-12-18 20:00:00
4961,Parma,Fiorentina,1.01072,2.82483,1,0,h,2015-01-06 14:00:00
4973,Parma,Verona,0.466083,2.47024,1,3,a,2015-01-11 14:00:00
4984,Parma,Sampdoria,0.933796,2.59816,0,2,h,2015-01-18 14:00:00
4991,Parma,Cesena,1.0013,0.764594,1,2,h,2015-01-25 14:00:00
4926,Parma,AC Milan,1.38244,2.0486,1,3,a,2015-02-01 19:45:00
4936,Parma,Chievo,0.742016,1.72203,0,1,h,2015-02-11 17:00:00
4943,Parma,Roma,0.105265,1.41197,0,0,a,2015-02-15 14:00:00
4894,Parma,Atalanta,0.556685,0.222416,0,0,h,2015-03-08 14:00:00
4902,Parma,Sassuolo,0.335275,2.41615,1,4,a,2015-03-15 14:00:00
4918,Parma,Torino,0.738142,1.70895,0,2,h,2015-03-22 19:45:00
4830,Parma,Inter,0.542964,1.05665,1,1,a,2015-04-04 14:00:00
4839,Parma,Udinese,1.22121,0.543698,1,0,h,2015-04-08 17:30:00
4841,Parma,Juventus,0.319367,0.914362,1,0,h,2015-04-11 17:00:00
4850,Parma,Genoa,0.595376,2.78368,0,2,a,2015-04-15 17:30:00
4855,Parma,Empoli,1.0285,1.06989,2,2,a,2015-04-19 14:00:00
4864,Parma,Palermo,1.11507,1.80235,1,0,h,2015-04-26 14:00:00
4873,Parma,Lazio,0.411529,1.87018,0,4,a,2015-04-29 19:45:00
4787,Parma,Cagliari,0.991984,2.08635,0,4,a,2015-05-04 19:45:00
4795,Parma,Napoli,1.30038,1.45305,2,2,h,2015-05-10 17:00:00
4807,Parma,Fiorentina,1.16854,1.9529,0,3,a,2015-05-18 18:00:00
4812,Parma,Verona,1.10361,1.41687,2,2,h,2015-05-24 14:00:00
4822,Parma,Sampdoria,1.0172,1.38898,2,2,a,2015-05-31 19:45:00
