,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
41436,LeftFoot,OpenPlay,SavedShot,0.04896269366145134,90,0,1,Alessandro Lucarelli,3838,a,Parma,Cesena,,2014-08-31 19:45:00,5154,2014,"(0.9459999847412109, 0.6869999694824219)"
41435,Head,OpenPlay,BlockedShot,0.01910746656358242,89,0,1,Massimo Coda,3832,a,Parma,Cesena,Massimo Gobbi,2014-08-31 19:45:00,5154,2014,"(0.8830000305175781, 0.4470000076293945)"
41431,RightFoot,OpenPlay,MissedShots,0.018033422529697418,82,0,1,Massimo Coda,3832,a,Parma,Cesena,Massimo Gobbi,2014-08-31 19:45:00,5154,2014,"(0.7330000305175781, 0.6140000152587891)"
41417,RightFoot,OpenPlay,BlockedShot,0.028129076585173607,2,0,1,Afriyie Acquah,1192,a,Parma,Cesena,Massimo Gobbi,2014-08-31 19:45:00,5154,2014,"(0.889000015258789, 0.29600000381469727)"
41429,RightFoot,OpenPlay,BlockedShot,0.025005517527461052,67,0,1,Afriyie Acquah,1192,a,Parma,Cesena,Cristóbal Jorquera,2014-08-31 19:45:00,5154,2014,"(0.8130000305175781, 0.2929999923706055)"
41428,RightFoot,OpenPlay,BlockedShot,0.028857257217168808,64,0,1,Jonathan Biabiany,1600,a,Parma,Cesena,Cristóbal Jorquera,2014-08-31 19:45:00,5154,2014,"(0.8569999694824219, 0.7530000305175781)"
41427,RightFoot,OpenPlay,MissedShots,0.03383560851216316,60,0,1,Raffaele Palladino,1361,a,Parma,Cesena,Cristóbal Jorquera,2014-08-31 19:45:00,5154,2014,"(0.795, 0.42700000762939455)"
41426,LeftFoot,OpenPlay,BlockedShot,0.08526438474655151,59,0,1,Raffaele Palladino,1361,a,Parma,Cesena,Afriyie Acquah,2014-08-31 19:45:00,5154,2014,"(0.905, 0.5029999923706054)"
41418,LeftFoot,OpenPlay,MissedShots,0.026052122935652733,6,0,1,Raffaele Palladino,1361,a,Parma,Cesena,Cristóbal Jorquera,2014-08-31 19:45:00,5154,2014,"(0.7630000305175781, 0.42900001525878906)"
41430,RightFoot,OpenPlay,BlockedShot,0.01696096546947956,72,0,1,Ishak Belfodil,3834,a,Parma,Cesena,Francesco Lodi,2014-08-31 19:45:00,5154,2014,"(0.710999984741211, 0.5559999847412109)"
41422,LeftFoot,DirectFreekick,BlockedShot,0.07116440683603287,27,0,1,Francesco Lodi,1562,a,Parma,Cesena,,2014-08-31 19:45:00,5154,2014,"(0.76, 0.5529999923706055)"
