,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
555,Carpi,Sampdoria,2.67392,1.40755,2,5,a,2015-08-23 22:45:00
567,Carpi,Inter,0.866071,3.03344,1,2,h,2015-08-30 22:45:00
575,Carpi,Palermo,0.912214,1.31893,2,2,a,2015-09-13 17:00:00
589,Carpi,Fiorentina,1.49722,0.418407,0,1,h,2015-09-20 20:00:00
595,Carpi,Napoli,0.362323,1.16585,0,0,h,2015-09-23 22:45:00
601,Carpi,Roma,1.51645,3.46661,1,5,a,2015-09-26 20:00:00
611,Carpi,Torino,0.880132,1.21414,2,1,h,2015-10-03 20:00:00
628,Carpi,Atalanta,1.03029,2.23861,0,3,a,2015-10-18 17:00:00
632,Carpi,Bologna,0.820122,1.96954,1,2,h,2015-10-24 20:00:00
642,Carpi,Frosinone,0.640609,1.00468,1,2,a,2015-10-28 23:45:00
656,Carpi,Verona,1.24528,0.525153,0,0,h,2015-11-01 18:00:00
664,Carpi,Sassuolo,0.271335,1.37733,0,1,a,2015-11-08 18:00:00
676,Carpi,Chievo,0.949266,0.535478,1,2,h,2015-11-22 18:00:00
685,Carpi,Genoa,2.06166,0.666263,2,1,a,2015-11-29 18:00:00
700,Carpi,AC Milan,0.413865,0.859272,0,0,h,2015-12-06 23:45:00
706,Carpi,Empoli,1.39607,1.76158,0,3,a,2015-12-13 18:00:00
711,Carpi,Juventus,1.00082,1.66604,2,3,h,2015-12-20 15:30:00
726,Carpi,Lazio,0.194449,0.445881,0,0,a,2016-01-06 18:00:00
730,Carpi,Udinese,1.49909,0.326424,2,1,h,2016-01-09 18:00:00
748,Carpi,Sampdoria,1.3392,2.30542,2,1,h,2016-01-17 18:00:00
755,Carpi,Inter,0.685858,2.22439,1,1,a,2016-01-24 18:00:00
761,Carpi,Palermo,1.18567,0.981895,1,1,h,2016-01-30 18:00:00
773,Carpi,Fiorentina,0.959221,0.630181,1,2,a,2016-02-03 23:45:00
786,Carpi,Napoli,0.0810378,2.27124,0,1,a,2016-02-07 18:00:00
792,Carpi,Roma,0.873983,2.28532,1,3,h,2016-02-12 23:45:00
807,Carpi,Torino,0.299053,1.23939,0,0,a,2016-02-21 18:00:00
817,Carpi,Atalanta,1.43845,0.947109,1,1,h,2016-02-28 18:00:00
828,Carpi,Bologna,0.285025,1.16209,0,0,a,2016-03-06 18:00:00
836,Carpi,Frosinone,1.78367,1.27464,2,1,h,2016-03-13 18:00:00
844,Carpi,Verona,1.2492,0.68967,2,1,a,2016-03-20 18:00:00
851,Carpi,Sassuolo,1.39986,1.80569,1,3,h,2016-04-02 20:00:00
863,Carpi,Chievo,0.721378,1.22666,0,1,a,2016-04-09 20:00:00
872,Carpi,Genoa,3.16479,1.37647,4,1,h,2016-04-16 20:00:00
890,Carpi,AC Milan,0.26311,1.03038,0,0,a,2016-04-21 22:45:00
900,Carpi,Empoli,1.70068,0.696372,1,0,h,2016-04-25 21:00:00
903,Carpi,Juventus,0.507266,0.97521,0,2,a,2016-05-01 14:30:00
918,Carpi,Lazio,3.44148,1.98265,1,3,h,2016-05-08 17:00:00
928,Carpi,Udinese,1.76289,1.29064,2,1,a,2016-05-15 22:45:00
