,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
93303,LeftFoot,OpenPlay,BlockedShot,0.054676640778779984,62,2,5,Ryder Matos,1153,a,Carpi,Sampdoria,Andrea Lazzari,2015-08-23 22:45:00,555,2015,"(0.835999984741211, 0.35)"
93296,RightFoot,OpenPlay,BlockedShot,0.01456752885133028,38,2,5,Ryder Matos,1153,a,Carpi,Sampdoria,,2015-08-23 22:45:00,555,2015,"(0.7440000152587891, 0.36900001525878906)"
93316,LeftFoot,OpenPlay,Goal,0.019756032153964043,87,2,5,Ryder Matos,1153,a,Carpi,Sampdoria,Wallace Oliveira,2015-08-23 22:45:00,555,2015,"(0.8130000305175781, 0.32599998474121095)"
93289,LeftFoot,OpenPlay,BlockedShot,0.03536723926663399,25,2,5,Kevin Lasagna,1903,a,Carpi,Sampdoria,Andrea Lazzari,2015-08-23 22:45:00,555,2015,"(0.7769999694824219, 0.555)"
93300,LeftFoot,OpenPlay,SavedShot,0.07703755795955658,60,2,5,Kamil Wilczek,2049,a,Carpi,Sampdoria,,2015-08-23 22:45:00,555,2015,"(0.91, 0.669000015258789)"
93318,LeftFoot,OpenPlay,MissedShots,0.022090835496783257,89,2,5,Kamil Wilczek,2049,a,Carpi,Sampdoria,,2015-08-23 22:45:00,555,2015,"(0.7769999694824219, 0.4979999923706055)"
93308,Head,FromCorner,MissedShots,0.09342950582504272,72,2,5,Nicolás Spolli,1342,a,Carpi,Sampdoria,Andrea Lazzari,2015-08-23 22:45:00,555,2015,"(0.925, 0.45299999237060545)"
93319,LeftFoot,Penalty,SavedShot,0.7612988352775574,92,2,5,Andrea Lazzari,2027,a,Carpi,Sampdoria,,2015-08-23 22:45:00,555,2015,"(0.885, 0.5)"
93293,Head,FromCorner,MissedShots,0.040206972509622574,34,2,5,Igor Bubnjic,2054,a,Carpi,Sampdoria,Andrea Lazzari,2015-08-23 22:45:00,555,2015,"(0.9130000305175782, 0.590999984741211)"
93302,RightFoot,FromCorner,MissedShots,0.4451252222061157,61,2,5,Igor Bubnjic,2054,a,Carpi,Sampdoria,,2015-08-23 22:45:00,555,2015,"(0.9890000152587891, 0.425)"
93315,LeftFoot,FromCorner,MissedShots,0.021383455023169518,85,2,5,Andrea Lazzari,2027,a,Carpi,Sampdoria,,2015-08-23 22:45:00,555,2015,"(0.7780000305175782, 0.5670000076293945)"
93301,Head,FromCorner,SavedShot,0.055259332060813904,61,2,5,Ryder Matos,1153,a,Carpi,Sampdoria,Andrea Lazzari,2015-08-23 22:45:00,555,2015,"(0.9369999694824219, 0.53)"
93307,LeftFoot,DirectFreekick,SavedShot,0.10085254162549973,71,2,5,Andrea Lazzari,2027,a,Carpi,Sampdoria,,2015-08-23 22:45:00,555,2015,"(0.7980000305175782, 0.3940000152587891)"
93297,Head,OpenPlay,MissedShots,0.39379584789276123,38,2,5,Andrea Lazzari,2027,a,Carpi,Sampdoria,Filippo Porcari,2015-08-23 22:45:00,555,2015,"(0.9319999694824219, 0.4759999847412109)"
93317,RightFoot,OpenPlay,SavedShot,0.09704160690307617,88,2,5,Antonio Di Gaudio,1905,a,Carpi,Sampdoria,Andrea Lazzari,2015-08-23 22:45:00,555,2015,"(0.97, 0.6229999923706054)"
93310,RightFoot,OpenPlay,MissedShots,0.03622360900044441,77,2,5,Wallace Oliveira,2055,a,Carpi,Sampdoria,Filippo Porcari,2015-08-23 22:45:00,555,2015,"(0.7719999694824219, 0.42)"
93313,RightFoot,OpenPlay,SavedShot,0.02506573125720024,83,2,5,Wallace Oliveira,2055,a,Carpi,Sampdoria,Ryder Matos,2015-08-23 22:45:00,555,2015,"(0.8209999847412109, 0.32799999237060545)"
93295,LeftFoot,OpenPlay,Goal,0.04694575071334839,37,2,5,Andrea Lazzari,2027,a,Carpi,Sampdoria,Gabriel Silva,2015-08-23 22:45:00,555,2015,"(0.8419999694824218, 0.4929999923706055)"
93314,RightFoot,OpenPlay,BlockedShot,0.06831219792366028,85,2,5,Antonio Di Gaudio,1905,a,Carpi,Sampdoria,,2015-08-23 22:45:00,555,2015,"(0.895, 0.580999984741211)"
93311,RightFoot,SetPiece,BlockedShot,0.013988681137561798,79,2,5,Filippo Porcari,1904,a,Carpi,Sampdoria,,2015-08-23 22:45:00,555,2015,"(0.749000015258789, 0.5579999923706055)"
93304,LeftFoot,OpenPlay,MissedShots,0.031213348731398582,63,2,5,Luca Marrone,1643,a,Carpi,Sampdoria,,2015-08-23 22:45:00,555,2015,"(0.8880000305175781, 0.639000015258789)"
93309,Head,SetPiece,MissedShots,0.049277741461992264,75,2,5,Luca Marrone,1643,a,Carpi,Sampdoria,Andrea Lazzari,2015-08-23 22:45:00,555,2015,"(0.875999984741211, 0.5259999847412109)"
93286,LeftFoot,OpenPlay,MissedShots,0.02602703869342804,11,2,5,Andrea Lazzari,2027,a,Carpi,Sampdoria,Kevin Lasagna,2015-08-23 22:45:00,555,2015,"(0.7730000305175782, 0.3770000076293945)"
93299,LeftFoot,OpenPlay,MissedShots,0.016852738335728645,54,2,5,Andrea Lazzari,2027,a,Carpi,Sampdoria,Riccardo Gagliolo,2015-08-23 22:45:00,555,2015,"(0.7859999847412109, 0.7530000305175781)"
93312,Head,OpenPlay,MissedShots,0.12812075018882751,79,2,5,Ryder Matos,1153,a,Carpi,Sampdoria,Gabriel Silva,2015-08-23 22:45:00,555,2015,"(0.919000015258789, 0.4979999923706055)"
93406,RightFoot,OpenPlay,SavedShot,0.015328526496887207,14,1,2,Ryder Matos,1153,h,Carpi,Inter,Matteo Fedele,2015-08-30 22:45:00,567,2015,"(0.7759999847412109, 0.26899999618530274)"
