,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
93259,RightFoot,OpenPlay,SavedShot,0.11162170767784119,10,0,1,Goran Pandev,1115,a,Genoa,Palermo,Olivier Ntcham,2015-08-23 22:45:00,554,2015,"(0.89, 0.585)"
93255,RightFoot,OpenPlay,BlockedShot,0.023854274302721024,1,0,1,Olivier Ntcham,1111,a,Genoa,Palermo,Tino Costa,2015-08-23 22:45:00,554,2015,"(0.7680000305175781, 0.37099998474121093)"
93266,RightFoot,OpenPlay,BlockedShot,0.02519509382545948,26,0,1,Olivier Ntcham,1111,a,Genoa,Palermo,Tino Costa,2015-08-23 22:45:00,554,2015,"(0.7659999847412109, 0.620999984741211)"
93275,RightFoot,OpenPlay,MissedShots,0.016358256340026855,60,0,1,Olivier Ntcham,1111,a,Genoa,Palermo,Goran Pandev,2015-08-23 22:45:00,554,2015,"(0.715, 0.5929999923706055)"
93276,RightFoot,OpenPlay,MissedShots,0.09383077174425125,61,0,1,Olivier Ntcham,1111,a,Genoa,Palermo,Diego Capel,2015-08-23 22:45:00,554,2015,"(0.845, 0.5329999923706055)"
93258,LeftFoot,OpenPlay,SavedShot,0.28062278032302856,6,0,1,Goran Pandev,1115,a,Genoa,Palermo,Olivier Ntcham,2015-08-23 22:45:00,554,2015,"(0.9230000305175782, 0.645)"
93260,Head,FromCorner,MissedShots,0.05167970433831215,12,0,1,Sebastien De Maio,1431,a,Genoa,Palermo,Tino Costa,2015-08-23 22:45:00,554,2015,"(0.895, 0.46599998474121096)"
93263,LeftFoot,SetPiece,MissedShots,0.02104055881500244,16,0,1,Giovanni Marchese,1630,a,Genoa,Palermo,,2015-08-23 22:45:00,554,2015,"(0.7759999847412109, 0.5640000152587891)"
93256,LeftFoot,OpenPlay,SavedShot,0.010336697101593018,1,0,1,Tino Costa,1885,a,Genoa,Palermo,Sebastien De Maio,2015-08-23 22:45:00,554,2015,"(0.7180000305175781, 0.25799999237060545)"
93268,LeftFoot,OpenPlay,MissedShots,0.015605224296450615,31,0,1,Tino Costa,1885,a,Genoa,Palermo,Issa Cissokho,2015-08-23 22:45:00,554,2015,"(0.725999984741211, 0.40200000762939453)"
93267,RightFoot,OpenPlay,MissedShots,0.12726539373397827,29,0,1,Darko Lazovic,1106,a,Genoa,Palermo,Diego Laxalt,2015-08-23 22:45:00,554,2015,"(0.9669999694824218, 0.5629999923706055)"
93459,LeftFoot,OpenPlay,MissedShots,0.018945861607789993,41,2,0,Tino Costa,1885,h,Genoa,Verona,Olivier Ntcham,2015-08-30 22:45:00,569,2015,"(0.7440000152587891, 0.56)"
93473,Head,OpenPlay,Goal,0.6886998414993286,75,2,0,Serge Gakpe,1581,h,Genoa,Verona,Tomás Rincón,2015-08-30 22:45:00,569,2015,"(0.975999984741211, 0.5420000076293945)"
93470,RightFoot,OpenPlay,MissedShots,0.0429343543946743,64,2,0,Tomás Rincón,1099,h,Genoa,Verona,Armando Izzo,2015-08-30 22:45:00,569,2015,"(0.9009999847412109, 0.25)"
