,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
93236,RightFoot,OpenPlay,MissedShots,0.06479371339082718,41,2,1,Keita,1210,h,Lazio,Bologna,Senad Lulic,2015-08-22 22:45:00,552,2015,"(0.8019999694824219, 0.39799999237060546)"
93228,Head,OpenPlay,MissedShots,0.04324107617139816,9,2,1,Antonio Candreva,1517,h,Lazio,Bologna,Ricardo Kishna,2015-08-22 22:45:00,552,2015,"(0.9159999847412109, 0.5879999923706055)"
93229,RightFoot,FromCorner,SavedShot,0.037781987339258194,13,2,1,Antonio Candreva,1517,h,Lazio,Bologna,Stefan Radu,2015-08-22 22:45:00,552,2015,"(0.7559999847412109, 0.6409999847412109)"
93234,RightFoot,OpenPlay,SavedShot,0.015170416794717312,28,2,1,Antonio Candreva,1517,h,Lazio,Bologna,Dusan Basta,2015-08-22 22:45:00,552,2015,"(0.7830000305175782, 0.21)"
93242,RightFoot,DirectFreekick,BlockedShot,0.027891667559742928,54,2,1,Antonio Candreva,1517,h,Lazio,Bologna,,2015-08-22 22:45:00,552,2015,"(0.66, 0.54)"
93230,LeftFoot,OpenPlay,Goal,0.0743829682469368,16,2,1,Lucas Biglia,1589,h,Lazio,Bologna,Keita,2015-08-22 22:45:00,552,2015,"(0.845999984741211, 0.49900001525878906)"
93246,RightFoot,OpenPlay,SavedShot,0.055744774639606476,71,2,1,Antonio Candreva,1517,h,Lazio,Bologna,Stefan Radu,2015-08-22 22:45:00,552,2015,"(0.9059999847412109, 0.730999984741211)"
93249,RightFoot,OpenPlay,MissedShots,0.061735499650239944,76,2,1,Felipe Anderson,1208,h,Lazio,Bologna,Keita,2015-08-22 22:45:00,552,2015,"(0.8209999847412109, 0.585)"
93240,LeftFoot,OpenPlay,SavedShot,0.2977226674556732,46,2,1,Keita,1210,h,Lazio,Bologna,Stefan Radu,2015-08-22 22:45:00,552,2015,"(0.8819999694824219, 0.5479999923706055)"
93232,LeftFoot,OpenPlay,Goal,0.45382052659988403,22,2,1,Ricardo Kishna,1564,h,Lazio,Bologna,,2015-08-22 22:45:00,552,2015,"(0.9030000305175782, 0.44799999237060545)"
