,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
554,Palermo,Genoa,1.63924,0.77741,1,0,h,2015-08-23 22:45:00
565,Palermo,Udinese,0.791464,2.23566,1,0,a,2015-08-30 22:45:00
575,Palermo,Carpi,1.31893,0.912214,2,2,h,2015-09-13 17:00:00
582,Palermo,AC Milan,1.34984,1.29857,2,3,a,2015-09-19 22:45:00
593,Palermo,Sassuolo,0.458442,0.731694,0,1,h,2015-09-23 22:45:00
606,Palermo,Torino,0.380741,0.578424,1,2,a,2015-09-27 17:00:00
614,Palermo,Roma,1.27132,2.02203,2,4,h,2015-10-04 17:00:00
623,Palermo,Bologna,1.66538,1.7239,1,0,a,2015-10-18 14:30:00
633,Palermo,Inter,1.06069,2.04874,1,1,h,2015-10-24 22:45:00
645,Palermo,Napoli,0.26471,1.10143,0,2,a,2015-10-28 23:45:00
660,Palermo,Empoli,1.12409,0.848186,0,1,h,2015-11-03 00:00:00
665,Palermo,Chievo,0.862642,1.21475,1,0,h,2015-11-08 18:00:00
674,Palermo,Lazio,0.648783,1.52326,1,1,a,2015-11-22 18:00:00
688,Palermo,Juventus,0.458932,1.60298,0,3,h,2015-11-29 23:45:00
695,Palermo,Atalanta,0.845303,1.51762,0,3,a,2015-12-06 18:00:00
702,Palermo,Frosinone,2.74774,1.49153,4,1,h,2015-12-12 21:00:00
716,Palermo,Sampdoria,0.647545,1.59365,0,2,a,2015-12-20 21:00:00
723,Palermo,Fiorentina,0.930207,1.39737,1,3,h,2016-01-06 18:00:00
738,Palermo,Verona,1.12513,2.97331,1,0,a,2016-01-10 18:00:00
743,Palermo,Genoa,0.41324,2.93614,0,4,a,2016-01-17 15:30:00
759,Palermo,Udinese,1.9135,1.78224,4,1,h,2016-01-24 18:00:00
761,Palermo,Carpi,0.981895,1.18567,1,1,a,2016-01-30 18:00:00
776,Palermo,AC Milan,0.69714,2.3384,0,2,h,2016-02-03 23:45:00
785,Palermo,Sassuolo,0.712807,2.28066,2,2,a,2016-02-07 18:00:00
797,Palermo,Torino,0.986373,3.01088,1,3,h,2016-02-14 18:00:00
809,Palermo,Roma,0.207981,2.43671,0,5,a,2016-02-21 23:45:00
813,Palermo,Bologna,0.636809,1.04567,0,0,h,2016-02-28 15:30:00
830,Palermo,Inter,0.769584,1.0249,1,3,a,2016-03-06 23:45:00
840,Palermo,Napoli,0.289323,2.02645,0,1,h,2016-03-13 23:45:00
841,Palermo,Empoli,0.683302,0.522438,0,0,a,2016-03-19 21:00:00
854,Palermo,Chievo,1.80741,1.34014,1,3,a,2016-04-03 17:00:00
869,Palermo,Lazio,0.417993,3.05565,0,3,h,2016-04-10 22:45:00
876,Palermo,Juventus,0.696599,1.82684,0,4,a,2016-04-17 17:00:00
884,Palermo,Atalanta,2.64762,2.25362,2,2,h,2016-04-20 22:45:00
892,Palermo,Frosinone,0.841795,1.36967,2,0,a,2016-04-24 14:30:00
904,Palermo,Sampdoria,1.29682,0.446755,2,0,h,2016-05-01 17:00:00
915,Palermo,Fiorentina,0.166833,2.00986,0,0,a,2016-05-08 17:00:00
930,Palermo,Verona,0.789971,1.35761,3,2,h,2016-05-15 22:45:00
