,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
560,Torino,Frosinone,1.99731,0.895109,2,1,a,2015-08-23 22:45:00
564,Torino,Fiorentina,0.646798,0.839819,3,1,h,2015-08-30 22:45:00
574,Torino,Verona,0.926644,1.61701,2,2,a,2015-09-13 14:30:00
586,Torino,Sampdoria,2.63119,0.798391,2,0,h,2015-09-20 17:00:00
596,Torino,Chievo,0.151262,0.425996,0,1,a,2015-09-23 22:45:00
606,Torino,Palermo,0.578424,0.380741,2,1,h,2015-09-27 17:00:00
611,Torino,Carpi,1.21414,0.880132,1,2,a,2015-10-03 20:00:00
622,Torino,AC Milan,0.336416,0.794492,1,1,h,2015-10-17 22:45:00
638,Torino,Lazio,0.31541,1.30999,0,3,a,2015-10-25 21:00:00
649,Torino,Genoa,1.45703,1.57922,3,3,h,2015-10-28 23:45:00
651,Torino,Juventus,0.753835,1.47178,1,2,a,2015-10-31 21:00:00
663,Torino,Inter,1.34479,0.889238,0,1,h,2015-11-08 15:30:00
679,Torino,Atalanta,1.55139,0.896778,1,0,a,2015-11-22 18:00:00
681,Torino,Bologna,1.32824,0.095766,2,0,h,2015-11-28 21:00:00
692,Torino,Roma,1.64485,0.237957,1,1,h,2015-12-05 18:00:00
717,Torino,Udinese,0.50199,1.52143,0,1,h,2015-12-20 21:00:00
729,Torino,Napoli,1.05846,1.36081,1,2,a,2016-01-06 23:45:00
736,Torino,Empoli,1.94161,1.23208,0,1,h,2016-01-10 18:00:00
741,Torino,Frosinone,2.60731,0.651895,4,2,h,2016-01-16 21:00:00
750,Torino,Sassuolo,0.960259,1.59728,1,1,a,2016-01-20 23:45:00
753,Torino,Fiorentina,1.19235,0.834601,0,2,a,2016-01-24 15:30:00
766,Torino,Verona,1.61682,0.546912,0,0,h,2016-01-31 18:00:00
778,Torino,Sampdoria,1.84523,0.758631,2,2,a,2016-02-03 23:45:00
787,Torino,Chievo,0.955057,1.02676,1,2,h,2016-02-07 18:00:00
797,Torino,Palermo,3.01088,0.986373,3,1,a,2016-02-14 18:00:00
807,Torino,Carpi,1.23939,0.299053,0,0,h,2016-02-21 18:00:00
812,Torino,AC Milan,0.678004,1.34094,0,1,a,2016-02-27 23:45:00
824,Torino,Lazio,2.49094,1.32027,1,1,h,2016-03-06 15:30:00
838,Torino,Genoa,1.26638,2.52155,2,3,a,2016-03-13 18:00:00
847,Torino,Juventus,1.58508,1.74677,1,4,h,2016-03-20 18:00:00
859,Torino,Inter,2.2995,1.27119,2,1,a,2016-04-03 22:45:00
867,Torino,Atalanta,0.873952,0.99328,2,1,h,2016-04-10 17:00:00
871,Torino,Bologna,1.06984,0.507409,1,0,a,2016-04-16 17:00:00
883,Torino,Roma,1.5845,2.19722,2,3,a,2016-04-20 22:45:00
893,Torino,Sassuolo,0.957336,1.55044,1,3,h,2016-04-24 17:00:00
901,Torino,Udinese,1.24571,1.56864,5,1,a,2016-04-30 20:00:00
919,Torino,Napoli,0.459127,1.70567,1,2,h,2016-05-08 22:45:00
925,Torino,Empoli,1.10246,0.640557,1,2,a,2016-05-15 20:00:00
