,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
144301,RightFoot,OpenPlay,Goal,0.31624162197113037,48,2,0,Valter Birsa,1336,h,Chievo,Inter,Fabrizio Cacciatore,2016-08-21 22:45:00,938,2016,"(0.899000015258789, 0.42900001525878906)"
144295,RightFoot,OpenPlay,BlockedShot,0.0188641045242548,17,2,0,Ivan Radovanovic,1341,h,Chievo,Inter,Fabrizio Cacciatore,2016-08-21 22:45:00,938,2016,"(0.785, 0.3240000152587891)"
144303,RightFoot,OpenPlay,SavedShot,0.0517532043159008,51,2,0,Lucas Castro,1333,h,Chievo,Inter,Perparim Hetemaj,2016-08-21 22:45:00,938,2016,"(0.840999984741211, 0.6790000152587891)"
144300,RightFoot,OpenPlay,MissedShots,0.01537562720477581,45,2,0,Lucas Castro,1333,h,Chievo,Inter,Roberto Inglese,2016-08-21 22:45:00,938,2016,"(0.735999984741211, 0.38)"
144296,LeftFoot,DirectFreekick,BlockedShot,0.049001920968294144,30,2,0,Valter Birsa,1336,h,Chievo,Inter,,2016-08-21 22:45:00,938,2016,"(0.725, 0.5220000076293946)"
144311,Head,SetPiece,SavedShot,0.025234907865524292,86,2,0,Roberto Inglese,1340,h,Chievo,Inter,Perparim Hetemaj,2016-08-21 22:45:00,938,2016,"(0.855999984741211, 0.505)"
144313,RightFoot,OpenPlay,MissedShots,0.01651964709162712,88,2,0,Roberto Inglese,1340,h,Chievo,Inter,Sergio Pellissier,2016-08-21 22:45:00,938,2016,"(0.745999984741211, 0.3659999847412109)"
144312,LeftFoot,FromCorner,MissedShots,0.011562135070562363,87,2,0,Massimo Gobbi,1332,h,Chievo,Inter,,2016-08-21 22:45:00,938,2016,"(0.66, 0.5790000152587891)"
144298,LeftFoot,OpenPlay,MissedShots,0.1169852763414383,39,2,0,Riccardo Meggiorini,1337,h,Chievo,Inter,Lucas Castro,2016-08-21 22:45:00,938,2016,"(0.8090000152587891, 0.435)"
144304,LeftFoot,OpenPlay,BlockedShot,0.0969732254743576,53,2,0,Valter Birsa,1336,h,Chievo,Inter,,2016-08-21 22:45:00,938,2016,"(0.8230000305175781, 0.5320000076293945)"
144307,LeftFoot,OpenPlay,MissedShots,0.0228705033659935,68,2,0,Valter Birsa,1336,h,Chievo,Inter,Perparim Hetemaj,2016-08-21 22:45:00,938,2016,"(0.7280000305175781, 0.6140000152587891)"
144308,RightFoot,OpenPlay,Goal,0.03670120984315872,80,2,0,Valter Birsa,1336,h,Chievo,Inter,,2016-08-21 22:45:00,938,2016,"(0.759000015258789, 0.505)"
144914,RightFoot,FromCorner,BlockedShot,0.01907079853117466,92,0,1,Dario Dainelli,1331,a,Chievo,Fiorentina,Massimo Gobbi,2016-08-28 22:45:00,950,2016,"(0.7559999847412109, 0.5790000152587891)"
144915,Head,FromCorner,MissedShots,0.01784394308924675,93,0,1,Bostjan Cesar,1572,a,Chievo,Fiorentina,Ivan Radovanovic,2016-08-28 22:45:00,950,2016,"(0.875999984741211, 0.580999984741211)"
144909,LeftFoot,OpenPlay,MissedShots,0.023331718519330025,62,0,1,Valter Birsa,1336,a,Chievo,Fiorentina,Roberto Inglese,2016-08-28 22:45:00,950,2016,"(0.8009999847412109, 0.654000015258789)"
144908,LeftFoot,OpenPlay,SavedShot,0.009678838774561882,61,0,1,Riccardo Meggiorini,1337,a,Chievo,Fiorentina,Perparim Hetemaj,2016-08-28 22:45:00,950,2016,"(0.7280000305175781, 0.725999984741211)"
144911,Head,OpenPlay,MissedShots,0.11192971467971802,72,0,1,Roberto Inglese,1340,a,Chievo,Fiorentina,Massimo Gobbi,2016-08-28 22:45:00,950,2016,"(0.9490000152587891, 0.49599998474121093)"
144904,RightFoot,OpenPlay,SavedShot,0.4683714807033539,52,0,1,Roberto Inglese,1340,a,Chievo,Fiorentina,Lucas Castro,2016-08-28 22:45:00,950,2016,"(0.919000015258789, 0.549000015258789)"
144899,RightFoot,OpenPlay,MissedShots,0.020046981051564217,34,0,1,Perparim Hetemaj,1334,a,Chievo,Fiorentina,Roberto Inglese,2016-08-28 22:45:00,950,2016,"(0.7630000305175781, 0.6790000152587891)"
144913,RightFoot,OpenPlay,BlockedShot,0.044710855931043625,92,0,1,Lamin Jallow,1623,a,Chievo,Fiorentina,Lucas Castro,2016-08-28 22:45:00,950,2016,"(0.84, 0.48200000762939454)"
144907,RightFoot,OpenPlay,MissedShots,0.08052172511816025,54,0,1,Riccardo Meggiorini,1337,a,Chievo,Fiorentina,Fabrizio Cacciatore,2016-08-28 22:45:00,950,2016,"(0.8569999694824219, 0.580999984741211)"
145402,Head,OpenPlay,BlockedShot,0.02193547785282135,91,1,1,Lucas Castro,1333,h,Chievo,Lazio,Perparim Hetemaj,2016-09-11 17:00:00,954,2016,"(0.875999984741211, 0.46299999237060546)"
145386,Head,SetPiece,SavedShot,0.2204754650592804,15,1,1,Fabrizio Cacciatore,1329,h,Chievo,Lazio,Valter Birsa,2016-09-11 17:00:00,954,2016,"(0.9069999694824219, 0.47299999237060547)"
145393,Head,FromCorner,SavedShot,0.4013364613056183,62,1,1,Alessandro Gamberini,1330,h,Chievo,Lazio,Valter Birsa,2016-09-11 17:00:00,954,2016,"(0.935, 0.5070000076293946)"
145390,Head,FromCorner,Goal,0.4076121747493744,50,1,1,Alessandro Gamberini,1330,h,Chievo,Lazio,Valter Birsa,2016-09-11 17:00:00,954,2016,"(0.9469999694824218, 0.4520000076293945)"
145392,RightFoot,SetPiece,MissedShots,0.5925315022468567,57,1,1,Fabrizio Cacciatore,1329,h,Chievo,Lazio,Riccardo Meggiorini,2016-09-11 17:00:00,954,2016,"(0.9519999694824218, 0.48200000762939454)"
145401,Head,SetPiece,MissedShots,0.3285384476184845,87,1,1,Bostjan Cesar,1572,h,Chievo,Lazio,Jonathan de Guzmán,2016-09-11 17:00:00,954,2016,"(0.919000015258789, 0.48)"
145403,RightFoot,OpenPlay,SavedShot,0.03505599871277809,93,1,1,Lucas Castro,1333,h,Chievo,Lazio,Jonathan de Guzmán,2016-09-11 17:00:00,954,2016,"(0.7780000305175782, 0.5029999923706054)"
146079,Head,OpenPlay,MissedShots,0.07862064242362976,10,2,1,Riccardo Meggiorini,1337,a,Chievo,Udinese,Valter Birsa,2016-09-18 14:30:00,963,2016,"(0.8980000305175782, 0.5579999923706055)"
146102,RightFoot,OpenPlay,MissedShots,0.027750220149755478,89,2,1,Antonio Floro Flores,1338,a,Chievo,Udinese,Jonathan de Guzmán,2016-09-18 14:30:00,963,2016,"(0.845, 0.29700000762939455)"
146099,RightFoot,OpenPlay,BlockedShot,0.10047919303178787,78,2,1,Antonio Floro Flores,1338,a,Chievo,Udinese,Lucas Castro,2016-09-18 14:30:00,963,2016,"(0.914000015258789, 0.5070000076293946)"
146096,RightFoot,DirectFreekick,BlockedShot,0.04192996025085449,73,2,1,Antonio Floro Flores,1338,a,Chievo,Udinese,,2016-09-18 14:30:00,963,2016,"(0.7319999694824219, 0.66)"
146081,RightFoot,OpenPlay,MissedShots,0.012987105175852776,15,2,1,Perparim Hetemaj,1334,a,Chievo,Udinese,Lucas Castro,2016-09-18 14:30:00,963,2016,"(0.6969999694824218, 0.485)"
