,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
144337,RightFoot,OpenPlay,SavedShot,0.027803519740700722,78,0,1,Massimo Maccarone,1315,h,Empoli,Sampdoria,Daniele Croce,2016-08-21 22:45:00,939,2016,"(0.8119999694824219, 0.6990000152587891)"
144333,RightFoot,OpenPlay,MissedShots,0.03671129047870636,62,0,1,Riccardo Saponara,1313,h,Empoli,Sampdoria,Manuel Pasqual,2016-08-21 22:45:00,939,2016,"(0.8690000152587891, 0.6940000152587891)"
144321,RightFoot,OpenPlay,MissedShots,0.05447430908679962,34,0,1,Massimo Maccarone,1315,h,Empoli,Sampdoria,,2016-08-21 22:45:00,939,2016,"(0.8290000152587891, 0.5690000152587891)"
144336,LeftFoot,SetPiece,SavedShot,0.01476418785750866,75,0,1,Rade Krunic,1311,h,Empoli,Sampdoria,,2016-08-21 22:45:00,939,2016,"(0.7680000305175781, 0.6309999847412109)"
144329,Head,OpenPlay,MissedShots,0.07439369708299637,56,0,1,Massimo Maccarone,1315,h,Empoli,Sampdoria,Manuel Pasqual,2016-08-21 22:45:00,939,2016,"(0.9219999694824219, 0.4370000076293945)"
144328,RightFoot,OpenPlay,MissedShots,0.37047386169433594,54,0,1,Manuel Pucciarelli,1318,h,Empoli,Sampdoria,Raffaele Maiello,2016-08-21 22:45:00,939,2016,"(0.8530000305175781, 0.4929999923706055)"
144322,RightFoot,SetPiece,MissedShots,0.05309215188026428,35,0,1,Massimo Maccarone,1315,h,Empoli,Sampdoria,Raffaele Maiello,2016-08-21 22:45:00,939,2016,"(0.9519999694824218, 0.315)"
144335,RightFoot,OpenPlay,SavedShot,0.30310845375061035,67,0,1,Rade Krunic,1311,h,Empoli,Sampdoria,Riccardo Saponara,2016-08-21 22:45:00,939,2016,"(0.885, 0.30700000762939456)"
145070,RightFoot,OpenPlay,BlockedShot,0.021443970501422882,10,0,2,Manuel Pucciarelli,1318,a,Empoli,Udinese,,2016-08-28 22:45:00,947,2016,"(0.7530000305175781, 0.5370000076293945)"
145073,RightFoot,OpenPlay,BlockedShot,0.020366832613945007,25,0,2,Manuel Pucciarelli,1318,a,Empoli,Udinese,,2016-08-28 22:45:00,947,2016,"(0.78, 0.6790000152587891)"
145079,Head,FromCorner,MissedShots,0.06841850280761719,38,0,2,Federico Barba,1320,a,Empoli,Udinese,Federico Dimarco,2016-08-28 22:45:00,947,2016,"(0.91, 0.4540000152587891)"
145078,LeftFoot,OpenPlay,BlockedShot,0.014306226745247841,34,0,2,Federico Dimarco,1324,a,Empoli,Udinese,Manuel Pucciarelli,2016-08-28 22:45:00,947,2016,"(0.7609999847412109, 0.73)"
145077,RightFoot,OpenPlay,ShotOnPost,0.11811740696430206,34,0,2,Riccardo Saponara,1313,a,Empoli,Udinese,Manuel Pucciarelli,2016-08-28 22:45:00,947,2016,"(0.860999984741211, 0.46099998474121096)"
145076,LeftFoot,OpenPlay,SavedShot,0.3602937161922455,33,0,2,Riccardo Saponara,1313,a,Empoli,Udinese,,2016-08-28 22:45:00,947,2016,"(0.9180000305175782, 0.63)"
145075,RightFoot,OpenPlay,SavedShot,0.07291556149721146,31,0,2,Riccardo Saponara,1313,a,Empoli,Udinese,,2016-08-28 22:45:00,947,2016,"(0.8690000152587891, 0.5120000076293946)"
145074,RightFoot,OpenPlay,SavedShot,0.3457384705543518,31,0,2,Riccardo Saponara,1313,a,Empoli,Udinese,Federico Dimarco,2016-08-28 22:45:00,947,2016,"(0.8580000305175781, 0.5640000152587891)"
145072,RightFoot,DirectFreekick,BlockedShot,0.05217495188117027,25,0,2,Riccardo Saponara,1313,a,Empoli,Udinese,,2016-08-28 22:45:00,947,2016,"(0.7340000152587891, 0.5629999923706055)"
145081,LeftFoot,OpenPlay,MissedShots,0.02459908276796341,54,0,2,Marcel Büchel,1325,a,Empoli,Udinese,Federico Dimarco,2016-08-28 22:45:00,947,2016,"(0.885, 0.7969999694824219)"
145082,Head,FromCorner,SavedShot,0.07298307865858078,64,0,2,Alberto Gilardino,1552,a,Empoli,Udinese,Giuseppe Bellusci,2016-08-28 22:45:00,947,2016,"(0.9169999694824219, 0.43400001525878906)"
