,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
144378,Head,OpenPlay,MissedShots,0.0223744697868824,48,2,1,Mario Mandzukic,1295,h,Juventus,Fiorentina,Dani Alves,2016-08-20 22:45:00,932,2016,"(0.8859999847412109, 0.5879999923706055)"
144371,RightFoot,OpenPlay,BlockedShot,0.019649261608719826,24,2,1,Mario Lemina,1299,h,Juventus,Fiorentina,,2016-08-20 22:45:00,932,2016,"(0.7469999694824219, 0.40900001525878904)"
144367,RightFoot,OpenPlay,MissedShots,0.3122931122779846,3,2,1,Sami Khedira,1292,h,Juventus,Fiorentina,,2016-08-20 22:45:00,932,2016,"(0.8859999847412109, 0.345)"
144373,Head,OpenPlay,Goal,0.053589366376399994,36,2,1,Sami Khedira,1292,h,Juventus,Fiorentina,Giorgio Chiellini,2016-08-20 22:45:00,932,2016,"(0.88, 0.544000015258789)"
144383,LeftFoot,OpenPlay,BlockedShot,0.10903532058000565,73,2,1,Sami Khedira,1292,h,Juventus,Fiorentina,Kwadwo Asamoah,2016-08-20 22:45:00,932,2016,"(0.865, 0.5209999847412109)"
144388,RightFoot,OpenPlay,SavedShot,0.025770021602511406,94,2,1,Mario Lemina,1299,h,Juventus,Fiorentina,Alex Sandro,2016-08-20 22:45:00,932,2016,"(0.7569999694824219, 0.43900001525878907)"
144376,LeftFoot,OpenPlay,MissedShots,0.08919738978147507,43,2,1,Alex Sandro,1289,h,Juventus,Fiorentina,Mario Mandzukic,2016-08-20 22:45:00,932,2016,"(0.9019999694824219, 0.6680000305175782)"
144384,LeftFoot,OpenPlay,Goal,0.529222309589386,74,2,1,Gonzalo Higuaín,1293,h,Juventus,Fiorentina,,2016-08-20 22:45:00,932,2016,"(0.9680000305175781, 0.5729999923706055)"
144379,LeftFoot,OpenPlay,MissedShots,0.015331423841416836,49,2,1,Mario Lemina,1299,h,Juventus,Fiorentina,,2016-08-20 22:45:00,932,2016,"(0.7080000305175781, 0.64)"
144386,RightFoot,OpenPlay,SavedShot,0.027227992191910744,81,2,1,Mario Lemina,1299,h,Juventus,Fiorentina,,2016-08-20 22:45:00,932,2016,"(0.764000015258789, 0.519000015258789)"
