,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
144471,RightFoot,OpenPlay,BlockedShot,0.027243293821811676,54,2,2,Dries Mertens,1384,a,Napoli,Pescara,Faouzi Ghoulam,2016-08-21 22:45:00,935,2016,"(0.7919999694824219, 0.6519999694824219)"
144450,RightFoot,OpenPlay,MissedShots,0.019432172179222107,2,2,2,Marek Hamsik,1381,a,Napoli,Pescara,Lorenzo Insigne,2016-08-21 22:45:00,935,2016,"(0.755, 0.620999984741211)"
144464,LeftFoot,DirectFreekick,MissedShots,0.045867666602134705,30,2,2,Faouzi Ghoulam,1387,a,Napoli,Pescara,,2016-08-21 22:45:00,935,2016,"(0.7190000152587891, 0.47299999237060547)"
144467,LeftFoot,OpenPlay,BlockedShot,0.020575620234012604,38,2,2,Manolo Gabbiadini,1383,a,Napoli,Pescara,,2016-08-21 22:45:00,935,2016,"(0.7730000305175782, 0.654000015258789)"
144478,LeftFoot,OpenPlay,SavedShot,0.030474698171019554,81,2,2,Arkadiusz Milik,1583,a,Napoli,Pescara,Dries Mertens,2016-08-21 22:45:00,935,2016,"(0.8469999694824218, 0.720999984741211)"
144479,LeftFoot,OpenPlay,SavedShot,0.08937494456768036,83,2,2,Arkadiusz Milik,1583,a,Napoli,Pescara,Dries Mertens,2016-08-21 22:45:00,935,2016,"(0.8480000305175781, 0.6040000152587891)"
144451,RightFoot,OpenPlay,MissedShots,0.016498887911438942,4,2,2,Lorenzo Insigne,1393,a,Napoli,Pescara,Marek Hamsik,2016-08-21 22:45:00,935,2016,"(0.7830000305175782, 0.720999984741211)"
144457,RightFoot,OpenPlay,MissedShots,0.028967976570129395,11,2,2,Lorenzo Insigne,1393,a,Napoli,Pescara,,2016-08-21 22:45:00,935,2016,"(0.7880000305175782, 0.6090000152587891)"
144466,Head,OpenPlay,MissedShots,0.09439717233181,37,2,2,Lorenzo Insigne,1393,a,Napoli,Pescara,Faouzi Ghoulam,2016-08-21 22:45:00,935,2016,"(0.925, 0.5779999923706055)"
144461,RightFoot,OpenPlay,BlockedShot,0.030463889241218567,19,2,2,Allan,1379,a,Napoli,Pescara,José Callejón,2016-08-21 22:45:00,935,2016,"(0.7869999694824219, 0.46)"
144473,RightFoot,OpenPlay,Goal,0.1384131908416748,59,2,2,Dries Mertens,1384,a,Napoli,Pescara,Mirko Valdifiori,2016-08-21 22:45:00,935,2016,"(0.8569999694824219, 0.6359999847412109)"
144470,RightFoot,FromCorner,MissedShots,0.06075200065970421,51,2,2,Kalidou Koulibaly,1376,a,Napoli,Pescara,Faouzi Ghoulam,2016-08-21 22:45:00,935,2016,"(0.8930000305175781, 0.4620000076293945)"
144477,RightFoot,DirectFreekick,BlockedShot,0.03788630664348602,75,2,2,Dries Mertens,1384,a,Napoli,Pescara,,2016-08-21 22:45:00,935,2016,"(0.73, 0.6909999847412109)"
144474,RightFoot,OpenPlay,Goal,0.5411871671676636,62,2,2,Dries Mertens,1384,a,Napoli,Pescara,,2016-08-21 22:45:00,935,2016,"(0.9359999847412109, 0.534000015258789)"
144468,RightFoot,FromCorner,BlockedShot,0.013863565400242805,44,2,2,Mirko Valdifiori,1184,a,Napoli,Pescara,,2016-08-21 22:45:00,935,2016,"(0.764000015258789, 0.6229999923706054)"
144458,LeftFoot,OpenPlay,BlockedShot,0.050225961953401566,12,2,2,Manolo Gabbiadini,1383,a,Napoli,Pescara,Lorenzo Insigne,2016-08-21 22:45:00,935,2016,"(0.8230000305175781, 0.44599998474121094)"
144456,RightFoot,OpenPlay,MissedShots,0.02601657807826996,10,2,2,José Callejón,1382,a,Napoli,Pescara,Marek Hamsik,2016-08-21 22:45:00,935,2016,"(0.904000015258789, 0.25299999237060544)"
144472,LeftFoot,OpenPlay,BlockedShot,0.0437743179500103,56,2,2,José Callejón,1382,a,Napoli,Pescara,Marek Hamsik,2016-08-21 22:45:00,935,2016,"(0.875, 0.6569999694824219)"
144469,Head,FromCorner,MissedShots,0.04785779118537903,44,2,2,Raúl Albiol,1588,a,Napoli,Pescara,José Callejón,2016-08-21 22:45:00,935,2016,"(0.8909999847412109, 0.5429999923706055)"
144462,RightFoot,OpenPlay,MissedShots,0.01442683581262827,23,2,2,Mirko Valdifiori,1184,a,Napoli,Pescara,,2016-08-21 22:45:00,935,2016,"(0.7219999694824218, 0.5509999847412109)"
144475,RightFoot,OpenPlay,BlockedShot,0.0223670843988657,63,2,2,José Callejón,1382,a,Napoli,Pescara,Marek Hamsik,2016-08-21 22:45:00,935,2016,"(0.7759999847412109, 0.3609999847412109)"
144480,Head,OpenPlay,MissedShots,0.017088888213038445,86,2,2,José Callejón,1382,a,Napoli,Pescara,Elseid Hysaj,2016-08-21 22:45:00,935,2016,"(0.875, 0.5640000152587891)"
144988,RightFoot,DirectFreekick,BlockedShot,0.15378695726394653,61,4,2,Dries Mertens,1384,h,Napoli,AC Milan,,2016-08-27 22:45:00,942,2016,"(0.815, 0.5509999847412109)"
144992,LeftFoot,OpenPlay,Goal,0.9413885474205017,92,4,2,José Callejón,1382,h,Napoli,AC Milan,,2016-08-27 22:45:00,942,2016,"(0.985999984741211, 0.525)"
144987,RightFoot,FromCorner,MissedShots,0.01779884658753872,59,4,2,Jorginho,1389,h,Napoli,AC Milan,,2016-08-27 22:45:00,942,2016,"(0.765, 0.6)"
144991,RightFoot,OpenPlay,Goal,0.5652333498001099,73,4,2,José Callejón,1382,h,Napoli,AC Milan,,2016-08-27 22:45:00,942,2016,"(0.965999984741211, 0.4329999923706055)"
144976,LeftFoot,OpenPlay,BlockedShot,0.07157313823699951,31,4,2,Arkadiusz Milik,1583,h,Napoli,AC Milan,,2016-08-27 22:45:00,942,2016,"(0.9669999694824218, 0.655)"
144986,RightFoot,FromCorner,MissedShots,0.016198353841900826,58,4,2,Jorginho,1389,h,Napoli,AC Milan,,2016-08-27 22:45:00,942,2016,"(0.7580000305175781, 0.624000015258789)"
144977,Head,FromCorner,Goal,0.038070227950811386,32,4,2,Arkadiusz Milik,1583,h,Napoli,AC Milan,José Callejón,2016-08-27 22:45:00,942,2016,"(0.92, 0.54)"
144982,RightFoot,OpenPlay,MissedShots,0.020861225202679634,49,4,2,Jorginho,1389,h,Napoli,AC Milan,,2016-08-27 22:45:00,942,2016,"(0.7669999694824219, 0.3629999923706055)"
144969,LeftFoot,OpenPlay,Goal,0.6497621536254883,17,4,2,Arkadiusz Milik,1583,h,Napoli,AC Milan,,2016-08-27 22:45:00,942,2016,"(0.955999984741211, 0.46799999237060547)"
144979,RightFoot,OpenPlay,BlockedShot,0.08939313888549805,45,4,2,Dries Mertens,1384,h,Napoli,AC Milan,Jorginho,2016-08-27 22:45:00,942,2016,"(0.9059999847412109, 0.7069999694824218)"
144990,RightFoot,OpenPlay,SavedShot,0.036498840898275375,73,4,2,Dries Mertens,1384,h,Napoli,AC Milan,Piotr Zielinski,2016-08-27 22:45:00,942,2016,"(0.8590000152587891, 0.710999984741211)"
144971,RightFoot,OpenPlay,BlockedShot,0.033192407339811325,22,4,2,Faouzi Ghoulam,1387,h,Napoli,AC Milan,Marek Hamsik,2016-08-27 22:45:00,942,2016,"(0.8680000305175781, 0.7530000305175781)"
144972,RightFoot,OpenPlay,SavedShot,0.033147744834423065,26,4,2,Dries Mertens,1384,h,Napoli,AC Milan,Faouzi Ghoulam,2016-08-27 22:45:00,942,2016,"(0.825, 0.725999984741211)"
144973,RightFoot,OpenPlay,BlockedShot,0.02575976774096489,28,4,2,Dries Mertens,1384,h,Napoli,AC Milan,Arkadiusz Milik,2016-08-27 22:45:00,942,2016,"(0.7919999694824219, 0.6730000305175782)"
144974,RightFoot,FromCorner,SavedShot,0.029817264527082443,29,4,2,Jorginho,1389,h,Napoli,AC Milan,Allan,2016-08-27 22:45:00,942,2016,"(0.7630000305175781, 0.6309999847412109)"
144975,RightFoot,OpenPlay,SavedShot,0.0704217180609703,31,4,2,Dries Mertens,1384,h,Napoli,AC Milan,Elseid Hysaj,2016-08-27 22:45:00,942,2016,"(0.850999984741211, 0.34599998474121096)"
144968,RightFoot,OpenPlay,ShotOnPost,0.03940684720873833,17,4,2,Dries Mertens,1384,h,Napoli,AC Milan,Faouzi Ghoulam,2016-08-27 22:45:00,942,2016,"(0.889000015258789, 0.725999984741211)"
145503,RightFoot,OpenPlay,MissedShots,0.029385985806584358,35,3,0,José Callejón,1382,a,Napoli,Palermo,Lorenzo Insigne,2016-09-10 22:45:00,952,2016,"(0.9019999694824219, 0.25299999237060544)"
145513,RightFoot,DirectFreekick,BlockedShot,0.04555376246571541,72,3,0,Dries Mertens,1384,a,Napoli,Palermo,,2016-09-10 22:45:00,952,2016,"(0.7219999694824218, 0.57)"
145509,Head,OpenPlay,Goal,0.5343453288078308,50,3,0,José Callejón,1382,a,Napoli,Palermo,Lorenzo Insigne,2016-09-10 22:45:00,952,2016,"(0.9569999694824218, 0.4570000076293945)"
145515,LeftFoot,OpenPlay,SavedShot,0.4068847894668579,76,3,0,Manolo Gabbiadini,1383,a,Napoli,Palermo,Jorginho,2016-09-10 22:45:00,952,2016,"(0.8830000305175781, 0.629000015258789)"
145512,RightFoot,OpenPlay,Goal,0.09834279119968414,64,3,0,José Callejón,1382,a,Napoli,Palermo,Piotr Zielinski,2016-09-10 22:45:00,952,2016,"(0.8619999694824219, 0.3729999923706055)"
145507,RightFoot,OpenPlay,MissedShots,0.08577907085418701,43,3,0,Piotr Zielinski,1386,a,Napoli,Palermo,José Callejón,2016-09-10 22:45:00,952,2016,"(0.855, 0.425)"
145505,Head,FromCorner,MissedShots,0.011524426750838757,40,3,0,Marek Hamsik,1381,a,Napoli,Palermo,José Callejón,2016-09-10 22:45:00,952,2016,"(0.94, 0.6669999694824219)"
145514,RightFoot,SetPiece,SavedShot,0.012752815149724483,72,3,0,Jorginho,1389,a,Napoli,Palermo,,2016-09-10 22:45:00,952,2016,"(0.725, 0.524000015258789)"
145508,LeftFoot,OpenPlay,Goal,0.10060149431228638,46,3,0,Marek Hamsik,1381,a,Napoli,Palermo,Faouzi Ghoulam,2016-09-10 22:45:00,952,2016,"(0.894000015258789, 0.5159999847412109)"
145504,RightFoot,OpenPlay,MissedShots,0.022929685190320015,39,3,0,Lorenzo Insigne,1393,a,Napoli,Palermo,Raúl Albiol,2016-09-10 22:45:00,952,2016,"(0.7480000305175781, 0.585)"
145497,RightFoot,DirectFreekick,BlockedShot,0.06626608222723007,7,3,0,Lorenzo Insigne,1393,a,Napoli,Palermo,,2016-09-10 22:45:00,952,2016,"(0.7580000305175781, 0.580999984741211)"
145506,LeftFoot,OpenPlay,MissedShots,0.024013355374336243,42,3,0,Arkadiusz Milik,1583,a,Napoli,Palermo,Marek Hamsik,2016-09-10 22:45:00,952,2016,"(0.7480000305175781, 0.5779999923706055)"
145502,LeftFoot,OpenPlay,SavedShot,0.0552777461707592,34,3,0,Arkadiusz Milik,1583,a,Napoli,Palermo,Marek Hamsik,2016-09-10 22:45:00,952,2016,"(0.8080000305175781, 0.539000015258789)"
