,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
935,Pescara,Napoli,1.08269,1.41716,2,2,h,2016-08-21 22:45:00
945,Pescara,Sassuolo,1.45854,0.54343,1,2,a,2016-08-28 22:45:00
958,Pescara,Inter,1.52585,1.70313,1,2,h,2016-09-11 22:45:00
961,Pescara,Lazio,1.21293,3.04807,0,3,a,2016-09-17 20:00:00
976,Pescara,Torino,0.988465,0.628442,0,0,h,2016-09-21 22:45:00
984,Pescara,Genoa,1.09165,0.507435,1,1,a,2016-09-25 17:00:00
990,Pescara,Chievo,0.518031,1.81437,0,2,h,2016-10-01 20:00:00
1001,Pescara,Sampdoria,1.69154,1.6457,1,1,h,2016-10-15 20:00:00
1012,Pescara,Udinese,0.694512,2.33345,1,3,a,2016-10-23 14:30:00
3287,Pescara,Atalanta,0.22903,0.665026,0,1,h,2016-10-26 22:45:00
3294,Pescara,AC Milan,0.736729,1.74004,0,1,a,2016-10-30 18:00:00
2748,Pescara,Empoli,2.53565,2.50908,0,4,h,2016-11-06 15:30:00
2758,Pescara,Juventus,0.895007,1.75422,0,3,a,2016-11-19 23:45:00
2773,Pescara,Roma,1.20343,3.03686,2,3,a,2016-11-27 23:45:00
3070,Pescara,Cagliari,1.43265,0.350794,1,1,h,2016-12-04 18:00:00
3076,Pescara,Crotone,1.0284,1.27078,1,2,a,2016-12-10 21:00:00
3093,Pescara,Bologna,0.26406,3.14833,0,3,h,2016-12-18 18:00:00
3099,Pescara,Palermo,1.17216,0.477089,1,1,a,2016-12-22 23:45:00
3535,Pescara,Napoli,1.25032,3.42773,1,3,a,2017-01-15 18:00:00
3545,Pescara,Sassuolo,2.0633,1.21807,1,3,h,2017-01-22 17:00:00
3551,Pescara,Inter,0.53762,3.12652,0,3,a,2017-01-28 22:45:00
3523,Pescara,Fiorentina,0.430614,0.726305,1,2,h,2017-02-01 22:45:00
3566,Pescara,Lazio,1.82767,3.84448,2,6,h,2017-02-05 14:00:00
3575,Pescara,Torino,0.862941,2.48777,3,5,a,2017-02-12 14:00:00
3586,Pescara,Genoa,2.00611,1.02749,5,0,h,2017-02-19 14:00:00
3597,Pescara,Chievo,0.745747,2.25385,0,2,a,2017-02-26 14:00:00
3610,Pescara,Sampdoria,1.26255,2.58116,1,3,a,2017-03-04 17:00:00
3621,Pescara,Udinese,0.517813,1.50196,1,3,h,2017-03-12 14:00:00
3630,Pescara,Atalanta,0.304392,2.49319,0,3,a,2017-03-19 14:00:00
3639,Pescara,AC Milan,0.909616,2.43524,1,1,h,2017-04-02 14:00:00
3648,Pescara,Empoli,1.9265,0.957,1,1,a,2017-04-08 14:00:00
3657,Pescara,Juventus,0.17753,2.39296,0,2,h,2017-04-15 14:00:00
3670,Pescara,Roma,2.35513,2.85441,1,4,h,2017-04-24 19:45:00
3678,Pescara,Cagliari,1.12404,1.39112,0,1,a,2017-04-30 14:00:00
3685,Pescara,Crotone,0.723682,0.468848,0,1,h,2017-05-07 14:00:00
3699,Pescara,Bologna,0.959527,1.61797,1,3,a,2017-05-14 14:00:00
3708,Pescara,Palermo,1.76092,0.662548,2,0,h,2017-05-22 19:45:00
3719,Pescara,Fiorentina,1.61468,2.34729,2,2,a,2017-05-28 19:45:00
