,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
144476,RightFoot,OpenPlay,MissedShots,0.009123769588768482,73,2,2,Bryan Cristante,1168,h,Pescara,Napoli,,2016-08-21 22:45:00,935,2016,"(0.6379999923706055, 0.34900001525878904)"
144453,LeftFoot,OpenPlay,MissedShots,0.008126704953610897,6,2,2,Cristiano Biraghi,1164,h,Pescara,Napoli,,2016-08-21 22:45:00,935,2016,"(0.6769999694824219, 0.740999984741211)"
144454,RightFoot,OpenPlay,Goal,0.3326054811477661,7,2,2,Ahmed Benali,1166,h,Pescara,Napoli,Valerio Verre,2016-08-21 22:45:00,935,2016,"(0.8580000305175781, 0.5779999923706055)"
144465,LeftFoot,OpenPlay,Goal,0.4645349681377411,34,2,2,Gianluca Caprari,1170,h,Pescara,Napoli,Francesco Zampano,2016-08-21 22:45:00,935,2016,"(0.9119999694824219, 0.47)"
144460,LeftFoot,OpenPlay,MissedShots,0.018996652215719223,17,2,2,Gianluca Caprari,1170,h,Pescara,Napoli,Francesco Zampano,2016-08-21 22:45:00,935,2016,"(0.755, 0.3270000076293945)"
144459,LeftFoot,OpenPlay,BlockedShot,0.05549846589565277,15,2,2,Gianluca Caprari,1170,h,Pescara,Napoli,Francesco Zampano,2016-08-21 22:45:00,935,2016,"(0.8009999847412109, 0.5790000152587891)"
144455,LeftFoot,OpenPlay,SavedShot,0.06584402173757553,9,2,2,Cristiano Biraghi,1164,h,Pescara,Napoli,Bryan Cristante,2016-08-21 22:45:00,935,2016,"(0.925, 0.6719999694824219)"
144452,RightFoot,OpenPlay,BlockedShot,0.03323197737336159,6,2,2,Valerio Verre,1569,h,Pescara,Napoli,,2016-08-21 22:45:00,935,2016,"(0.754000015258789, 0.524000015258789)"
144463,RightFoot,OpenPlay,BlockedShot,0.09499946236610413,26,2,2,Valerio Verre,1569,h,Pescara,Napoli,Ahmed Benali,2016-08-21 22:45:00,935,2016,"(0.845999984741211, 0.49)"
145014,RightFoot,FromCorner,SavedShot,0.013593575917184353,17,1,2,Gastón Brugman,1165,a,Pescara,Sassuolo,Bryan Cristante,2016-08-28 22:45:00,945,2016,"(0.754000015258789, 0.6309999847412109)"
