,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
144423,LeftFoot,OpenPlay,SavedShot,0.08298761397600174,6,1,0,Domenico Berardi,1612,a,Sassuolo,Palermo,Gregoire Defrel,2016-08-21 22:45:00,934,2016,"(0.845, 0.6270000076293946)"
144437,LeftFoot,OpenPlay,BlockedShot,0.05401957035064697,53,1,0,Domenico Berardi,1612,a,Sassuolo,Palermo,Luca Mazzitelli,2016-08-21 22:45:00,934,2016,"(0.855999984741211, 0.325)"
144433,LeftFoot,Penalty,Goal,0.7612988352775574,30,1,0,Domenico Berardi,1612,a,Sassuolo,Palermo,,2016-08-21 22:45:00,934,2016,"(0.885, 0.5)"
144446,LeftFoot,FromCorner,BlockedShot,0.018219973891973495,83,1,0,Domenico Berardi,1612,a,Sassuolo,Palermo,,2016-08-21 22:45:00,934,2016,"(0.85, 0.7559999847412109)"
144431,LeftFoot,DirectFreekick,BlockedShot,0.06994536519050598,29,1,0,Domenico Berardi,1612,a,Sassuolo,Palermo,,2016-08-21 22:45:00,934,2016,"(0.7969999694824219, 0.3129999923706055)"
144445,RightFoot,OpenPlay,SavedShot,0.07198306173086166,82,1,0,Matteo Politano,1473,a,Sassuolo,Palermo,Stefano Sensi,2016-08-21 22:45:00,934,2016,"(0.9359999847412109, 0.30700000762939456)"
144432,LeftFoot,SetPiece,BlockedShot,0.017676107585430145,29,1,0,Domenico Berardi,1612,a,Sassuolo,Palermo,,2016-08-21 22:45:00,934,2016,"(0.8009999847412109, 0.32599998474121095)"
144421,LeftFoot,OpenPlay,BlockedShot,0.08389788120985031,0,1,0,Gregoire Defrel,1468,a,Sassuolo,Palermo,Domenico Berardi,2016-08-21 22:45:00,934,2016,"(0.89, 0.45099998474121095)"
144440,LeftFoot,FromCorner,BlockedShot,0.018628237769007683,62,1,0,Gregoire Defrel,1468,a,Sassuolo,Palermo,Francesco Acerbi,2016-08-21 22:45:00,934,2016,"(0.8219999694824218, 0.4779999923706055)"
144442,LeftFoot,OpenPlay,MissedShots,0.02803979255259037,71,1,0,Gregoire Defrel,1468,a,Sassuolo,Palermo,Stefano Sensi,2016-08-21 22:45:00,934,2016,"(0.794000015258789, 0.715)"
144444,RightFoot,OpenPlay,ShotOnPost,0.03858066350221634,81,1,0,Domenico Berardi,1612,a,Sassuolo,Palermo,Matteo Politano,2016-08-21 22:45:00,934,2016,"(0.8169999694824219, 0.6880000305175781)"
144439,LeftFoot,OpenPlay,SavedShot,0.03365055471658707,56,1,0,Matteo Politano,1473,a,Sassuolo,Palermo,Francesco Magnanelli,2016-08-21 22:45:00,934,2016,"(0.7630000305175781, 0.5790000152587891)"
144426,Head,FromCorner,MissedShots,0.01943637616932392,13,1,0,Luca Mazzitelli,1477,a,Sassuolo,Palermo,Stefano Sensi,2016-08-21 22:45:00,934,2016,"(0.9309999847412109, 0.41200000762939454)"
144422,RightFoot,OpenPlay,MissedShots,0.0363585501909256,1,1,0,Luca Mazzitelli,1477,a,Sassuolo,Palermo,Marcello Gazzola,2016-08-21 22:45:00,934,2016,"(0.860999984741211, 0.2979999923706055)"
144449,RightFoot,FromCorner,BlockedShot,0.03875988721847534,91,1,0,Claud Adjapong,1475,a,Sassuolo,Palermo,Domenico Berardi,2016-08-21 22:45:00,934,2016,"(0.8340000152587891, 0.38)"
144436,LeftFoot,OpenPlay,SavedShot,0.07090646028518677,46,1,0,Matteo Politano,1473,a,Sassuolo,Palermo,Luca Mazzitelli,2016-08-21 22:45:00,934,2016,"(0.855999984741211, 0.62)"
144429,LeftFoot,OpenPlay,SavedShot,0.0317385233938694,24,1,0,Matteo Politano,1473,a,Sassuolo,Palermo,Marcello Gazzola,2016-08-21 22:45:00,934,2016,"(0.9359999847412109, 0.6880000305175781)"
144424,RightFoot,OpenPlay,MissedShots,0.020616110414266586,10,1,0,Stefano Sensi,1465,a,Sassuolo,Palermo,Domenico Berardi,2016-08-21 22:45:00,934,2016,"(0.779000015258789, 0.3270000076293945)"
