,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
172569,Head,SetPiece,MissedShots,0.03259824588894844,91,0,1,Rafael Toloi,1484,h,Atalanta,Roma,Alejandro Gomez,2017-08-20 17:00:00,7501,2017,"(0.875999984741211, 0.5609999847412109)"
172562,RightFoot,OpenPlay,SavedShot,0.06782859563827515,48,0,1,Andrea Petagna,1493,h,Atalanta,Roma,Remo Freuler,2017-08-20 17:00:00,7501,2017,"(0.875999984741211, 0.5359999847412109)"
172557,LeftFoot,OpenPlay,BlockedShot,0.05296328291296959,27,0,1,Andrea Petagna,1493,h,Atalanta,Roma,Alejandro Gomez,2017-08-20 17:00:00,7501,2017,"(0.9130000305175782, 0.7)"
172555,LeftFoot,OpenPlay,SavedShot,0.02120419777929783,24,0,1,Andrea Petagna,1493,h,Atalanta,Roma,Bryan Cristante,2017-08-20 17:00:00,7501,2017,"(0.789000015258789, 0.3)"
172565,LeftFoot,OpenPlay,SavedShot,0.012032530270516872,69,0,1,Josip Ilicic,1426,h,Atalanta,Roma,Alejandro Gomez,2017-08-20 17:00:00,7501,2017,"(0.6880000305175781, 0.34599998474121096)"
172567,LeftFoot,OpenPlay,SavedShot,0.02155059203505516,81,0,1,Josip Ilicic,1426,h,Atalanta,Roma,Marten de Roon,2017-08-20 17:00:00,7501,2017,"(0.7390000152587891, 0.47200000762939454)"
172568,RightFoot,OpenPlay,ShotOnPost,0.7414836287498474,86,0,1,Josip Ilicic,1426,h,Atalanta,Roma,Remo Freuler,2017-08-20 17:00:00,7501,2017,"(0.9819999694824219, 0.45799999237060546)"
172570,LeftFoot,OpenPlay,BlockedShot,0.05616527795791626,94,0,1,Josip Ilicic,1426,h,Atalanta,Roma,Alejandro Gomez,2017-08-20 17:00:00,7501,2017,"(0.875999984741211, 0.3920000076293945)"
172554,LeftFoot,OpenPlay,MissedShots,0.028622211888432503,23,0,1,Robin Gosens,6155,h,Atalanta,Roma,Alejandro Gomez,2017-08-20 17:00:00,7501,2017,"(0.8469999694824218, 0.7240000152587891)"
172561,RightFoot,OpenPlay,MissedShots,0.0128696383908391,42,0,1,Jasmin Kurtic,1492,h,Atalanta,Roma,,2017-08-20 17:00:00,7501,2017,"(0.7290000152587891, 0.355)"
172563,Head,FromCorner,BlockedShot,0.08388981223106384,62,0,1,Andreas Cornelius,6156,h,Atalanta,Roma,Alejandro Gomez,2017-08-20 17:00:00,7501,2017,"(0.9419999694824219, 0.4209999847412109)"
172566,LeftFoot,OpenPlay,MissedShots,0.05104062706232071,70,0,1,Alejandro Gomez,1491,h,Atalanta,Roma,Andreas Cornelius,2017-08-20 17:00:00,7501,2017,"(0.7830000305175782, 0.6329999923706054)"
172560,RightFoot,DirectFreekick,SavedShot,0.08444371819496155,41,0,1,Alejandro Gomez,1491,h,Atalanta,Roma,,2017-08-20 17:00:00,7501,2017,"(0.7709999847412109, 0.524000015258789)"
172550,RightFoot,OpenPlay,SavedShot,0.06519520282745361,3,0,1,Alejandro Gomez,1491,h,Atalanta,Roma,Remo Freuler,2017-08-20 17:00:00,7501,2017,"(0.8290000152587891, 0.5379999923706055)"
172571,LeftFoot,OpenPlay,BlockedShot,0.060838937759399414,94,0,1,Andrea Masiello,1485,h,Atalanta,Roma,,2017-08-20 17:00:00,7501,2017,"(0.86, 0.5820000076293945)"
