,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
7505,Benevento,Sampdoria,1.05409,2.84573,1,2,a,2017-08-20 19:45:00
7515,Benevento,Bologna,0.798588,1.79492,0,1,h,2017-08-26 17:00:00
7520,Benevento,Torino,1.20053,0.999531,0,1,h,2017-09-10 17:00:00
7534,Benevento,Napoli,0.211585,5.46073,0,6,a,2017-09-17 14:00:00
7540,Benevento,Roma,0.717607,2.23834,0,4,h,2017-09-20 17:00:00
7550,Benevento,Crotone,1.97551,1.48495,0,2,a,2017-09-24 14:00:00
7560,Benevento,Inter,1.28824,1.95792,1,2,h,2017-10-01 14:00:00
7573,Benevento,Verona,0.262024,1.23201,0,1,a,2017-10-16 19:45:00
7580,Benevento,Fiorentina,0.182665,2.49371,0,3,h,2017-10-22 14:00:00
7591,Benevento,Cagliari,1.30579,1.89299,1,2,a,2017-10-25 19:45:00
7599,Benevento,Lazio,0.603107,2.92387,1,5,h,2017-10-29 11:30:00
7616,Benevento,Juventus,0.114939,3.09066,1,2,a,2017-11-05 14:00:00
7619,Benevento,Sassuolo,1.11066,2.70254,1,2,h,2017-11-19 14:00:00
7629,Benevento,Atalanta,0.501253,1.56055,0,1,a,2017-11-27 19:45:00
7639,Benevento,AC Milan,1.20398,1.74779,2,2,h,2017-12-03 11:30:00
7658,Benevento,Udinese,1.52222,0.455472,0,2,a,2017-12-10 14:00:00
7660,Benevento,SPAL 2013,1.08334,2.32753,1,2,h,2017-12-17 17:00:00
7671,Benevento,Genoa,0.861192,3.28348,0,1,a,2017-12-23 14:00:00
7680,Benevento,Chievo,0.992802,0.938785,1,0,h,2017-12-30 14:00:00
7696,Benevento,Sampdoria,1.64696,1.02149,3,2,h,2018-01-06 14:00:00
7699,Benevento,Bologna,0.691554,2.22876,0,3,a,2018-01-21 14:00:00
7710,Benevento,Torino,0.241133,2.29504,0,3,a,2018-01-28 14:00:00
7724,Benevento,Napoli,1.06833,2.23408,0,2,h,2018-02-04 19:45:00
7730,Benevento,Roma,0.711119,2.51785,2,5,a,2018-02-11 19:45:00
7742,Benevento,Crotone,1.29928,2.14309,3,2,h,2018-02-18 14:00:00
7757,Benevento,Inter,0.397877,0.8584,0,2,a,2018-02-24 19:45:00
7770,Benevento,Fiorentina,1.20938,1.72033,0,1,a,2018-03-11 11:30:00
7781,Benevento,Cagliari,1.7768,1.76932,1,2,h,2018-03-18 14:00:00
7789,Benevento,Lazio,0.256318,3.7189,2,6,a,2018-03-31 14:00:00
7763,Benevento,Verona,2.85956,0.331417,3,0,h,2018-04-04 16:00:00
7806,Benevento,Juventus,1.87275,2.4609,2,4,h,2018-04-07 13:00:00
7809,Benevento,Sassuolo,1.46303,1.34736,2,2,a,2018-04-15 13:00:00
7819,Benevento,Atalanta,0.744028,3.74372,0,3,h,2018-04-18 16:00:00
7829,Benevento,AC Milan,0.449416,1.07233,1,0,a,2018-04-21 18:45:00
7846,Benevento,Udinese,1.67032,2.76558,3,3,h,2018-04-29 13:00:00
7850,Benevento,SPAL 2013,0.345937,1.83046,0,2,a,2018-05-06 14:00:00
7861,Benevento,Genoa,1.85241,1.07966,1,0,h,2018-05-12 17:00:00
7870,Benevento,Chievo,0.663029,0.744593,0,1,a,2018-05-20 14:00:00
