,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
172575,LeftFoot,OpenPlay,MissedShots,0.012574490159749985,11,1,1,Simone Verdi,1445,h,Bologna,Torino,Andrea Poli,2017-08-20 19:45:00,7502,2017,"(0.71, 0.3659999847412109)"
172590,LeftFoot,OpenPlay,MissedShots,0.057078562676906586,70,1,1,Federico Di Francesco,1449,h,Bologna,Torino,Mattia Destro,2017-08-20 19:45:00,7502,2017,"(0.9480000305175781, 0.6969999694824218)"
172579,LeftFoot,OpenPlay,Goal,0.051292285323143005,26,1,1,Federico Di Francesco,1449,h,Bologna,Torino,Simone Verdi,2017-08-20 19:45:00,7502,2017,"(0.8880000305175781, 0.6370000076293946)"
172577,RightFoot,OpenPlay,ShotOnPost,0.0953768640756607,18,1,1,Federico Di Francesco,1449,h,Bologna,Torino,Vasilis Torosidis,2017-08-20 19:45:00,7502,2017,"(0.9359999847412109, 0.4)"
172574,LeftFoot,OpenPlay,MissedShots,0.03623335063457489,8,1,1,Federico Di Francesco,1449,h,Bologna,Torino,Andrea Poli,2017-08-20 19:45:00,7502,2017,"(0.8690000152587891, 0.62)"
172573,LeftFoot,OpenPlay,BlockedShot,0.09664583951234818,4,1,1,Federico Di Francesco,1449,h,Bologna,Torino,Mattia Destro,2017-08-20 19:45:00,7502,2017,"(0.889000015258789, 0.62)"
172580,LeftFoot,OpenPlay,SavedShot,0.06632795184850693,30,1,1,Simone Verdi,1445,h,Bologna,Torino,Andrea Poli,2017-08-20 19:45:00,7502,2017,"(0.88, 0.3)"
172592,RightFoot,OpenPlay,BlockedShot,0.023449119180440903,90,1,1,Erick Pulgar,1448,h,Bologna,Torino,Ladislav Krejci,2017-08-20 19:45:00,7502,2017,"(0.7880000305175782, 0.62)"
172586,RightFoot,OpenPlay,SavedShot,0.03197086602449417,51,1,1,Mattia Destro,1580,h,Bologna,Torino,Vasilis Torosidis,2017-08-20 19:45:00,7502,2017,"(0.8830000305175781, 0.34299999237060547)"
172593,RightFoot,OpenPlay,BlockedShot,0.022781044244766235,91,1,1,Godfred Donsah,1452,h,Bologna,Torino,Mattia Destro,2017-08-20 19:45:00,7502,2017,"(0.7569999694824219, 0.43900001525878907)"
172587,RightFoot,OpenPlay,BlockedShot,0.01782369427382946,57,1,1,Erick Pulgar,1448,h,Bologna,Torino,,2017-08-20 19:45:00,7502,2017,"(0.7530000305175781, 0.6430000305175781)"
172591,RightFoot,OpenPlay,MissedShots,0.023630421608686447,79,1,1,Federico Di Francesco,1449,h,Bologna,Torino,,2017-08-20 19:45:00,7502,2017,"(0.7780000305175782, 0.624000015258789)"
172578,LeftFoot,OpenPlay,MissedShots,0.033242858946323395,25,1,1,Simone Verdi,1445,h,Bologna,Torino,,2017-08-20 19:45:00,7502,2017,"(0.789000015258789, 0.585)"
172826,LeftFoot,OpenPlay,BlockedShot,0.07839126884937286,9,1,0,Adam Masina,1441,a,Bologna,Benevento,,2017-08-26 17:00:00,7515,2017,"(0.9159999847412109, 0.6179999923706054)"
172851,LeftFoot,OpenPlay,MissedShots,0.027112802490592003,79,1,0,Simone Verdi,1445,a,Bologna,Benevento,Saphir Taïder,2017-08-26 17:00:00,7515,2017,"(0.7780000305175782, 0.655)"
172837,RightFoot,OpenPlay,BlockedShot,0.03702019527554512,48,1,0,Saphir Taïder,1442,a,Bologna,Benevento,Adam Masina,2017-08-26 17:00:00,7515,2017,"(0.835, 0.68)"
172842,RightFoot,OpenPlay,SavedShot,0.07521648705005646,67,1,0,Simone Verdi,1445,a,Bologna,Benevento,Federico Di Francesco,2017-08-26 17:00:00,7515,2017,"(0.8980000305175782, 0.38799999237060545)"
172838,RightFoot,DirectFreekick,BlockedShot,0.05305297672748566,48,1,0,Simone Verdi,1445,a,Bologna,Benevento,,2017-08-26 17:00:00,7515,2017,"(0.7380000305175781, 0.580999984741211)"
172831,LeftFoot,DirectFreekick,SavedShot,0.05383658781647682,32,1,0,Simone Verdi,1445,a,Bologna,Benevento,,2017-08-26 17:00:00,7515,2017,"(0.74, 0.415)"
172840,RightFoot,OpenPlay,Goal,0.12875185906887054,54,1,0,Godfred Donsah,1452,a,Bologna,Benevento,Mattia Destro,2017-08-26 17:00:00,7515,2017,"(0.855, 0.53)"
172829,RightFoot,OpenPlay,MissedShots,0.3669978082180023,29,1,0,Mattia Destro,1580,a,Bologna,Benevento,,2017-08-26 17:00:00,7515,2017,"(0.8959999847412109, 0.41200000762939454)"
172845,RightFoot,OpenPlay,SavedShot,0.016266608610749245,71,1,0,Federico Di Francesco,1449,a,Bologna,Benevento,Saphir Taïder,2017-08-26 17:00:00,7515,2017,"(0.7119999694824218, 0.610999984741211)"
172843,RightFoot,OpenPlay,MissedShots,0.011039328761398792,67,1,0,Godfred Donsah,1452,a,Bologna,Benevento,,2017-08-26 17:00:00,7515,2017,"(0.6990000152587891, 0.3609999847412109)"
172846,OtherBodyPart,FromCorner,MissedShots,0.7909879684448242,72,1,0,Mattia Destro,1580,a,Bologna,Benevento,,2017-08-26 17:00:00,7515,2017,"(0.9669999694824218, 0.515)"
172853,LeftFoot,OpenPlay,MissedShots,0.04345616698265076,92,1,0,Mattia Destro,1580,a,Bologna,Benevento,Simone Verdi,2017-08-26 17:00:00,7515,2017,"(0.899000015258789, 0.6630000305175782)"
172832,Head,FromCorner,MissedShots,0.08281579613685608,33,1,0,Sebastien De Maio,1431,a,Bologna,Benevento,Simone Verdi,2017-08-26 17:00:00,7515,2017,"(0.9530000305175781, 0.5029999923706054)"
172844,RightFoot,OpenPlay,BlockedShot,0.030805645510554314,71,1,0,Mattia Destro,1580,a,Bologna,Benevento,Federico Di Francesco,2017-08-26 17:00:00,7515,2017,"(0.835, 0.2520000076293945)"
173171,LeftFoot,OpenPlay,SavedShot,0.057944364845752716,59,0,3,Mattia Destro,1580,h,Bologna,Napoli,Simone Verdi,2017-09-10 19:45:00,7521,2017,"(0.875, 0.66)"
173163,RightFoot,OpenPlay,MissedShots,0.025504818186163902,18,0,3,Federico Di Francesco,1449,h,Bologna,Napoli,Rodrigo Palacio,2017-09-10 19:45:00,7521,2017,"(0.8490000152587891, 0.32099998474121094)"
