,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
7499,Cagliari,Juventus,1.39829,1.27155,0,3,a,2017-08-19 17:00:00
7513,Cagliari,AC Milan,0.559323,1.42114,1,2,a,2017-08-27 19:45:00
7522,Cagliari,Crotone,1.22886,0.316314,1,0,h,2017-09-10 14:00:00
7537,Cagliari,SPAL 2013,1.09462,0.551736,2,0,a,2017-09-17 14:00:00
7542,Cagliari,Sassuolo,2.25874,2.62921,0,1,h,2017-09-20 19:45:00
7549,Cagliari,Chievo,1.01627,1.41724,0,2,h,2017-09-24 14:00:00
7565,Cagliari,Napoli,0.10693,2.97407,0,3,a,2017-10-01 11:30:00
7570,Cagliari,Genoa,1.2394,1.97903,2,3,h,2017-10-15 14:00:00
7582,Cagliari,Lazio,0.637448,2.06641,0,3,a,2017-10-22 19:45:00
7591,Cagliari,Benevento,1.89299,1.30579,2,1,h,2017-10-25 19:45:00
7607,Cagliari,Torino,0.685883,2.64656,1,2,a,2017-10-29 19:45:00
7611,Cagliari,Verona,2.37656,0.773273,2,1,h,2017-11-05 14:00:00
7628,Cagliari,Udinese,1.14946,0.677196,1,0,a,2017-11-19 14:00:00
7631,Cagliari,Inter,1.1677,1.21177,1,3,h,2017-11-25 19:45:00
7640,Cagliari,Bologna,1.13076,1.20764,1,1,a,2017-12-03 14:00:00
7649,Cagliari,Sampdoria,1.24898,1.65409,2,2,h,2017-12-09 17:00:00
7666,Cagliari,Roma,0.110423,2.50335,0,1,a,2017-12-16 19:45:00
7669,Cagliari,Fiorentina,0.218349,1.90004,0,1,h,2017-12-22 19:45:00
7679,Cagliari,Atalanta,0.892556,2.00238,2,1,a,2017-12-30 14:00:00
7694,Cagliari,Juventus,0.545571,1.48755,0,1,h,2018-01-06 19:45:00
7704,Cagliari,AC Milan,0.79774,1.89107,1,2,h,2018-01-21 17:00:00
7712,Cagliari,Crotone,0.25283,1.44376,1,1,a,2018-01-28 14:00:00
7727,Cagliari,SPAL 2013,1.66604,0.716004,2,0,h,2018-02-04 14:00:00
7732,Cagliari,Sassuolo,0.191184,1.14214,0,0,a,2018-02-11 11:30:00
7739,Cagliari,Chievo,0.593202,0.524853,1,2,a,2018-02-17 17:00:00
7752,Cagliari,Napoli,0.31041,3.09359,0,5,h,2018-02-26 19:45:00
7772,Cagliari,Lazio,1.5722,0.785043,2,2,h,2018-03-11 14:00:00
7781,Cagliari,Benevento,1.76932,1.7768,2,1,a,2018-03-18 14:00:00
7797,Cagliari,Torino,1.26755,2.72771,0,4,h,2018-03-31 17:00:00
7760,Cagliari,Genoa,1.16045,1.00038,1,2,a,2018-04-03 17:30:00
7801,Cagliari,Verona,0.526273,1.00114,0,1,a,2018-04-08 13:00:00
7818,Cagliari,Udinese,1.09001,1.19657,2,1,h,2018-04-14 13:00:00
7821,Cagliari,Inter,0.0,2.35054,0,4,a,2018-04-17 18:45:00
7830,Cagliari,Bologna,1.15356,0.537224,0,0,h,2018-04-22 10:30:00
7839,Cagliari,Sampdoria,1.08402,3.15024,1,4,a,2018-04-29 13:00:00
7856,Cagliari,Roma,1.01318,0.857005,0,1,h,2018-05-06 19:45:00
7859,Cagliari,Fiorentina,2.13128,0.465256,1,0,a,2018-05-13 14:00:00
7869,Cagliari,Atalanta,0.734198,1.25694,1,0,h,2018-05-20 14:00:00
