,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
7507,Chievo,Udinese,0.422866,0.725552,2,1,a,2017-08-20 19:45:00
7516,Chievo,Lazio,0.772094,1.36642,1,2,h,2017-08-27 19:45:00
7525,Chievo,Juventus,0.910665,1.25158,0,3,a,2017-09-09 17:00:00
7529,Chievo,Atalanta,1.23045,1.61081,1,1,h,2017-09-17 17:00:00
7543,Chievo,Genoa,1.29546,0.566572,1,1,a,2017-09-20 19:45:00
7549,Chievo,Cagliari,1.41724,1.01627,2,0,a,2017-09-24 14:00:00
7561,Chievo,Fiorentina,1.14303,1.44549,2,1,h,2017-10-01 14:00:00
7578,Chievo,Sassuolo,0.511616,1.69541,0,0,a,2017-10-15 14:00:00
7581,Chievo,Verona,2.90477,1.33058,3,2,h,2017-10-22 19:30:00
7592,Chievo,AC Milan,0.735034,1.43727,1,4,h,2017-10-25 19:45:00
7605,Chievo,Sampdoria,2.02467,1.98109,1,4,a,2017-10-29 14:00:00
7612,Chievo,Napoli,0.646501,0.707574,0,0,h,2017-11-05 14:00:00
7627,Chievo,Torino,1.38363,2.85934,1,1,a,2017-11-19 14:00:00
7632,Chievo,SPAL 2013,1.69642,0.857429,2,1,h,2017-11-25 17:00:00
7644,Chievo,Inter,0.459896,3.78874,0,5,a,2017-12-03 14:00:00
7650,Chievo,Roma,1.02062,2.50473,0,0,h,2017-12-10 11:30:00
7662,Chievo,Crotone,0.997525,2.22208,0,1,a,2017-12-17 14:00:00
7670,Chievo,Bologna,1.36692,1.37236,2,3,h,2017-12-22 17:00:00
7680,Chievo,Benevento,0.938785,0.992802,0,1,a,2017-12-30 14:00:00
7698,Chievo,Udinese,0.575517,0.457693,1,1,h,2018-01-05 17:00:00
7700,Chievo,Lazio,0.362077,1.16224,1,5,a,2018-01-21 14:00:00
7715,Chievo,Juventus,0.0518957,1.14852,0,2,h,2018-01-28 14:00:00
7719,Chievo,Atalanta,0.200403,2.43411,0,1,a,2018-02-04 14:00:00
7733,Chievo,Genoa,0.278815,0.578237,0,1,h,2018-02-11 14:00:00
7739,Chievo,Cagliari,0.524853,0.593202,2,1,h,2018-02-17 17:00:00
7758,Chievo,Fiorentina,0.275085,1.12385,0,1,a,2018-02-25 14:00:00
7771,Chievo,Verona,0.882338,0.178457,0,1,a,2018-03-10 19:45:00
7782,Chievo,AC Milan,0.899718,3.36508,2,3,a,2018-03-18 14:00:00
7795,Chievo,Sampdoria,0.278412,2.07501,2,1,h,2018-03-31 14:00:00
7768,Chievo,Sassuolo,0.322371,0.678786,1,1,h,2018-04-04 17:30:00
7802,Chievo,Napoli,0.210644,3.83361,1,2,a,2018-04-08 13:00:00
7817,Chievo,Torino,0.55779,0.720502,0,0,h,2018-04-14 16:00:00
7822,Chievo,SPAL 2013,0.59648,0.32401,0,0,a,2018-04-18 18:45:00
7834,Chievo,Inter,1.37033,1.76802,1,2,h,2018-04-22 13:00:00
7840,Chievo,Roma,1.43295,1.67454,1,4,a,2018-04-28 16:00:00
7852,Chievo,Crotone,0.831918,1.06513,2,1,h,2018-05-06 14:00:00
7860,Chievo,Bologna,2.14622,1.70476,2,1,a,2018-05-13 14:00:00
7870,Chievo,Benevento,0.744593,0.663029,1,0,h,2018-05-20 14:00:00
