,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
7506,Genoa,Sassuolo,0.973373,0.448836,0,0,a,2017-08-20 19:45:00
7509,Genoa,Juventus,1.21323,2.13228,2,4,h,2017-08-26 17:00:00
7528,Genoa,Udinese,0.52818,1.48614,0,1,a,2017-09-10 14:00:00
7532,Genoa,Lazio,0.548626,3.11315,2,3,h,2017-09-17 19:45:00
7543,Genoa,Chievo,0.566572,1.29546,1,1,h,2017-09-20 19:45:00
7553,Genoa,Inter,0.829654,0.614281,0,1,a,2017-09-24 14:00:00
7562,Genoa,Bologna,1.5093,0.869953,0,1,h,2017-09-30 19:45:00
7570,Genoa,Cagliari,1.97903,1.2394,3,2,a,2017-10-15 14:00:00
7583,Genoa,AC Milan,0.410308,0.724916,0,0,a,2017-10-22 14:00:00
7594,Genoa,Napoli,1.28272,1.19271,2,3,h,2017-10-25 19:45:00
7606,Genoa,SPAL 2013,1.32901,0.334111,0,1,a,2017-10-29 14:00:00
7614,Genoa,Sampdoria,1.03708,1.68517,0,2,h,2017-11-04 19:45:00
7620,Genoa,Crotone,1.79504,0.28561,1,0,a,2017-11-19 11:30:00
7633,Genoa,Roma,1.1212,1.28891,1,1,h,2017-11-26 14:00:00
7643,Genoa,Verona,1.07147,0.670401,1,0,a,2017-12-04 20:00:00
7651,Genoa,Atalanta,1.30143,1.37392,1,2,h,2017-12-12 18:00:00
7663,Genoa,Fiorentina,0.233872,0.990251,0,0,a,2017-12-17 14:00:00
7671,Genoa,Benevento,3.28348,0.861192,1,0,h,2017-12-23 14:00:00
7688,Genoa,Torino,0.0657217,1.00656,0,0,a,2017-12-30 14:00:00
7697,Genoa,Sassuolo,0.700699,0.831444,1,0,h,2018-01-06 14:00:00
7703,Genoa,Juventus,0.0896265,1.40416,0,1,a,2018-01-22 19:45:00
7718,Genoa,Udinese,1.42125,0.229071,0,1,h,2018-01-28 14:00:00
7722,Genoa,Lazio,0.82567,0.94123,2,1,a,2018-02-05 19:45:00
7733,Genoa,Chievo,0.578237,0.278815,1,0,a,2018-02-11 14:00:00
7745,Genoa,Inter,1.04779,0.887553,2,0,h,2018-02-17 19:45:00
7755,Genoa,Bologna,0.801756,1.7801,0,2,a,2018-02-24 17:00:00
7773,Genoa,AC Milan,0.93351,0.727087,0,1,h,2018-03-11 17:00:00
7784,Genoa,Napoli,1.01145,1.62326,0,1,a,2018-03-18 19:45:00
7796,Genoa,SPAL 2013,2.69081,0.270034,1,1,h,2018-03-31 14:00:00
7760,Genoa,Cagliari,1.00038,1.16045,2,1,h,2018-04-03 17:30:00
7804,Genoa,Sampdoria,0.251177,0.772801,0,0,a,2018-04-07 18:45:00
7810,Genoa,Crotone,1.81263,0.586095,1,0,h,2018-04-14 16:00:00
7823,Genoa,Roma,0.814579,1.8202,1,2,a,2018-04-18 18:45:00
7833,Genoa,Verona,1.5438,1.55144,3,1,h,2018-04-23 18:45:00
7841,Genoa,Atalanta,1.1476,1.56033,1,3,a,2018-04-29 13:00:00
7853,Genoa,Fiorentina,2.27395,1.73002,2,3,h,2018-05-06 14:00:00
7861,Genoa,Benevento,1.07966,1.85241,0,1,a,2018-05-12 17:00:00
7878,Genoa,Torino,1.10457,1.25181,1,2,h,2018-05-20 14:00:00
