,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
7499,Juventus,Cagliari,1.27155,1.39829,3,0,h,2017-08-19 17:00:00
7509,Juventus,Genoa,2.13228,1.21323,4,2,a,2017-08-26 17:00:00
7525,Juventus,Chievo,1.25158,0.910665,3,0,h,2017-09-09 17:00:00
7536,Juventus,Sassuolo,1.07552,1.87483,3,1,a,2017-09-17 11:30:00
7545,Juventus,Fiorentina,1.01003,0.503787,1,0,h,2017-09-20 19:45:00
7554,Juventus,Torino,2.78732,0.205593,4,0,h,2017-09-23 19:45:00
7559,Juventus,Atalanta,3.15377,1.35989,2,2,a,2017-10-01 19:45:00
7575,Juventus,Lazio,2.32779,1.68134,1,2,h,2017-10-14 17:00:00
7588,Juventus,Udinese,1.58883,1.28225,6,2,a,2017-10-22 17:00:00
7596,Juventus,SPAL 2013,1.25151,0.910025,4,1,h,2017-10-25 19:45:00
7602,Juventus,AC Milan,0.463087,1.18528,2,0,a,2017-10-28 17:00:00
7616,Juventus,Benevento,3.09066,0.114939,2,1,h,2017-11-05 14:00:00
7625,Juventus,Sampdoria,1.88477,1.83799,2,3,a,2017-11-19 14:00:00
7634,Juventus,Crotone,2.13806,0.140287,3,0,h,2017-11-26 19:45:00
7645,Juventus,Napoli,0.995708,0.756615,1,0,a,2017-12-01 19:45:00
7652,Juventus,Inter,0.989111,0.282797,0,0,h,2017-12-09 19:45:00
7661,Juventus,Bologna,0.808262,0.254379,3,0,a,2017-12-17 14:00:00
7672,Juventus,Roma,2.30701,1.93896,1,0,h,2017-12-23 19:45:00
7684,Juventus,Verona,1.46511,0.0887547,3,1,a,2017-12-30 19:45:00
7694,Juventus,Cagliari,1.48755,0.545571,1,0,a,2018-01-06 19:45:00
7703,Juventus,Genoa,1.40416,0.0896265,1,0,h,2018-01-22 19:45:00
7715,Juventus,Chievo,1.14852,0.0518957,2,0,a,2018-01-28 14:00:00
7726,Juventus,Sassuolo,2.66331,0.234277,7,0,h,2018-02-04 14:00:00
7735,Juventus,Fiorentina,0.51105,0.847934,2,0,a,2018-02-09 19:45:00
7746,Juventus,Torino,1.72939,0.219651,1,0,a,2018-02-18 11:30:00
7765,Juventus,Lazio,1.026,0.184789,1,0,a,2018-03-03 17:00:00
7778,Juventus,Udinese,2.08894,0.204469,2,0,h,2018-03-11 14:00:00
7756,Juventus,Atalanta,1.66793,0.336917,2,0,h,2018-03-14 17:00:00
7786,Juventus,SPAL 2013,0.899948,0.0622804,0,0,a,2018-03-17 19:45:00
7792,Juventus,AC Milan,0.636791,1.08781,3,1,h,2018-03-31 19:45:00
7806,Juventus,Benevento,2.4609,1.87275,4,2,a,2018-04-07 13:00:00
7815,Juventus,Sampdoria,2.34747,0.809319,3,0,h,2018-04-15 16:00:00
7824,Juventus,Crotone,0.653818,0.514302,1,1,a,2018-04-18 18:45:00
7835,Juventus,Napoli,0.208482,0.996321,0,1,h,2018-04-22 18:45:00
7842,Juventus,Inter,1.35876,0.627335,3,2,a,2018-04-28 18:45:00
7851,Juventus,Bologna,2.03946,1.21966,3,1,h,2018-05-05 19:45:00
7862,Juventus,Roma,0.200458,0.393701,0,0,a,2018-05-13 19:45:00
7874,Juventus,Verona,2.70384,0.338847,2,1,h,2018-05-19 00:00:00
