,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
172572,Head,OpenPlay,MissedShots,0.038008831441402435,1,1,1,Andrea Belotti,1186,a,Torino,Bologna,Davide Zappacosta,2017-08-20 19:45:00,7502,2017,"(0.9169999694824219, 0.39099998474121095)"
172585,LeftFoot,OpenPlay,BlockedShot,0.054803211241960526,49,1,1,Andrea Belotti,1186,a,Torino,Bologna,Adem Ljajic,2017-08-20 19:45:00,7502,2017,"(0.9119999694824219, 0.6990000152587891)"
172589,RightFoot,DirectFreekick,MissedShots,0.040000781416893005,60,1,1,Adem Ljajic,1187,a,Torino,Bologna,,2017-08-20 19:45:00,7502,2017,"(0.71, 0.5790000152587891)"
172584,RightFoot,DirectFreekick,SavedShot,0.06572871655225754,48,1,1,Adem Ljajic,1187,a,Torino,Bologna,,2017-08-20 19:45:00,7502,2017,"(0.7580000305175781, 0.415)"
172588,LeftFoot,OpenPlay,SavedShot,0.02581637166440487,57,1,1,Iago Falque,1185,a,Torino,Bologna,Andrea Belotti,2017-08-20 19:45:00,7502,2017,"(0.815, 0.45799999237060546)"
172583,RightFoot,SetPiece,BlockedShot,0.014445941895246506,45,1,1,Adem Ljajic,1187,a,Torino,Bologna,Iago Falque,2017-08-20 19:45:00,7502,2017,"(0.740999984741211, 0.27399999618530274)"
172582,LeftFoot,OpenPlay,MissedShots,0.024567876011133194,42,1,1,Iago Falque,1185,a,Torino,Bologna,Andrea Belotti,2017-08-20 19:45:00,7502,2017,"(0.765, 0.3820000076293945)"
172581,RightFoot,OpenPlay,Goal,0.033676669001579285,32,1,1,Adem Ljajic,1187,a,Torino,Bologna,Joel Obi,2017-08-20 19:45:00,7502,2017,"(0.764000015258789, 0.49700000762939456)"
172576,RightFoot,OpenPlay,MissedShots,0.017423294484615326,16,1,1,Afriyie Acquah,1192,a,Torino,Bologna,Adem Ljajic,2017-08-20 19:45:00,7502,2017,"(0.735999984741211, 0.46599998474121096)"
173102,RightFoot,OpenPlay,Goal,0.1401497721672058,87,3,0,Joel Obi,1190,h,Torino,Sassuolo,,2017-08-27 17:00:00,7511,2017,"(0.9059999847412109, 0.509000015258789)"
173099,RightFoot,OpenPlay,Goal,0.4005717933177948,83,3,0,Adem Ljajic,1187,h,Torino,Sassuolo,Iago Falque,2017-08-27 17:00:00,7511,2017,"(0.889000015258789, 0.57)"
173098,RightFoot,DirectFreekick,MissedShots,0.0686236023902893,82,3,0,Adem Ljajic,1187,h,Torino,Sassuolo,,2017-08-27 17:00:00,7511,2017,"(0.7980000305175782, 0.6930000305175781)"
173090,RightFoot,OpenPlay,SavedShot,0.08611980080604553,55,3,0,Adem Ljajic,1187,h,Torino,Sassuolo,Tomás Rincón,2017-08-27 17:00:00,7511,2017,"(0.9030000305175782, 0.6719999694824219)"
173072,RightFoot,OpenPlay,SavedShot,0.03939330577850342,7,3,0,Adem Ljajic,1187,h,Torino,Sassuolo,Lorenzo De Silvestri,2017-08-27 17:00:00,7511,2017,"(0.875999984741211, 0.7169999694824218)"
173074,RightFoot,SetPiece,MissedShots,0.09518861770629883,20,3,0,Lorenzo De Silvestri,1193,h,Torino,Sassuolo,Adem Ljajic,2017-08-27 17:00:00,7511,2017,"(0.9059999847412109, 0.4929999923706055)"
173075,RightFoot,FromCorner,MissedShots,0.03406424820423126,23,3,0,Andrea Belotti,1186,h,Torino,Sassuolo,Iago Falque,2017-08-27 17:00:00,7511,2017,"(0.8390000152587891, 0.629000015258789)"
173101,RightFoot,OpenPlay,BlockedShot,0.0983445942401886,87,3,0,Andrea Belotti,1186,h,Torino,Sassuolo,Adem Ljajic,2017-08-27 17:00:00,7511,2017,"(0.9159999847412109, 0.6819999694824219)"
173083,RightFoot,OpenPlay,Goal,0.06564956903457642,43,3,0,Andrea Belotti,1186,h,Torino,Sassuolo,Lorenzo De Silvestri,2017-08-27 17:00:00,7511,2017,"(0.9030000305175782, 0.605999984741211)"
173087,LeftFoot,FromCorner,MissedShots,0.025047676637768745,51,3,0,Tomás Rincón,1099,h,Torino,Sassuolo,Iago Falque,2017-08-27 17:00:00,7511,2017,"(0.8169999694824219, 0.2610000038146973)"
173086,LeftFoot,OpenPlay,BlockedShot,0.03315107896924019,51,3,0,Iago Falque,1185,h,Torino,Sassuolo,Alex Berenguer,2017-08-27 17:00:00,7511,2017,"(0.799000015258789, 0.6659999847412109)"
173096,LeftFoot,OpenPlay,MissedShots,0.0800616443157196,71,3,0,Simone Edera,2010,h,Torino,Sassuolo,Andrea Belotti,2017-08-27 17:00:00,7511,2017,"(0.875999984741211, 0.655)"
173103,RightFoot,OpenPlay,MissedShots,0.06459769606590271,94,3,0,Andrea Belotti,1186,h,Torino,Sassuolo,Joel Obi,2017-08-27 17:00:00,7511,2017,"(0.8090000152587891, 0.41200000762939454)"
173084,RightFoot,OpenPlay,BlockedShot,0.026606924831867218,46,3,0,Alex Berenguer,5091,h,Torino,Sassuolo,Antonio Barreca,2017-08-27 17:00:00,7511,2017,"(0.8340000152587891, 0.785)"
173141,RightFoot,OpenPlay,SavedShot,0.08153244107961655,41,1,0,Andrea Belotti,1186,a,Torino,Benevento,Iago Falque,2017-09-10 17:00:00,7520,2017,"(0.8419999694824218, 0.5629999923706055)"
173152,RightFoot,OpenPlay,BlockedShot,0.0918978601694107,74,1,0,Adem Ljajic,1187,a,Torino,Benevento,Iago Falque,2017-09-10 17:00:00,7520,2017,"(0.855, 0.43099998474121093)"
173142,RightFoot,OpenPlay,SavedShot,0.02759844996035099,41,1,0,Adem Ljajic,1187,a,Torino,Benevento,,2017-09-10 17:00:00,7520,2017,"(0.78, 0.5059999847412109)"
173159,LeftFoot,OpenPlay,Goal,0.36611324548721313,92,1,0,Iago Falque,1185,a,Torino,Benevento,Adem Ljajic,2017-09-10 17:00:00,7520,2017,"(0.9019999694824219, 0.5879999923706055)"
