,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
172800,Head,FromCorner,MissedShots,0.03414636477828026,8,1,2,Bram Nuytinck,6206,h,Udinese,Chievo,Rodrigo de Paul,2017-08-20 19:45:00,7507,2017,"(0.875999984741211, 0.5609999847412109)"
172824,Head,OpenPlay,SavedShot,0.077082060277462,88,1,2,Kevin Lasagna,1903,h,Udinese,Chievo,Jakub Jankto,2017-08-20 19:45:00,7507,2017,"(0.8969999694824219, 0.52)"
172816,Head,OpenPlay,MissedShots,0.07705517113208771,60,1,2,Kevin Lasagna,1903,h,Udinese,Chievo,Giuseppe Pezzella,2017-08-20 19:45:00,7507,2017,"(0.909000015258789, 0.5309999847412109)"
172803,RightFoot,FromCorner,SavedShot,0.04725172743201256,13,1,2,Kevin Lasagna,1903,h,Udinese,Chievo,Cyril Théréau,2017-08-20 19:45:00,7507,2017,"(0.8230000305175781, 0.46900001525878904)"
172799,LeftFoot,OpenPlay,BlockedShot,0.019752632826566696,3,1,2,Kevin Lasagna,1903,h,Udinese,Chievo,Seko Fofana,2017-08-20 19:45:00,7507,2017,"(0.715999984741211, 0.5179999923706055)"
172817,LeftFoot,OpenPlay,BlockedShot,0.023741502314805984,61,1,2,Giuseppe Pezzella,1281,h,Udinese,Chievo,Stipe Perica,2017-08-20 19:45:00,7507,2017,"(0.764000015258789, 0.40099998474121096)"
172813,LeftFoot,FromCorner,MissedShots,0.02036658488214016,52,1,2,Giuseppe Pezzella,1281,h,Udinese,Chievo,Jakub Jankto,2017-08-20 19:45:00,7507,2017,"(0.7069999694824218, 0.4520000076293945)"
172808,RightFoot,OpenPlay,SavedShot,0.026167580857872963,35,1,2,Seko Fofana,1144,h,Udinese,Chievo,Emil Hallfredsson,2017-08-20 19:45:00,7507,2017,"(0.7630000305175781, 0.545)"
172807,Head,SetPiece,MissedShots,0.029131604358553886,29,1,2,Molla Wagué,1159,h,Udinese,Chievo,Jakub Jankto,2017-08-20 19:45:00,7507,2017,"(0.8969999694824219, 0.46099998474121096)"
172801,LeftFoot,OpenPlay,BlockedShot,0.05833808332681656,10,1,2,Rodrigo de Paul,1145,h,Udinese,Chievo,Seko Fofana,2017-08-20 19:45:00,7507,2017,"(0.8690000152587891, 0.3340000152587891)"
172823,LeftFoot,OpenPlay,MissedShots,0.059954382479190826,83,1,2,Kevin Lasagna,1903,h,Udinese,Chievo,Giuseppe Pezzella,2017-08-20 19:45:00,7507,2017,"(0.8669999694824219, 0.5540000152587891)"
172819,LeftFoot,OpenPlay,MissedShots,0.060354966670274734,69,1,2,Kevin Lasagna,1903,h,Udinese,Chievo,,2017-08-20 19:45:00,7507,2017,"(0.8630000305175781, 0.5829999923706055)"
172802,RightFoot,OpenPlay,BlockedShot,0.02812591753900051,10,1,2,Jakub Jankto,1146,h,Udinese,Chievo,,2017-08-20 19:45:00,7507,2017,"(0.8190000152587891, 0.649000015258789)"
172809,RightFoot,OpenPlay,Goal,0.055375535041093826,36,1,2,Cyril Théréau,1147,h,Udinese,Chievo,Rodrigo de Paul,2017-08-20 19:45:00,7507,2017,"(0.8390000152587891, 0.48700000762939455)"
172820,RightFoot,DirectFreekick,BlockedShot,0.05470741167664528,71,1,2,Cyril Théréau,1147,h,Udinese,Chievo,,2017-08-20 19:45:00,7507,2017,"(0.7659999847412109, 0.6759999847412109)"
172822,Head,OpenPlay,BlockedShot,0.029123423621058464,77,1,2,Stipe Perica,1154,h,Udinese,Chievo,Emil Hallfredsson,2017-08-20 19:45:00,7507,2017,"(0.9169999694824219, 0.42400001525878905)"
172825,Head,SetPiece,SavedShot,0.009733910672366619,90,1,2,Gabriele Angella,1088,h,Udinese,Chievo,Jakub Jankto,2017-08-20 19:45:00,7507,2017,"(0.8590000152587891, 0.47200000762939454)"
172821,LeftFoot,OpenPlay,MissedShots,0.01678445003926754,76,1,2,Emil Hallfredsson,1151,h,Udinese,Chievo,Valon Behrami,2017-08-20 19:45:00,7507,2017,"(0.72, 0.48400001525878905)"
173053,RightFoot,OpenPlay,MissedShots,0.014027456752955914,19,2,3,Seko Fofana,1144,a,Udinese,SPAL 2013,Emil Hallfredsson,2017-08-27 19:45:00,7512,2017,"(0.7169999694824218, 0.33599998474121096)"
173050,LeftFoot,OpenPlay,BlockedShot,0.05805186182260513,9,2,3,Kevin Lasagna,1903,a,Udinese,SPAL 2013,,2017-08-27 19:45:00,7512,2017,"(0.95, 0.6719999694824219)"
173051,LeftFoot,OpenPlay,MissedShots,0.05615786835551262,13,2,3,Kevin Lasagna,1903,a,Udinese,SPAL 2013,,2017-08-27 19:45:00,7512,2017,"(0.855999984741211, 0.345)"
173060,LeftFoot,OpenPlay,MissedShots,0.015554474666714668,44,2,3,Samir,1142,a,Udinese,SPAL 2013,Emil Hallfredsson,2017-08-27 19:45:00,7512,2017,"(0.7580000305175781, 0.7519999694824219)"
173068,RightFoot,Penalty,Goal,0.7612988352775574,86,2,3,Cyril Théréau,1147,a,Udinese,SPAL 2013,,2017-08-27 19:45:00,7512,2017,"(0.885, 0.5)"
173052,RightFoot,OpenPlay,MissedShots,0.012445093132555485,16,2,3,Seko Fofana,1144,a,Udinese,SPAL 2013,Gabriele Angella,2017-08-27 19:45:00,7512,2017,"(0.6709999847412109, 0.36700000762939455)"
173058,RightFoot,FromCorner,BlockedShot,0.05314069613814354,35,2,3,Rodrigo de Paul,1145,a,Udinese,SPAL 2013,,2017-08-27 19:45:00,7512,2017,"(0.8390000152587891, 0.5320000076293945)"
173057,RightFoot,OpenPlay,BlockedShot,0.014495769515633583,34,2,3,Rodrigo de Paul,1145,a,Udinese,SPAL 2013,Emil Hallfredsson,2017-08-27 19:45:00,7512,2017,"(0.6909999847412109, 0.485)"
173059,RightFoot,OpenPlay,MissedShots,0.008190317079424858,38,2,3,Rodrigo de Paul,1145,a,Udinese,SPAL 2013,Emil Hallfredsson,2017-08-27 19:45:00,7512,2017,"(0.7180000305175781, 0.2929999923706055)"
173067,RightFoot,OpenPlay,SavedShot,0.016357388347387314,83,2,3,Rodrigo de Paul,1145,a,Udinese,SPAL 2013,Antonin Barak,2017-08-27 19:45:00,7512,2017,"(0.7180000305175781, 0.45799999237060546)"
173065,Head,FromCorner,Goal,0.10118874162435532,71,2,3,Bram Nuytinck,6206,a,Udinese,SPAL 2013,Jakub Jankto,2017-08-27 19:45:00,7512,2017,"(0.9519999694824218, 0.575)"
173346,LeftFoot,OpenPlay,SavedShot,0.04593152925372124,63,1,0,Antonin Barak,6208,h,Udinese,Genoa,,2017-09-10 14:00:00,7528,2017,"(0.899000015258789, 0.7559999847412109)"
173335,Head,OpenPlay,MissedShots,0.0710468590259552,23,1,0,Maxi López,1188,h,Udinese,Genoa,Antonin Barak,2017-09-10 14:00:00,7528,2017,"(0.8819999694824219, 0.45799999237060546)"
173329,RightFoot,OpenPlay,MissedShots,0.022136805579066277,6,1,0,Rodrigo de Paul,1145,h,Udinese,Genoa,Jens Stryger Larsen,2017-09-10 14:00:00,7528,2017,"(0.745999984741211, 0.515)"
173334,RightFoot,SetPiece,Goal,0.4213855266571045,14,1,0,Jakub Jankto,1146,h,Udinese,Genoa,,2017-09-10 14:00:00,7528,2017,"(0.9119999694824219, 0.4209999847412109)"
173340,RightFoot,DirectFreekick,SavedShot,0.07961991429328918,37,1,0,Rodrigo de Paul,1145,h,Udinese,Genoa,,2017-09-10 14:00:00,7528,2017,"(0.7819999694824219, 0.6170000076293946)"
173341,LeftFoot,SetPiece,MissedShots,0.5100621581077576,37,1,0,Jakub Jankto,1146,h,Udinese,Genoa,,2017-09-10 14:00:00,7528,2017,"(0.965999984741211, 0.5820000076293945)"
173333,RightFoot,SetPiece,ShotOnPost,0.055760130286216736,14,1,0,Bram Nuytinck,6206,h,Udinese,Genoa,Kevin Lasagna,2017-09-10 14:00:00,7528,2017,"(0.88, 0.5879999923706055)"
173345,LeftFoot,OpenPlay,SavedShot,0.06629785150289536,48,1,0,Jakub Jankto,1146,h,Udinese,Genoa,Antonin Barak,2017-09-10 14:00:00,7528,2017,"(0.9069999694824219, 0.7030000305175781)"
173344,RightFoot,OpenPlay,SavedShot,0.015291305258870125,47,1,0,Maxi López,1188,h,Udinese,Genoa,,2017-09-10 14:00:00,7528,2017,"(0.7519999694824219, 0.7609999847412109)"
173330,RightFoot,OpenPlay,MissedShots,0.04862711951136589,8,1,0,Antonin Barak,6208,h,Udinese,Genoa,Jakub Jankto,2017-09-10 14:00:00,7528,2017,"(0.825, 0.36900001525878906)"
173328,RightFoot,OpenPlay,BlockedShot,0.032449301332235336,3,1,0,Valon Behrami,570,h,Udinese,Genoa,,2017-09-10 14:00:00,7528,2017,"(0.870999984741211, 0.7440000152587891)"
173338,LeftFoot,OpenPlay,MissedShots,0.04679742082953453,26,1,0,Kevin Lasagna,1903,h,Udinese,Genoa,Antonin Barak,2017-09-10 14:00:00,7528,2017,"(0.795, 0.61)"
173332,LeftFoot,DirectFreekick,BlockedShot,0.05337444692850113,14,1,0,Kevin Lasagna,1903,h,Udinese,Genoa,,2017-09-10 14:00:00,7528,2017,"(0.7869999694824219, 0.27299999237060546)"
173343,RightFoot,OpenPlay,MissedShots,0.08146961778402328,47,1,0,Kevin Lasagna,1903,h,Udinese,Genoa,Maxi López,2017-09-10 14:00:00,7528,2017,"(0.8190000152587891, 0.4620000076293945)"
173460,Head,OpenPlay,MissedShots,0.0736057311296463,66,1,2,Rijad Bajic,6207,a,Udinese,AC Milan,Rodrigo de Paul,2017-09-17 14:00:00,7533,2017,"(0.899000015258789, 0.4640000152587891)"
173448,LeftFoot,OpenPlay,Goal,0.06122931092977524,27,1,2,Kevin Lasagna,1903,a,Udinese,AC Milan,,2017-09-17 14:00:00,7533,2017,"(0.86, 0.5690000152587891)"
173458,RightFoot,OpenPlay,SavedShot,0.06778048723936081,62,1,2,Seko Fofana,1144,a,Udinese,AC Milan,Jens Stryger Larsen,2017-09-17 14:00:00,7533,2017,"(0.955999984741211, 0.33799999237060546)"
