,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
7500,Verona,Napoli,1.39528,2.62234,1,3,h,2017-08-19 19:45:00
7517,Verona,Crotone,0.227079,0.74833,0,0,a,2017-08-27 19:45:00
7523,Verona,Fiorentina,0.953786,2.89134,0,5,h,2017-09-10 14:00:00
7535,Verona,Roma,0.197492,3.67224,0,3,a,2017-09-16 19:45:00
7544,Verona,Sampdoria,0.989514,1.58432,0,0,h,2017-09-20 19:45:00
7552,Verona,Lazio,0.349857,2.15974,0,3,h,2017-09-24 14:00:00
7567,Verona,Torino,3.21572,1.5648,2,2,a,2017-10-01 14:00:00
7573,Verona,Benevento,1.23201,0.262024,1,0,h,2017-10-16 19:45:00
7581,Verona,Chievo,1.33058,2.90477,2,3,a,2017-10-22 19:30:00
7589,Verona,Atalanta,1.41371,2.21406,0,3,a,2017-10-25 17:30:00
7601,Verona,Inter,1.01025,1.11384,1,2,h,2017-10-30 19:45:00
7611,Verona,Cagliari,0.773273,2.37656,1,2,a,2017-11-05 14:00:00
7621,Verona,Bologna,1.72292,1.25314,2,3,h,2017-11-20 19:45:00
7637,Verona,Sassuolo,2.04042,1.15509,2,0,a,2017-11-25 17:00:00
7643,Verona,Genoa,0.670401,1.07147,0,1,h,2017-12-04 20:00:00
7657,Verona,SPAL 2013,2.31724,2.09068,2,2,a,2017-12-10 14:00:00
7664,Verona,AC Milan,1.50276,1.65958,3,0,h,2017-12-17 11:30:00
7678,Verona,Udinese,0.139542,3.52607,0,4,a,2017-12-23 14:00:00
7684,Verona,Juventus,0.0887547,1.46511,1,3,h,2017-12-30 19:45:00
7692,Verona,Napoli,0.143203,2.30418,0,2,a,2018-01-06 14:00:00
7701,Verona,Crotone,1.03468,0.827895,0,3,h,2018-01-21 14:00:00
7713,Verona,Fiorentina,2.05696,1.33588,4,1,a,2018-01-28 14:00:00
7725,Verona,Roma,0.352803,1.78563,0,1,h,2018-02-04 11:30:00
7734,Verona,Sampdoria,0.374815,4.1035,0,2,a,2018-02-11 14:00:00
7744,Verona,Lazio,0.122699,2.118,0,2,a,2018-02-19 19:45:00
7750,Verona,Torino,0.982622,1.06747,2,1,h,2018-02-25 14:00:00
7771,Verona,Chievo,0.178457,0.882338,1,0,h,2018-03-10 19:45:00
7779,Verona,Atalanta,0.300035,3.38236,0,5,h,2018-03-18 14:00:00
7791,Verona,Inter,0.353122,3.15808,0,3,a,2018-03-31 14:00:00
7763,Verona,Benevento,0.331417,2.85956,0,3,a,2018-04-04 16:00:00
7801,Verona,Cagliari,1.00114,0.526273,1,0,h,2018-04-08 13:00:00
7811,Verona,Bologna,0.570592,1.02998,0,2,a,2018-04-15 13:00:00
7827,Verona,Sassuolo,0.394404,1.91147,0,1,h,2018-04-18 18:45:00
7833,Verona,Genoa,1.55144,1.5438,1,3,a,2018-04-23 18:45:00
7847,Verona,SPAL 2013,1.04768,1.27137,1,3,h,2018-04-29 13:00:00
7854,Verona,AC Milan,0.258033,1.18751,1,4,a,2018-05-05 17:00:00
7868,Verona,Udinese,0.799674,2.37498,0,1,h,2018-05-13 14:00:00
7874,Verona,Juventus,0.338847,2.70384,1,2,a,2018-05-19 00:00:00
