,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
220491,Head,FromCorner,MissedShots,0.022348200902342796,75,2,3,Tiemoué Bakayoko,3429,a,AC Milan,Napoli,Giacomo Bonaventura,2018-08-25 21:30:00,9588,2018,"(0.92, 0.43)"
220474,RightFoot,SetPiece,MissedShots,0.14564712345600128,17,2,3,Mateo Musacchio,2495,a,AC Milan,Napoli,Giacomo Bonaventura,2018-08-25 21:30:00,9588,2018,"(0.960999984741211, 0.5359999847412109)"
220484,RightFoot,OpenPlay,Goal,0.07527284324169159,48,2,3,Davide Calabria,1574,a,AC Milan,Napoli,Suso,2018-08-25 21:30:00,9588,2018,"(0.894000015258789, 0.33299999237060546)"
220473,RightFoot,OpenPlay,Goal,0.061996981501579285,14,2,3,Giacomo Bonaventura,1121,a,AC Milan,Napoli,Fabio Borini,2018-08-25 21:30:00,9588,2018,"(0.8819999694824219, 0.590999984741211)"
220498,LeftFoot,OpenPlay,BlockedShot,0.05493280664086342,87,2,3,Gonzalo Higuaín,1293,a,AC Milan,Napoli,,2018-08-25 21:30:00,9588,2018,"(0.8390000152587891, 0.4520000076293945)"
220496,LeftFoot,OpenPlay,MissedShots,0.08567929267883301,86,2,3,Gonzalo Higuaín,1293,a,AC Milan,Napoli,Diego Laxalt,2018-08-25 21:30:00,9588,2018,"(0.8569999694824219, 0.53)"
220479,LeftFoot,OpenPlay,BlockedShot,0.06438085436820984,36,2,3,Fabio Borini,737,a,AC Milan,Napoli,Suso,2018-08-25 21:30:00,9588,2018,"(0.9159999847412109, 0.6969999694824218)"
220490,RightFoot,OpenPlay,MissedShots,0.01087359618395567,69,2,3,Fabio Borini,737,a,AC Milan,Napoli,Giacomo Bonaventura,2018-08-25 21:30:00,9588,2018,"(0.6580000305175782, 0.7130000305175781)"
221296,RightFoot,DirectFreekick,SavedShot,0.03598051518201828,8,2,1,Hakan Calhanoglu,189,h,AC Milan,Roma,,2018-08-31 21:30:00,9597,2018,"(0.7769999694824219, 0.8019999694824219)"
221319,RightFoot,OpenPlay,BlockedShot,0.04868270084261894,87,2,1,Gonzalo Higuaín,1293,h,AC Milan,Roma,Patrick Cutrone,2018-08-31 21:30:00,9597,2018,"(0.8090000152587891, 0.415)"
221317,LeftFoot,OpenPlay,MissedShots,0.03642607480287552,74,2,1,Gonzalo Higuaín,1293,h,AC Milan,Roma,Davide Calabria,2018-08-31 21:30:00,9597,2018,"(0.7859999847412109, 0.45599998474121095)"
221304,RightFoot,FromCorner,MissedShots,0.05798143893480301,28,2,1,Gonzalo Higuaín,1293,h,AC Milan,Roma,Hakan Calhanoglu,2018-08-31 21:30:00,9597,2018,"(0.9030000305175782, 0.425)"
221299,RightFoot,OpenPlay,SavedShot,0.0495898574590683,16,2,1,Gonzalo Higuaín,1293,h,AC Milan,Roma,Hakan Calhanoglu,2018-08-31 21:30:00,9597,2018,"(0.835999984741211, 0.655)"
221297,RightFoot,OpenPlay,BlockedShot,0.02002284675836563,15,2,1,Gonzalo Higuaín,1293,h,AC Milan,Roma,Hakan Calhanoglu,2018-08-31 21:30:00,9597,2018,"(0.7440000152587891, 0.52)"
221307,RightFoot,OpenPlay,Goal,0.49554571509361267,39,2,1,Franck Kessié,1489,h,AC Milan,Roma,Ricardo Rodríguez,2018-08-31 21:30:00,9597,2018,"(0.9669999694824218, 0.43900001525878907)"
221325,Head,FromCorner,SavedShot,0.013868032954633236,93,2,1,Patrick Cutrone,4918,h,AC Milan,Roma,Suso,2018-08-31 21:30:00,9597,2018,"(0.91, 0.5940000152587891)"
221321,RightFoot,OpenPlay,BlockedShot,0.014268177561461926,90,2,1,Franck Kessié,1489,h,AC Milan,Roma,Alessio Romagnoli,2018-08-31 21:30:00,9597,2018,"(0.6840000152587891, 0.509000015258789)"
221295,LeftFoot,OpenPlay,BlockedShot,0.018719786778092384,4,2,1,Suso,1129,h,AC Milan,Roma,,2018-08-31 21:30:00,9597,2018,"(0.7759999847412109, 0.33599998474121096)"
221303,LeftFoot,OpenPlay,SavedShot,0.01769229769706726,27,2,1,Suso,1129,h,AC Milan,Roma,Hakan Calhanoglu,2018-08-31 21:30:00,9597,2018,"(0.74, 0.345)"
221316,RightFoot,OpenPlay,SavedShot,0.08008968830108643,71,2,1,Suso,1129,h,AC Milan,Roma,,2018-08-31 21:30:00,9597,2018,"(0.9319999694824219, 0.31)"
221318,LeftFoot,FromCorner,SavedShot,0.028036925941705704,84,2,1,Suso,1129,h,AC Milan,Roma,Samu Castillejo,2018-08-31 21:30:00,9597,2018,"(0.905, 0.7440000152587891)"
221320,LeftFoot,OpenPlay,MissedShots,0.02025550790131092,87,2,1,Suso,1129,h,AC Milan,Roma,Lucas Biglia,2018-08-31 21:30:00,9597,2018,"(0.7440000152587891, 0.345)"
221323,LeftFoot,OpenPlay,MissedShots,0.023051680997014046,90,2,1,Patrick Cutrone,4918,h,AC Milan,Roma,,2018-08-31 21:30:00,9597,2018,"(0.8730000305175781, 0.7380000305175781)"
221308,RightFoot,OpenPlay,MissedShots,0.02566922828555107,45,2,1,Ricardo Rodríguez,308,h,AC Milan,Roma,Hakan Calhanoglu,2018-08-31 21:30:00,9597,2018,"(0.8069999694824219, 0.7480000305175781)"
221315,RightFoot,OpenPlay,SavedShot,0.03299291804432869,68,2,1,Ricardo Rodríguez,308,h,AC Milan,Roma,Giacomo Bonaventura,2018-08-31 21:30:00,9597,2018,"(0.86, 0.7269999694824218)"
