,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
220898,RightFoot,FromCorner,Goal,0.610419750213623,41,6,1,Gerson,1258,h,Fiorentina,Chievo,,2018-08-26 21:30:00,9592,2018,"(0.9690000152587891, 0.5420000076293945)"
220894,RightFoot,OpenPlay,SavedShot,0.14940473437309265,40,6,1,Giovanni Simeone,1102,h,Fiorentina,Chievo,,2018-08-26 21:30:00,9592,2018,"(0.9130000305175782, 0.4520000076293945)"
220887,RightFoot,OpenPlay,Goal,0.011609086766839027,7,6,1,Nikola Milenkovic,6174,h,Fiorentina,Chievo,,2018-08-26 21:30:00,9592,2018,"(0.7580000305175781, 0.38599998474121094)"
220896,LeftFoot,FromCorner,SavedShot,0.14935137331485748,41,6,1,Giovanni Simeone,1102,h,Fiorentina,Chievo,Cristiano Biraghi,2018-08-26 21:30:00,9592,2018,"(0.965999984741211, 0.509000015258789)"
220900,RightFoot,OpenPlay,BlockedShot,0.08551126718521118,44,6,1,Giovanni Simeone,1102,h,Fiorentina,Chievo,Marco Benassi,2018-08-26 21:30:00,9592,2018,"(0.8209999847412109, 0.435)"
220913,RightFoot,OpenPlay,Goal,0.4766327440738678,92,6,1,Giovanni Simeone,1102,h,Fiorentina,Chievo,Valentin Eysseric,2018-08-26 21:30:00,9592,2018,"(0.8959999847412109, 0.5920000076293945)"
220908,RightFoot,OpenPlay,SavedShot,0.050827596336603165,68,6,1,Gerson,1258,h,Fiorentina,Chievo,Giovanni Simeone,2018-08-26 21:30:00,9592,2018,"(0.8219999694824218, 0.629000015258789)"
220901,LeftFoot,OpenPlay,BlockedShot,0.10547130554914474,45,6,1,Gerson,1258,h,Fiorentina,Chievo,Valentin Eysseric,2018-08-26 21:30:00,9592,2018,"(0.86, 0.6040000152587891)"
220897,RightFoot,FromCorner,BlockedShot,0.12324237078428268,41,6,1,Germán Pezzella,2143,h,Fiorentina,Chievo,,2018-08-26 21:30:00,9592,2018,"(0.9619999694824218, 0.47400001525878904)"
220895,Head,FromCorner,MissedShots,0.030319711193442345,41,6,1,Vitor Hugo,6171,h,Fiorentina,Chievo,Cristiano Biraghi,2018-08-26 21:30:00,9592,2018,"(0.8859999847412109, 0.5570000076293945)"
220906,LeftFoot,OpenPlay,MissedShots,0.019429514184594154,62,6,1,Cristiano Biraghi,1164,h,Fiorentina,Chievo,Gerson,2018-08-26 21:30:00,9592,2018,"(0.7169999694824218, 0.6680000305175782)"
220885,RightFoot,FromCorner,SavedShot,0.01941561885178089,4,6,1,Federico Chiesa,1433,h,Fiorentina,Chievo,Valentin Eysseric,2018-08-26 21:30:00,9592,2018,"(0.775, 0.7)"
220884,RightFoot,OpenPlay,MissedShots,0.016352929174900055,2,6,1,Marco Benassi,1183,h,Fiorentina,Chievo,,2018-08-26 21:30:00,9592,2018,"(0.7369999694824219, 0.5209999847412109)"
220886,RightFoot,OpenPlay,SavedShot,0.06253375113010406,7,6,1,Marco Benassi,1183,h,Fiorentina,Chievo,Giovanni Simeone,2018-08-26 21:30:00,9592,2018,"(0.889000015258789, 0.3139999961853027)"
220903,Head,OpenPlay,Goal,0.05804920196533203,48,6,1,Marco Benassi,1183,h,Fiorentina,Chievo,Giovanni Simeone,2018-08-26 21:30:00,9592,2018,"(0.915, 0.5690000152587891)"
220912,LeftFoot,OpenPlay,Goal,0.08904499560594559,89,6,1,Marco Benassi,1183,h,Fiorentina,Chievo,Cristiano Biraghi,2018-08-26 21:30:00,9592,2018,"(0.9069999694824219, 0.3160000038146973)"
220892,RightFoot,OpenPlay,MissedShots,0.02090143971145153,36,6,1,Edimilson Fernandes,1673,h,Fiorentina,Chievo,,2018-08-26 21:30:00,9592,2018,"(0.7480000305175781, 0.5329999923706055)"
220910,RightFoot,OpenPlay,Goal,0.4573318362236023,70,6,1,Federico Chiesa,1433,h,Fiorentina,Chievo,Gerson,2018-08-26 21:30:00,9592,2018,"(0.9030000305175782, 0.3920000076293945)"
220891,LeftFoot,OpenPlay,BlockedShot,0.08274655789136887,36,6,1,Federico Chiesa,1433,h,Fiorentina,Chievo,Giovanni Simeone,2018-08-26 21:30:00,9592,2018,"(0.8959999847412109, 0.47200000762939454)"
220905,RightFoot,OpenPlay,MissedShots,0.5868311524391174,60,6,1,Federico Chiesa,1433,h,Fiorentina,Chievo,Cristiano Biraghi,2018-08-26 21:30:00,9592,2018,"(0.95, 0.5159999847412109)"
220899,RightFoot,OpenPlay,MissedShots,0.018037207424640656,42,6,1,Federico Chiesa,1433,h,Fiorentina,Chievo,Valentin Eysseric,2018-08-26 21:30:00,9592,2018,"(0.7240000152587891, 0.4640000152587891)"
220893,RightFoot,OpenPlay,BlockedShot,0.13658039271831512,40,6,1,Federico Chiesa,1433,h,Fiorentina,Chievo,Giovanni Simeone,2018-08-26 21:30:00,9592,2018,"(0.8930000305175781, 0.62)"
222402,RightFoot,OpenPlay,SavedShot,0.045965708792209625,89,1,0,Federico Chiesa,1433,h,Fiorentina,Udinese,Bryan Dabo,2018-09-02 16:00:00,9600,2018,"(0.784000015258789, 0.4779999923706055)"
222389,RightFoot,DirectFreekick,MissedShots,0.04642440378665924,23,1,0,Valentin Eysseric,3515,h,Fiorentina,Udinese,,2018-09-02 16:00:00,9600,2018,"(0.7440000152587891, 0.6630000305175782)"
222403,RightFoot,OpenPlay,BlockedShot,0.33818188309669495,92,1,0,Bryan Dabo,3340,h,Fiorentina,Udinese,Marko Pjaca,2018-09-02 16:00:00,9600,2018,"(0.845999984741211, 0.5159999847412109)"
222388,Head,OpenPlay,MissedShots,0.01882289908826351,14,1,0,Nikola Milenkovic,6174,h,Fiorentina,Udinese,Cristiano Biraghi,2018-09-02 16:00:00,9600,2018,"(0.855, 0.4370000076293945)"
222398,LeftFoot,OpenPlay,SavedShot,0.32833436131477356,58,1,0,Marco Benassi,1183,h,Fiorentina,Udinese,Valentin Eysseric,2018-09-02 16:00:00,9600,2018,"(0.860999984741211, 0.445)"
222396,Head,FromCorner,MissedShots,0.012715867720544338,48,1,0,Gerson,1258,h,Fiorentina,Udinese,Valentin Eysseric,2018-09-02 16:00:00,9600,2018,"(0.9740000152587891, 0.6140000152587891)"
222394,LeftFoot,OpenPlay,MissedShots,0.014789171516895294,44,1,0,Gerson,1258,h,Fiorentina,Udinese,Federico Chiesa,2018-09-02 16:00:00,9600,2018,"(0.705999984741211, 0.5540000152587891)"
222393,Head,FromCorner,MissedShots,0.013868150301277637,40,1,0,Germán Pezzella,2143,h,Fiorentina,Udinese,Cristiano Biraghi,2018-09-02 16:00:00,9600,2018,"(0.894000015258789, 0.4279999923706055)"
222395,RightFoot,SetPiece,MissedShots,0.07791978865861893,47,1,0,Vitor Hugo,6171,h,Fiorentina,Udinese,Gerson,2018-09-02 16:00:00,9600,2018,"(0.8880000305175781, 0.5729999923706055)"
222391,RightFoot,OpenPlay,MissedShots,0.0896991491317749,27,1,0,Cristiano Biraghi,1164,h,Fiorentina,Udinese,Valentin Eysseric,2018-09-02 16:00:00,9600,2018,"(0.88, 0.5790000152587891)"
222399,RightFoot,OpenPlay,MissedShots,0.03682991862297058,63,1,0,Cristiano Biraghi,1164,h,Fiorentina,Udinese,Gerson,2018-09-02 16:00:00,9600,2018,"(0.794000015258789, 0.5420000076293945)"
222397,RightFoot,FromCorner,BlockedShot,0.014657877385616302,55,1,0,Federico Chiesa,1433,h,Fiorentina,Udinese,,2018-09-02 16:00:00,9600,2018,"(0.7340000152587891, 0.59)"
222404,RightFoot,OpenPlay,MissedShots,0.01585310511291027,92,1,0,Federico Chiesa,1433,h,Fiorentina,Udinese,,2018-09-02 16:00:00,9600,2018,"(0.745999984741211, 0.645)"
222400,RightFoot,OpenPlay,Goal,0.05442805215716362,72,1,0,Marco Benassi,1183,h,Fiorentina,Udinese,Federico Chiesa,2018-09-02 16:00:00,9600,2018,"(0.94, 0.32599998474121095)"
223726,LeftFoot,OpenPlay,MissedShots,0.014735514298081398,40,0,1,Federico Chiesa,1433,a,Fiorentina,Napoli,,2018-09-15 16:00:00,9613,2018,"(0.7169999694824218, 0.544000015258789)"
223731,Head,OpenPlay,MissedShots,0.034743525087833405,56,0,1,Valentin Eysseric,3515,a,Fiorentina,Napoli,Federico Chiesa,2018-09-15 16:00:00,9613,2018,"(0.909000015258789, 0.595)"
223716,RightFoot,OpenPlay,SavedShot,0.013276888057589531,10,0,1,Valentin Eysseric,3515,a,Fiorentina,Napoli,Gerson,2018-09-15 16:00:00,9613,2018,"(0.7, 0.575)"
223715,Head,OpenPlay,MissedShots,0.05154075101017952,9,0,1,Marco Benassi,1183,a,Fiorentina,Napoli,Cristiano Biraghi,2018-09-15 16:00:00,9613,2018,"(0.8809999847412109, 0.485)"
223735,RightFoot,OpenPlay,BlockedShot,0.02327243611216545,66,0,1,Federico Chiesa,1433,a,Fiorentina,Napoli,Valentin Eysseric,2018-09-15 16:00:00,9613,2018,"(0.795, 0.7069999694824218)"
223736,RightFoot,OpenPlay,BlockedShot,0.024418149143457413,66,0,1,Edimilson Fernandes,1673,a,Fiorentina,Napoli,Federico Chiesa,2018-09-15 16:00:00,9613,2018,"(0.7780000305175782, 0.34)"
223714,LeftFoot,OpenPlay,BlockedShot,0.04014133661985397,5,0,1,Gerson,1258,a,Fiorentina,Napoli,Federico Chiesa,2018-09-15 16:00:00,9613,2018,"(0.749000015258789, 0.5770000076293945)"
223722,RightFoot,OpenPlay,BlockedShot,0.09789824485778809,28,0,1,Marco Benassi,1183,a,Fiorentina,Napoli,Valentin Eysseric,2018-09-15 16:00:00,9613,2018,"(0.894000015258789, 0.37200000762939456)"
223725,RightFoot,OpenPlay,MissedShots,0.0466623418033123,38,0,1,Federico Chiesa,1433,a,Fiorentina,Napoli,,2018-09-15 16:00:00,9613,2018,"(0.8109999847412109, 0.5970000076293945)"
224630,RightFoot,OpenPlay,BlockedShot,0.06890292465686798,74,1,1,Marco Benassi,1183,a,Fiorentina,Sampdoria,,2018-09-19 17:00:00,9580,2018,"(0.85, 0.4759999847412109)"
224611,Head,FromCorner,MissedShots,0.43262457847595215,1,1,1,Giovanni Simeone,1102,a,Fiorentina,Sampdoria,Germán Pezzella,2018-09-19 17:00:00,9580,2018,"(0.9619999694824218, 0.46)"
224622,RightFoot,OpenPlay,SavedShot,0.11879203468561172,32,1,1,Marko Pjaca,1577,a,Fiorentina,Sampdoria,Federico Chiesa,2018-09-19 17:00:00,9580,2018,"(0.8680000305175781, 0.485)"
224621,RightFoot,OpenPlay,MissedShots,0.05276446044445038,30,1,1,Marko Pjaca,1577,a,Fiorentina,Sampdoria,Jordan Veretout,2018-09-19 17:00:00,9580,2018,"(0.845, 0.674000015258789)"
224612,RightFoot,OpenPlay,SavedShot,0.3146536648273468,5,1,1,Giovanni Simeone,1102,a,Fiorentina,Sampdoria,,2018-09-19 17:00:00,9580,2018,"(0.855999984741211, 0.3770000076293945)"
224618,Head,OpenPlay,MissedShots,0.1223558709025383,23,1,1,Marko Pjaca,1577,a,Fiorentina,Sampdoria,Federico Chiesa,2018-09-19 17:00:00,9580,2018,"(0.91, 0.5259999847412109)"
224616,Head,OpenPlay,SavedShot,0.05645732581615448,19,1,1,Marko Pjaca,1577,a,Fiorentina,Sampdoria,Federico Chiesa,2018-09-19 17:00:00,9580,2018,"(0.9619999694824218, 0.590999984741211)"
224615,Head,OpenPlay,Goal,0.2584172189235687,12,1,1,Giovanni Simeone,1102,a,Fiorentina,Sampdoria,Cristiano Biraghi,2018-09-19 17:00:00,9580,2018,"(0.9059999847412109, 0.48900001525878906)"
224627,RightFoot,OpenPlay,SavedShot,0.029480624943971634,48,1,1,Giovanni Simeone,1102,a,Fiorentina,Sampdoria,,2018-09-19 17:00:00,9580,2018,"(0.759000015258789, 0.605999984741211)"
224619,LeftFoot,OpenPlay,SavedShot,0.04341229796409607,24,1,1,Cristiano Biraghi,1164,a,Fiorentina,Sampdoria,Giovanni Simeone,2018-09-19 17:00:00,9580,2018,"(0.7680000305175781, 0.634000015258789)"
224623,Head,FromCorner,SavedShot,0.10682743787765503,32,1,1,Germán Pezzella,2143,a,Fiorentina,Sampdoria,Jordan Veretout,2018-09-19 17:00:00,9580,2018,"(0.9230000305175782, 0.5120000076293946)"
224633,RightFoot,OpenPlay,MissedShots,0.0237631443887949,86,1,1,Kevin Mirallas,595,a,Fiorentina,Sampdoria,Jordan Veretout,2018-09-19 17:00:00,9580,2018,"(0.76, 0.5329999923706055)"
224631,Head,SetPiece,SavedShot,0.04630982503294945,78,1,1,Nikola Milenkovic,6174,a,Fiorentina,Sampdoria,Jordan Veretout,2018-09-19 17:00:00,9580,2018,"(0.9059999847412109, 0.515)"
224635,RightFoot,OpenPlay,SavedShot,0.013042798265814781,92,1,1,Nikola Milenkovic,6174,a,Fiorentina,Sampdoria,Marco Benassi,2018-09-19 17:00:00,9580,2018,"(0.6969999694824218, 0.5570000076293945)"
224624,RightFoot,OpenPlay,MissedShots,0.0195419043302536,34,1,1,Federico Chiesa,1433,a,Fiorentina,Sampdoria,Marko Pjaca,2018-09-19 17:00:00,9580,2018,"(0.774000015258789, 0.6270000076293946)"
225328,RightFoot,OpenPlay,MissedShots,0.08276989310979843,94,3,0,Giovanni Simeone,1102,h,Fiorentina,SPAL 2013,,2018-09-22 16:00:00,9619,2018,"(0.845, 0.5459999847412109)"
225326,Head,FromCorner,MissedShots,0.021707186475396156,81,3,0,Giovanni Simeone,1102,h,Fiorentina,SPAL 2013,Kevin Mirallas,2018-09-22 16:00:00,9619,2018,"(0.8859999847412109, 0.605999984741211)"
225310,LeftFoot,OpenPlay,MissedShots,0.01579415425658226,19,3,0,Gerson,1258,h,Fiorentina,SPAL 2013,Federico Chiesa,2018-09-22 16:00:00,9619,2018,"(0.6969999694824218, 0.5129999923706055)"
