,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
9586,Frosinone,Atalanta,0.348766,2.66879,0,4,a,2018-08-20 21:30:00
9593,Frosinone,Bologna,1.77944,0.924593,0,0,h,2018-08-26 21:30:00
9601,Frosinone,Lazio,0.491729,2.8529,0,1,a,2018-09-02 18:30:00
9609,Frosinone,Sampdoria,0.413989,2.54241,0,5,h,2018-09-15 18:30:00
9620,Frosinone,Juventus,0.0629851,2.91794,0,2,h,2018-09-23 18:30:00
9634,Frosinone,Roma,0.48896,2.53238,0,4,a,2018-09-26 19:00:00
9643,Frosinone,Genoa,1.28871,1.08662,1,2,h,2018-09-30 13:00:00
9655,Frosinone,Torino,1.94032,1.91949,2,3,a,2018-10-05 18:30:00
9660,Frosinone,Empoli,1.04742,1.19042,3,3,h,2018-10-21 10:30:00
9674,Frosinone,SPAL 2013,1.35734,0.725282,3,0,a,2018-10-28 13:00:00
9684,Frosinone,Parma Calcio 1913,0.424829,0.584377,0,0,a,2018-11-04 14:00:00
9690,Frosinone,Fiorentina,0.687012,2.17002,1,1,h,2018-11-09 19:30:00
9701,Frosinone,Inter,0.196243,2.90785,0,3,a,2018-11-24 19:30:00
9710,Frosinone,Cagliari,1.68906,1.8301,1,1,h,2018-12-02 14:00:00
9720,Frosinone,Napoli,0.26732,2.43939,0,4,a,2018-12-08 14:00:00
9732,Frosinone,Sassuolo,0.415045,1.17748,0,2,h,2018-12-16 14:00:00
9742,Frosinone,Udinese,1.22269,0.369281,1,1,a,2018-12-22 14:00:00
9751,Frosinone,AC Milan,0.800634,1.66252,0,0,h,2018-12-26 11:30:00
9757,Frosinone,Chievo,0.631157,1.03445,0,1,a,2018-12-29 14:00:00
9769,Frosinone,Atalanta,0.570805,2.5448,0,5,h,2019-01-20 11:30:00
9783,Frosinone,Bologna,1.58053,0.817511,4,0,a,2019-01-27 14:00:00
9791,Frosinone,Lazio,1.30235,1.17247,0,1,h,2019-02-04 18:00:00
9804,Frosinone,Sampdoria,1.01039,0.550312,1,0,a,2019-02-10 14:00:00
9812,Frosinone,Juventus,0.632819,2.08342,0,3,a,2019-02-15 19:30:00
9820,Frosinone,Roma,1.66099,2.30167,2,3,h,2019-02-23 19:30:00
9833,Frosinone,Genoa,0.160647,0.857275,0,0,a,2019-03-03 14:00:00
9840,Frosinone,Torino,1.10791,0.878122,1,2,h,2019-03-10 14:00:00
9849,Frosinone,Empoli,1.33238,2.33732,1,2,a,2019-03-17 14:00:00
9860,Frosinone,SPAL 2013,1.01961,0.230282,0,1,h,2019-03-31 13:00:00
9870,Frosinone,Parma Calcio 1913,1.95659,2.02283,3,2,h,2019-04-03 20:00:00
9879,Frosinone,Fiorentina,0.733348,1.33491,1,0,a,2019-04-07 11:30:00
9890,Frosinone,Inter,0.789702,3.70567,1,3,h,2019-04-14 19:30:00
9898,Frosinone,Cagliari,0.848619,1.648,0,1,a,2019-04-20 14:00:00
9916,Frosinone,Napoli,1.34557,2.27846,0,2,h,2019-04-28 11:30:00
9920,Frosinone,Sassuolo,0.624983,2.06277,2,2,a,2019-05-05 14:00:00
9934,Frosinone,Udinese,1.64928,2.53456,1,3,h,2019-05-12 14:00:00
9942,Frosinone,AC Milan,1.66205,1.67301,0,2,a,2019-05-19 16:00:00
9951,Frosinone,Chievo,0.56103,0.0239835,0,0,h,2019-05-25 13:00:00
