,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
218902,RightFoot,OpenPlay,ShotOnPost,0.051027581095695496,10,0,4,Camillo Ciano,7015,a,Frosinone,Atalanta,Cristian Molinaro,2018-08-20 21:30:00,9586,2018,"(0.8190000152587891, 0.4129999923706055)"
218912,LeftFoot,OpenPlay,MissedShots,0.019895164296030998,49,0,4,Emil Hallfredsson,1151,a,Frosinone,Atalanta,,2018-08-20 21:30:00,9586,2018,"(0.7730000305175782, 0.425)"
218914,RightFoot,OpenPlay,MissedShots,0.12441844493150711,53,0,4,Francesco Zampano,1161,a,Frosinone,Atalanta,,2018-08-20 21:30:00,9586,2018,"(0.73, 0.09899999618530274)"
218917,RightFoot,OpenPlay,MissedShots,0.09154275059700012,65,0,4,Stipe Perica,1154,a,Frosinone,Atalanta,Francesco Zampano,2018-08-20 21:30:00,9586,2018,"(0.8930000305175781, 0.365)"
218910,LeftFoot,DirectFreekick,MissedShots,0.04488847777247429,41,0,4,Camillo Ciano,7015,a,Frosinone,Atalanta,,2018-08-20 21:30:00,9586,2018,"(0.754000015258789, 0.2989999961853027)"
218919,RightFoot,OpenPlay,MissedShots,0.016994060948491096,76,0,4,Stipe Perica,1154,a,Frosinone,Atalanta,Emil Hallfredsson,2018-08-20 21:30:00,9586,2018,"(0.7430000305175781, 0.6129999923706054)"
220937,RightFoot,OpenPlay,MissedShots,0.6199477314949036,73,0,0,Raman Chibsah,1872,h,Frosinone,Bologna,Joel Campbell,2018-08-26 21:30:00,9593,2018,"(0.965, 0.47900001525878905)"
220926,LeftFoot,OpenPlay,MissedShots,0.1097147986292839,39,0,0,Camillo Ciano,7015,h,Frosinone,Bologna,Francesco Zampano,2018-08-26 21:30:00,9593,2018,"(0.8669999694824219, 0.5370000076293945)"
220928,RightFoot,OpenPlay,SavedShot,0.006923962384462357,46,0,0,Raman Chibsah,1872,h,Frosinone,Bologna,,2018-08-26 21:30:00,9593,2018,"(0.6869999694824219, 0.32799999237060545)"
220929,LeftFoot,OpenPlay,SavedShot,0.08128947019577026,47,0,0,Stipe Perica,1154,h,Frosinone,Bologna,Luka Krajnc,2018-08-26 21:30:00,9593,2018,"(0.8909999847412109, 0.5579999923706055)"
220924,Head,FromCorner,MissedShots,0.06518230587244034,28,0,0,Bartosz Salamon,1398,h,Frosinone,Bologna,Camillo Ciano,2018-08-26 21:30:00,9593,2018,"(0.965, 0.5929999923706055)"
220936,RightFoot,OpenPlay,BlockedShot,0.04209489747881889,73,0,0,Stipe Perica,1154,h,Frosinone,Bologna,Cristian Molinaro,2018-08-26 21:30:00,9593,2018,"(0.805, 0.5940000152587891)"
220923,RightFoot,OpenPlay,BlockedShot,0.10868587344884872,28,0,0,Stipe Perica,1154,h,Frosinone,Bologna,Camillo Ciano,2018-08-26 21:30:00,9593,2018,"(0.91, 0.33599998474121096)"
220933,Head,FromCorner,SavedShot,0.0831575095653534,58,0,0,Bartosz Salamon,1398,h,Frosinone,Bologna,Camillo Ciano,2018-08-26 21:30:00,9593,2018,"(0.92, 0.549000015258789)"
