,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
9582,Parma Calcio 1913,Udinese,1.55455,1.99515,2,2,h,2018-08-19 21:30:00
9589,Parma Calcio 1913,SPAL 2013,0.153916,1.40818,0,1,a,2018-08-26 19:00:00
9599,Parma Calcio 1913,Juventus,1.9062,2.18413,1,2,h,2018-09-01 18:30:00
9611,Parma Calcio 1913,Inter,0.297443,1.38542,1,0,a,2018-09-15 13:00:00
9623,Parma Calcio 1913,Cagliari,2.04058,0.719329,2,0,h,2018-09-22 13:00:00
9633,Parma Calcio 1913,Napoli,0.0851875,2.8594,0,3,a,2018-09-26 19:00:00
9645,Parma Calcio 1913,Empoli,0.645086,1.44541,1,0,h,2018-09-30 16:00:00
9650,Parma Calcio 1913,Genoa,1.16016,1.53225,3,1,a,2018-10-07 10:30:00
9662,Parma Calcio 1913,Lazio,0.251094,2.86321,0,2,h,2018-10-21 13:00:00
9667,Parma Calcio 1913,Atalanta,1.37628,2.98455,0,3,a,2018-10-27 13:00:00
9684,Parma Calcio 1913,Frosinone,0.584377,0.424829,0,0,h,2018-11-04 14:00:00
9695,Parma Calcio 1913,Torino,1.60323,2.33892,2,1,a,2018-11-10 14:00:00
9705,Parma Calcio 1913,Sassuolo,2.2135,1.51949,2,1,h,2018-11-25 11:30:00
9711,Parma Calcio 1913,AC Milan,1.25109,1.35263,1,2,a,2018-12-02 11:30:00
9721,Parma Calcio 1913,Chievo,1.57211,1.48362,1,1,h,2018-12-09 14:00:00
9735,Parma Calcio 1913,Sampdoria,0.711571,1.7167,0,2,a,2018-12-16 14:00:00
9740,Parma Calcio 1913,Bologna,0.777805,0.265885,0,0,h,2018-12-22 14:00:00
9750,Parma Calcio 1913,Fiorentina,0.477527,1.48953,1,0,a,2018-12-26 14:00:00
9764,Parma Calcio 1913,Roma,0.478268,1.71801,0,2,h,2018-12-29 14:00:00
9776,Parma Calcio 1913,Udinese,2.41069,1.46714,2,1,a,2019-01-19 17:00:00
9778,Parma Calcio 1913,SPAL 2013,2.66999,1.97486,2,3,h,2019-01-27 14:00:00
9794,Parma Calcio 1913,Juventus,1.17447,2.16129,3,3,a,2019-02-02 19:30:00
9803,Parma Calcio 1913,Inter,0.466673,1.89919,0,1,h,2019-02-09 19:30:00
9808,Parma Calcio 1913,Cagliari,0.407584,2.21399,1,2,a,2019-02-16 17:00:00
9823,Parma Calcio 1913,Napoli,0.443775,1.40926,0,4,h,2019-02-24 17:00:00
9832,Parma Calcio 1913,Empoli,1.87782,2.5259,3,3,a,2019-03-02 14:00:00
9843,Parma Calcio 1913,Genoa,1.50516,0.59585,1,0,h,2019-03-09 17:00:00
9851,Parma Calcio 1913,Lazio,0.362156,1.76513,1,4,a,2019-03-17 14:00:00
9863,Parma Calcio 1913,Atalanta,0.989022,3.88951,1,3,h,2019-03-31 11:30:00
9870,Parma Calcio 1913,Frosinone,2.02283,1.95659,2,3,a,2019-04-03 20:00:00
9883,Parma Calcio 1913,Torino,0.760063,0.856189,0,0,h,2019-04-06 14:00:00
9894,Parma Calcio 1913,Sassuolo,0.828516,1.25421,0,0,a,2019-04-14 14:00:00
9904,Parma Calcio 1913,AC Milan,0.830287,0.800929,1,1,h,2019-04-20 11:30:00
9914,Parma Calcio 1913,Chievo,0.459969,0.897173,1,1,a,2019-04-28 14:00:00
9926,Parma Calcio 1913,Sampdoria,2.4778,2.77584,3,3,h,2019-05-05 14:00:00
9931,Parma Calcio 1913,Bologna,0.572389,1.84615,1,4,a,2019-05-13 18:00:00
9943,Parma Calcio 1913,Fiorentina,0.610095,1.28249,1,0,h,2019-05-19 13:00:00
9953,Parma Calcio 1913,Roma,1.08938,1.72281,1,2,a,2019-05-26 18:30:00
