,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
218783,Head,SetPiece,BlockedShot,0.061754144728183746,75,2,2,Luca Rigoni,1101,h,Parma Calcio 1913,Udinese,Leo Stulac,2018-08-19 21:30:00,9582,2018,"(0.945, 0.519000015258789)"
218763,RightFoot,OpenPlay,BlockedShot,0.06718996912240982,13,2,2,Antonio Di Gaudio,1905,h,Parma Calcio 1913,Udinese,Roberto Inglese,2018-08-19 21:30:00,9582,2018,"(0.91, 0.3240000152587891)"
218762,RightFoot,OpenPlay,SavedShot,0.06849037110805511,10,2,2,Antonio Di Gaudio,1905,h,Parma Calcio 1913,Udinese,,2018-08-19 21:30:00,9582,2018,"(0.8490000152587891, 0.48)"
218770,Head,OpenPlay,SavedShot,0.0670362040400505,38,2,2,Alberto Grassi,1504,h,Parma Calcio 1913,Udinese,Antonino Barillà,2018-08-19 21:30:00,9582,2018,"(0.8869999694824219, 0.46)"
218768,RightFoot,FromCorner,MissedShots,0.0311684999614954,30,2,2,Alberto Grassi,1504,h,Parma Calcio 1913,Udinese,Luca Siligardi,2018-08-19 21:30:00,9582,2018,"(0.9080000305175782, 0.27399999618530274)"
218771,LeftFoot,OpenPlay,Goal,0.0936155691742897,42,2,2,Roberto Inglese,1340,h,Parma Calcio 1913,Udinese,Antonio Di Gaudio,2018-08-19 21:30:00,9582,2018,"(0.905, 0.6309999847412109)"
218760,RightFoot,OpenPlay,BlockedShot,0.11487024277448654,0,2,2,Roberto Inglese,1340,h,Parma Calcio 1913,Udinese,Antonio Di Gaudio,2018-08-19 21:30:00,9582,2018,"(0.9130000305175782, 0.6129999923706054)"
218774,LeftFoot,OpenPlay,MissedShots,0.09414062649011612,52,2,2,Massimo Gobbi,1332,h,Parma Calcio 1913,Udinese,,2018-08-19 21:30:00,9582,2018,"(0.8859999847412109, 0.610999984741211)"
218776,RightFoot,OpenPlay,Goal,0.9562867879867554,58,2,2,Antonino Barillà,6990,h,Parma Calcio 1913,Udinese,,2018-08-19 21:30:00,9582,2018,"(0.96, 0.4540000152587891)"
220772,RightFoot,DirectFreekick,BlockedShot,0.03748537600040436,32,0,1,Bruno Alves,1399,a,Parma Calcio 1913,SPAL 2013,,2018-08-26 19:00:00,9589,2018,"(0.6990000152587891, 0.5359999847412109)"
220770,LeftFoot,OpenPlay,MissedShots,0.013633252121508121,27,0,1,Antonino Barillà,6990,a,Parma Calcio 1913,SPAL 2013,Massimo Gobbi,2018-08-26 19:00:00,9589,2018,"(0.7, 0.7669999694824219)"
220778,Head,FromCorner,MissedShots,0.049771249294281006,54,0,1,Roberto Inglese,1340,a,Parma Calcio 1913,SPAL 2013,Leo Stulac,2018-08-26 19:00:00,9589,2018,"(0.9680000305175781, 0.5770000076293945)"
220782,RightFoot,OpenPlay,MissedShots,0.053025972098112106,77,0,1,Alessio Da Cruz,6994,a,Parma Calcio 1913,SPAL 2013,Simone Iacoponi,2018-08-26 19:00:00,9589,2018,"(0.9069999694824219, 0.3290000152587891)"
222098,RightFoot,OpenPlay,BlockedShot,0.025512468069791794,76,1,2,Alessandro Deiola,1634,h,Parma Calcio 1913,Juventus,,2018-09-01 18:30:00,9599,2018,"(0.7440000152587891, 0.4209999847412109)"
222080,Head,OpenPlay,MissedShots,0.2995641827583313,32,1,2,Roberto Inglese,1340,h,Parma Calcio 1913,Juventus,Massimo Gobbi,2018-09-01 18:30:00,9599,2018,"(0.9630000305175781, 0.580999984741211)"
