,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
218636,LeftFoot,OpenPlay,ShotOnPost,0.11358582973480225,17,1,0,Aleksandar Kolarov,621,a,Roma,Torino,Edin Dzeko,2018-08-19 19:00:00,9579,2018,"(0.9790000152587891, 0.6909999847412109)"
218659,LeftFoot,OpenPlay,Goal,0.025777915492653847,88,1,0,Edin Dzeko,1253,a,Roma,Torino,Justin Kluivert,2018-08-19 19:00:00,9579,2018,"(0.905, 0.7030000305175781)"
218655,Head,SetPiece,ShotOnPost,0.060154207050800323,79,1,0,Edin Dzeko,1253,a,Roma,Torino,Aleksandar Kolarov,2018-08-19 19:00:00,9579,2018,"(0.9259999847412109, 0.5420000076293945)"
218652,Head,OpenPlay,SavedShot,0.2975063920021057,70,1,0,Edin Dzeko,1253,a,Roma,Torino,Daniele De Rossi,2018-08-19 19:00:00,9579,2018,"(0.9330000305175781, 0.4229999923706055)"
218648,RightFoot,FromCorner,BlockedShot,0.02342407964169979,62,1,0,Edin Dzeko,1253,a,Roma,Torino,Javier Pastore,2018-08-19 19:00:00,9579,2018,"(0.8009999847412109, 0.74)"
218643,RightFoot,OpenPlay,MissedShots,0.05596590414643288,40,1,0,Edin Dzeko,1253,a,Roma,Torino,Javier Pastore,2018-08-19 19:00:00,9579,2018,"(0.8069999694824219, 0.49900001525878906)"
218637,RightFoot,OpenPlay,BlockedShot,0.05826401337981224,19,1,0,Edin Dzeko,1253,a,Roma,Torino,Kevin Strootman,2018-08-19 19:00:00,9579,2018,"(0.9130000305175782, 0.315)"
218638,RightFoot,OpenPlay,ShotOnPost,0.0455453135073185,19,1,0,Edin Dzeko,1253,a,Roma,Torino,,2018-08-19 19:00:00,9579,2018,"(0.975, 0.3189999961853027)"
218635,RightFoot,OpenPlay,BlockedShot,0.13150061666965485,16,1,0,Javier Pastore,3295,a,Roma,Torino,Alessandro Florenzi,2018-08-19 19:00:00,9579,2018,"(0.8980000305175782, 0.47)"
218653,RightFoot,OpenPlay,BlockedShot,0.10396099090576172,72,1,0,Javier Pastore,3295,a,Roma,Torino,Justin Kluivert,2018-08-19 19:00:00,9579,2018,"(0.8769999694824219, 0.5929999923706055)"
218649,RightFoot,FromCorner,SavedShot,0.037426985800266266,64,1,0,Cengiz Ünder,6162,a,Roma,Torino,Edin Dzeko,2018-08-19 19:00:00,9579,2018,"(0.915, 0.3170000076293945)"
218650,LeftFoot,OpenPlay,MissedShots,0.02342555671930313,65,1,0,Cengiz Ünder,6162,a,Roma,Torino,Daniele De Rossi,2018-08-19 19:00:00,9579,2018,"(0.77, 0.34)"
218647,LeftFoot,FromCorner,MissedShots,0.016224652528762817,55,1,0,Stephan El Shaarawy,1252,a,Roma,Torino,,2018-08-19 19:00:00,9579,2018,"(0.86, 0.7180000305175781)"
