,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
221025,RightFoot,FromCorner,BlockedShot,0.05638197064399719,90,0,1,Albin Ekdal,411,a,Sampdoria,Udinese,Dawid Kownacki,2018-08-26 21:30:00,9590,2018,"(0.9380000305175781, 0.35400001525878905)"
221013,LeftFoot,OpenPlay,ShotOnPost,0.03351794183254242,51,0,1,Gregoire Defrel,1468,a,Sampdoria,Udinese,Fabio Quagliarella,2018-08-26 21:30:00,9590,2018,"(0.845999984741211, 0.3139999961853027)"
221024,LeftFoot,OpenPlay,BlockedShot,0.019738655537366867,88,0,1,Nicola Murru,1400,a,Sampdoria,Udinese,,2018-08-26 21:30:00,9590,2018,"(0.7609999847412109, 0.5979999923706054)"
221008,LeftFoot,OpenPlay,MissedShots,0.02035346068441868,31,0,1,Jakub Jankto,1146,a,Sampdoria,Udinese,Fabio Quagliarella,2018-08-26 21:30:00,9590,2018,"(0.7440000152587891, 0.44599998474121094)"
221019,Head,FromCorner,SavedShot,0.03874015808105469,83,0,1,Joachim Andersen,6314,a,Sampdoria,Udinese,Edgar Barreto,2018-08-26 21:30:00,9590,2018,"(0.8880000305175781, 0.46)"
221023,RightFoot,FromCorner,MissedShots,0.06481239199638367,87,0,1,Dawid Kownacki,6190,a,Sampdoria,Udinese,Riccardo Saponara,2018-08-26 21:30:00,9590,2018,"(0.9030000305175782, 0.445)"
221003,RightFoot,OpenPlay,MissedShots,0.02653137408196926,16,0,1,Fabio Quagliarella,1230,a,Sampdoria,Udinese,,2018-08-26 21:30:00,9590,2018,"(0.785, 0.6179999923706054)"
221015,RightFoot,OpenPlay,BlockedShot,0.05843689292669296,70,0,1,Riccardo Saponara,1313,a,Sampdoria,Udinese,,2018-08-26 21:30:00,9590,2018,"(0.84, 0.47400001525878904)"
221017,RightFoot,OpenPlay,MissedShots,0.056116797029972076,76,0,1,Dawid Kownacki,6190,a,Sampdoria,Udinese,,2018-08-26 21:30:00,9590,2018,"(0.8469999694824218, 0.57)"
221016,RightFoot,OpenPlay,SavedShot,0.05453413724899292,70,0,1,Bartosz Bereszynski,4907,a,Sampdoria,Udinese,Gregoire Defrel,2018-08-26 21:30:00,9590,2018,"(0.9130000305175782, 0.29700000762939455)"
221026,RightFoot,FromCorner,BlockedShot,0.019168056547641754,91,0,1,Karol Linetty,1226,a,Sampdoria,Udinese,,2018-08-26 21:30:00,9590,2018,"(0.765, 0.45)"
221020,RightFoot,OpenPlay,SavedShot,0.02239646017551422,84,0,1,Karol Linetty,1226,a,Sampdoria,Udinese,Gregoire Defrel,2018-08-26 21:30:00,9590,2018,"(0.7809999847412109, 0.6759999847412109)"
221018,LeftFoot,OpenPlay,MissedShots,0.026790985837578773,78,0,1,Karol Linetty,1226,a,Sampdoria,Udinese,Riccardo Saponara,2018-08-26 21:30:00,9590,2018,"(0.7819999694824219, 0.645)"
221021,RightFoot,FromCorner,BlockedShot,0.022560205310583115,84,0,1,Riccardo Saponara,1313,a,Sampdoria,Udinese,Karol Linetty,2018-08-26 21:30:00,9590,2018,"(0.769000015258789, 0.6580000305175782)"
221022,RightFoot,DirectFreekick,BlockedShot,0.06550510227680206,86,0,1,Edgar Barreto,1225,a,Sampdoria,Udinese,,2018-08-26 21:30:00,9590,2018,"(0.754000015258789, 0.43900001525878907)"
222579,RightFoot,OpenPlay,BlockedShot,0.03589152544736862,20,3,0,Riccardo Saponara,1313,h,Sampdoria,Napoli,Edgar Barreto,2018-09-02 18:30:00,9604,2018,"(0.765, 0.48)"
222599,RightFoot,OpenPlay,MissedShots,0.02519657276570797,81,3,0,Karol Linetty,1226,h,Sampdoria,Napoli,Gastón Ramírez,2018-09-02 18:30:00,9604,2018,"(0.7269999694824218, 0.5979999923706054)"
222584,Head,FromCorner,MissedShots,0.017556922510266304,38,3,0,Joachim Andersen,6314,h,Sampdoria,Napoli,Edgar Barreto,2018-09-02 18:30:00,9604,2018,"(0.8580000305175781, 0.49900001525878906)"
222582,LeftFoot,OpenPlay,Goal,0.45075055956840515,31,3,0,Gregoire Defrel,1468,h,Sampdoria,Napoli,Fabio Quagliarella,2018-09-02 18:30:00,9604,2018,"(0.9159999847412109, 0.56)"
222577,RightFoot,OpenPlay,Goal,0.08651378005743027,10,3,0,Gregoire Defrel,1468,h,Sampdoria,Napoli,Riccardo Saponara,2018-09-02 18:30:00,9604,2018,"(0.799000015258789, 0.37599998474121094)"
222601,RightFoot,OpenPlay,BlockedShot,0.033301979303359985,86,3,0,Fabio Quagliarella,1230,h,Sampdoria,Napoli,Karol Linetty,2018-09-02 18:30:00,9604,2018,"(0.725, 0.48900001525878906)"
222597,RightFoot,SetPiece,MissedShots,0.009020115248858929,77,3,0,Jacopo Sala,1221,h,Sampdoria,Napoli,,2018-09-02 18:30:00,9604,2018,"(0.7290000152587891, 0.705)"
222596,RightFoot,SetPiece,Goal,0.07811600714921951,74,3,0,Fabio Quagliarella,1230,h,Sampdoria,Napoli,Bartosz Bereszynski,2018-09-02 18:30:00,9604,2018,"(0.9, 0.4420000076293945)"
222578,RightFoot,OpenPlay,MissedShots,0.09334305673837662,18,3,0,Fabio Quagliarella,1230,h,Sampdoria,Napoli,Nicola Murru,2018-09-02 18:30:00,9604,2018,"(0.8369999694824218, 0.5259999847412109)"
223917,RightFoot,OpenPlay,SavedShot,0.008213063701987267,14,5,0,Fabio Quagliarella,1230,a,Sampdoria,Frosinone,Gianluca Caprari,2018-09-15 18:30:00,9609,2018,"(0.525, 0.455)"
223933,LeftFoot,OpenPlay,MissedShots,0.023644432425498962,88,5,0,Karol Linetty,1226,a,Sampdoria,Frosinone,Dawid Kownacki,2018-09-15 18:30:00,9609,2018,"(0.7969999694824219, 0.7269999694824218)"
223915,RightFoot,OpenPlay,Goal,0.6184647083282471,9,5,0,Fabio Quagliarella,1230,a,Sampdoria,Frosinone,Edgar Barreto,2018-09-15 18:30:00,9609,2018,"(0.9530000305175781, 0.54)"
223929,Head,FromCorner,MissedShots,0.025100672617554665,66,5,0,Omar Colley,7096,a,Sampdoria,Frosinone,Gastón Ramírez,2018-09-15 18:30:00,9609,2018,"(0.904000015258789, 0.5120000076293946)"
223932,RightFoot,OpenPlay,Goal,0.6991849541664124,85,5,0,Gregoire Defrel,1468,a,Sampdoria,Frosinone,Gastón Ramírez,2018-09-15 18:30:00,9609,2018,"(0.9519999694824218, 0.4929999923706055)"
223930,RightFoot,OpenPlay,SavedShot,0.057154275476932526,68,5,0,Gregoire Defrel,1468,a,Sampdoria,Frosinone,Bartosz Bereszynski,2018-09-15 18:30:00,9609,2018,"(0.97, 0.26399999618530273)"
223926,LeftFoot,OpenPlay,Goal,0.1105978861451149,53,5,0,Gregoire Defrel,1468,a,Sampdoria,Frosinone,Joachim Andersen,2018-09-15 18:30:00,9609,2018,"(0.8380000305175781, 0.40099998474121096)"
