,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
13097,Brescia,Cagliari,1.32688,0.998907,1,0,a,2019-08-25 19:45:00
13100,Brescia,AC Milan,0.860645,1.9308,0,1,a,2019-08-31 17:00:00
13109,Brescia,Bologna,1.14311,3.68503,3,4,h,2019-09-15 13:00:00
13128,Brescia,Udinese,0.810849,0.505205,1,0,a,2019-09-21 13:00:00
13129,Brescia,Juventus,0.686153,1.88191,1,2,h,2019-09-24 19:00:00
13144,Brescia,Napoli,1.14541,2.50124,1,2,a,2019-09-29 10:30:00
13159,Brescia,Fiorentina,0.543738,0.82628,0,0,h,2019-10-21 20:00:00
13172,Brescia,Genoa,1.16628,1.12256,1,3,a,2019-10-26 19:45:00
13179,Brescia,Inter,1.63039,0.769551,1,2,h,2019-10-29 20:00:00
13193,Brescia,Verona,0.975463,1.14031,1,2,a,2019-11-03 14:00:00
13199,Brescia,Torino,0.59465,3.11135,0,4,h,2019-11-09 14:00:00
13214,Brescia,Roma,0.31479,2.51584,0,3,a,2019-11-24 14:00:00
13219,Brescia,Atalanta,1.2071,2.66863,0,3,h,2019-11-30 14:00:00
13236,Brescia,SPAL 2013,1.91478,1.91592,1,0,a,2019-12-08 14:00:00
13240,Brescia,Lecce,3.67148,0.90603,3,0,h,2019-12-14 14:00:00
13151,Brescia,Sassuolo,1.17578,0.702205,0,2,h,2019-12-18 19:45:00
13254,Brescia,Parma Calcio 1913,1.9905,0.820014,1,1,a,2019-12-22 14:00:00
13261,Brescia,Lazio,0.31406,1.75165,1,2,h,2020-01-05 11:30:00
13276,Brescia,Sampdoria,1.00697,3.22026,1,5,a,2020-01-12 14:00:00
13281,Brescia,Cagliari,1.36518,3.55238,2,2,h,2020-01-19 14:00:00
13289,Brescia,AC Milan,1.21977,2.15393,0,1,h,2020-01-24 19:45:00
13300,Brescia,Bologna,0.835919,2.17197,1,2,a,2020-02-01 14:00:00
13309,Brescia,Udinese,0.712227,2.40665,1,1,h,2020-02-09 14:00:00
13322,Brescia,Juventus,0.242874,2.89308,0,2,a,2020-02-16 14:00:00
13331,Brescia,Napoli,1.28069,1.42319,1,2,h,2020-02-21 19:45:00
13347,Brescia,Sassuolo,0.469272,2.12473,0,3,a,2020-03-09 17:30:00
13351,Brescia,Fiorentina,1.24254,2.16709,1,1,a,2020-06-22 17:30:00
13359,Brescia,Genoa,1.49842,2.3274,2,2,h,2020-06-27 15:15:00
13378,Brescia,Inter,0.328274,4.23395,0,6,a,2020-07-01 17:30:00
13385,Brescia,Verona,1.11957,0.673728,2,0,h,2020-07-05 17:30:00
13397,Brescia,Torino,1.43951,1.88812,1,3,a,2020-07-08 19:45:00
13407,Brescia,Roma,1.42387,3.13472,0,3,h,2020-07-11 17:30:00
13410,Brescia,Atalanta,0.867428,2.44363,2,6,a,2020-07-14 19:45:00
13420,Brescia,SPAL 2013,1.62366,1.58437,2,1,h,2020-07-19 17:30:00
13432,Brescia,Lecce,0.9591,2.53511,1,3,a,2020-07-22 19:45:00
13448,Brescia,Parma Calcio 1913,1.6946,1.83818,1,2,h,2020-07-25 15:15:00
13458,Brescia,Lazio,0.785251,3.90847,0,2,a,2020-07-29 17:30:00
13465,Brescia,Sampdoria,1.66164,1.94751,1,1,h,2020-08-01 16:00:00
